input_source_name,source_path_or_policy,source_type,allowed_access_mode,required_for_future_interface_smoke,required_for_future_real_dataloader,current_step_access_status,blocker_before_dataloader_smoke,input_source_contract_passed
final_dataset_smoke_preview_csv,data/derived/covalent_small/covapie_final_dataset_smoke_v0/covapie_final_dataset_smoke_preview.csv,derived_csv,derived_csv_json_read_only,True,True,read_only_validated,False,True
final_dataset_smoke_preview_json,data/derived/covalent_small/covapie_final_dataset_smoke_v0/covapie_final_dataset_smoke_preview.json,derived_json,derived_csv_json_read_only,True,True,read_only_validated,False,True
protein_pocket_atom_table,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_protein_pocket_atom_table.csv,derived_csv,derived_csv_json_read_only,True,True,path_and_count_validated,False,True
ligand_atom_table,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_ligand_atom_table.csv,derived_csv,derived_csv_json_read_only,True,True,path_and_count_validated,False,True
feature_semantics_contract,data/derived/covalent_small/covapie_feature_semantics_audit_gate_v0/covapie_feature_semantics_contract.csv,derived_csv,derived_csv_json_read_only,True,True,read_only_validated,True,True
mask_conditioning_semantics_audit,data/derived/covalent_small/covapie_feature_semantics_audit_gate_v0/covapie_mask_conditioning_semantics_audit.csv,derived_csv,derived_csv_json_read_only,True,True,read_only_validated,False,True
split_unit_smoke_preview,data/derived/covalent_small/covapie_split_leakage_smoke_v0/covapie_split_unit_smoke_preview.csv,derived_csv,derived_csv_json_read_only,True,True,read_only_validated,False,True
final_dataset_qa_manifest,data/derived/covalent_small/covapie_final_dataset_qa_gate_v0/covapie_final_dataset_qa_gate_manifest.json,derived_json,derived_csv_json_read_only,True,True,read_only_validated,False,True
dataset_py_static_reference,dataset.py,source_text,static_text_reference,True,True,static_text_reference_only,False,True
prepare_crossdocked_static_reference,data/prepare_crossdocked.py,source_text,static_text_reference,True,True,static_text_reference_only,False,True
lightning_modules_static_reference,lightning_modules.py,source_text,static_text_reference,True,True,static_text_reference_only,False,True
equivariant_diffusion_static_reference,equivariant_diffusion,source_tree,static_text_reference,True,True,static_text_reference_only,False,True
checkpoint_path_reference_only,future_checkpoint_path_config,policy,reference_only_no_checkpoint_load,False,True,reference_only,True,True
no_torch_runtime_dependency_current_step,policy:no_torch_import,policy,design_only_no_runtime_dependency,True,True,not_imported,False,True
no_raw_files_current_step,policy:no_raw_files,policy,blocked_current_step,True,True,not_read,False,True
