feature_interface_item,source_field_or_table,future_tensor_name_or_metadata_key,future_dtype_policy,future_shape_policy,current_step_materialized,required_before_dataloader_interface_smoke,required_before_real_dataloader,required_before_training,blocker_status,feature_interface_contract_passed
protein_atom_xyz,protein_pocket_atom_table,protein.x,float32_angstrom_future,"[num_protein_atoms,3]_future",False,True,True,True,feature_semantics_required_before_training,True
protein_atom_features,protein_pocket_atom_table,protein.features,categorical_or_float_future,"[num_protein_atoms,num_features]_future",False,True,True,True,protein_atom_feature_semantics_not_finalized,True
ligand_atom_xyz,ligand_atom_table,ligand.x,float32_angstrom_future,"[num_ligand_atoms,3]_future",False,True,True,True,feature_semantics_required_before_training,True
ligand_atom_features,ligand_atom_table,ligand.features,categorical_or_float_future,"[num_ligand_atoms,num_features]_future",False,True,True,True,ligand_atom_feature_semantics_not_finalized,True
protein_ligand_joint_coordinates,protein_pocket_atom_table+ligand_atom_table,complex.x,float32_angstrom_future,"[num_atoms,3]_future",False,True,True,True,coordinate_frame_audit_required,True
mask_task_selector,mask_task_name,mask.task_name,string_or_enum_future,[batch]_future,False,True,True,True,design_only,True
mask_boolean_vector_future,mask_task_name+future_group_labels,mask.boolean_vector,bool_future,[num_ligand_atoms]_future,False,True,True,True,not_materialized_current_step,True
covalent_residue_conditioning,conditioning_mode+covalent_residue_conditioned,conditioning.covalent_residue,metadata_or_tensor_future,"[batch,...]_future",False,True,True,True,design_only,True
covalent_bond_atom_pair_label,covalent_bond_atom_pair,labels.covalent_bond_atom_pair,string_or_index_future,[batch]_future,False,True,True,True,feature_audit_required,True
covalent_bond_distance_angstrom,covalent_bond_distance_angstrom,geometry.covalent_bond_distance,float32_future,"[batch,1]_future",False,True,True,True,geometry_audit_required,True
pre_post_geometry_label,pre_post_geometry_label_status,labels.pre_post_geometry,categorical_future,[batch]_future,False,True,True,True,pre_covalent_geometry_not_materialized,True
scaffold_linker_warhead_atom_labels,scaffold_linker_warhead_annotation_status,labels.group_membership,categorical_future,[num_ligand_atoms]_future,False,True,True,True,not_materialized_current_step,True
warhead_type_label,warhead_type_label_status,labels.warhead_type,categorical_future,[batch]_future,False,True,True,True,not_materialized_current_step,True
split_unit_metadata,split_unit_id,metadata.split_unit_id,string_metadata,[batch]_future,False,True,True,True,design_only,True
sample_metadata,sample_id+final_dataset_row_id,metadata.sample,string_metadata,[batch]_future,False,True,True,True,design_only,True
batch_collate_policy_future,all_future_batch_fields,collate.policy,policy,variable_size_graph_batch_future,False,True,True,True,not_implemented_current_step,True
