getitem_index,metadata_dataset_row_id,dataloader_interface_smoke_row_id,len_value,getitem_return_type,index_in_bounds,index_error_checked,returns_python_dict,contains_tensor_values,contains_numpy_values,len_getitem_audit_passed,qa_comment
0,metadata_dataloader_smoke::dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A3B::T29::H:SER195:OG-B::warhead_only,dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A3B::T29::H:SER195:OG-B::warhead_only,20,dict,True,True,True,False,False,True,metadata-only getitem returned Python dict without tensor or numpy values
1,metadata_dataloader_smoke::dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A3B::T29::H:SER195:OG-B::linker_plus_warhead,dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A3B::T29::H:SER195:OG-B::linker_plus_warhead,20,dict,True,True,True,False,False,True,metadata-only getitem returned Python dict without tensor or numpy values
2,metadata_dataloader_smoke::dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A3B::T29::H:SER195:OG-B::scaffold_plus_warhead,dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A3B::T29::H:SER195:OG-B::scaffold_plus_warhead,20,dict,True,True,True,False,False,True,metadata-only getitem returned Python dict without tensor or numpy values
3,metadata_dataloader_smoke::dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A3B::T29::H:SER195:OG-B::scaffold_only,dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A3B::T29::H:SER195:OG-B::scaffold_only,20,dict,True,True,True,False,False,True,metadata-only getitem returned Python dict without tensor or numpy values
4,metadata_dataloader_smoke::dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A3B::T29::H:SER195:OG-B::scaffold_plus_linker_plus_warhead,dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A3B::T29::H:SER195:OG-B::scaffold_plus_linker_plus_warhead,20,dict,True,True,True,False,False,True,metadata-only getitem returned Python dict without tensor or numpy values
5,metadata_dataloader_smoke::dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A3E::T16::H:SER195:OG-B::warhead_only,dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A3E::T16::H:SER195:OG-B::warhead_only,20,dict,True,True,True,False,False,True,metadata-only getitem returned Python dict without tensor or numpy values
6,metadata_dataloader_smoke::dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A3E::T16::H:SER195:OG-B::linker_plus_warhead,dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A3E::T16::H:SER195:OG-B::linker_plus_warhead,20,dict,True,True,True,False,False,True,metadata-only getitem returned Python dict without tensor or numpy values
7,metadata_dataloader_smoke::dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A3E::T16::H:SER195:OG-B::scaffold_plus_warhead,dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A3E::T16::H:SER195:OG-B::scaffold_plus_warhead,20,dict,True,True,True,False,False,True,metadata-only getitem returned Python dict without tensor or numpy values
8,metadata_dataloader_smoke::dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A3E::T16::H:SER195:OG-B::scaffold_only,dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A3E::T16::H:SER195:OG-B::scaffold_only,20,dict,True,True,True,False,False,True,metadata-only getitem returned Python dict without tensor or numpy values
9,metadata_dataloader_smoke::dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A3E::T16::H:SER195:OG-B::scaffold_plus_linker_plus_warhead,dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A3E::T16::H:SER195:OG-B::scaffold_plus_linker_plus_warhead,20,dict,True,True,True,False,False,True,metadata-only getitem returned Python dict without tensor or numpy values
10,metadata_dataloader_smoke::dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::warhead_only,dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::warhead_only,20,dict,True,True,True,False,False,True,metadata-only getitem returned Python dict without tensor or numpy values
11,metadata_dataloader_smoke::dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::linker_plus_warhead,dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::linker_plus_warhead,20,dict,True,True,True,False,False,True,metadata-only getitem returned Python dict without tensor or numpy values
12,metadata_dataloader_smoke::dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::scaffold_plus_warhead,dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::scaffold_plus_warhead,20,dict,True,True,True,False,False,True,metadata-only getitem returned Python dict without tensor or numpy values
13,metadata_dataloader_smoke::dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::scaffold_only,dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::scaffold_only,20,dict,True,True,True,False,False,True,metadata-only getitem returned Python dict without tensor or numpy values
14,metadata_dataloader_smoke::dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::scaffold_plus_linker_plus_warhead,dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::scaffold_plus_linker_plus_warhead,20,dict,True,True,True,False,False,True,metadata-only getitem returned Python dict without tensor or numpy values
15,metadata_dataloader_smoke::dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A5G::00L::H:SER195:OG-C::warhead_only,dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A5G::00L::H:SER195:OG-C::warhead_only,20,dict,True,True,True,False,False,True,metadata-only getitem returned Python dict without tensor or numpy values
