metadata_dataset_row_id,getitem_index,dataloader_interface_smoke_row_id,final_dataset_row_id,sample_id,split_unit_id,extracted_event_id,candidate_metadata_id,pdb_id,het_code,chain_id,mask_task_name,mask_task_alias,protein_pocket_atom_table_path,ligand_atom_table_path,protein_atom_row_count_for_event,ligand_atom_row_count_for_event,conditioning_mode,covalent_residue_conditioned,covalent_bond_atom_pair,covalent_bond_distance_angstrom,future_protein_xyz_key,future_ligand_xyz_key,future_mask_selector_key,future_batch_metadata_key,has_identity_metadata,has_path_refs,has_blocker_flags,contains_tensor_values,ready_for_training
metadata_dataloader_smoke::dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A3B::T29::H:SER195:OG-B::warhead_only,0,dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A3B::T29::H:SER195:OG-B::warhead_only,final_dataset_smoke::sample::covpdb::1A3B::T29::H:SER195:OG-B::warhead_only,sample::covpdb::1A3B::T29::H:SER195:OG-B::warhead_only,COVAPIE_SPLIT_UNIT_SMOKE_000001,extracted_event::covpdb::1A3B::T29::H:SER195:OG-B,covpdb::1A3B::T29::H:SER195:OG-B,1A3B,T29,H,warhead_only,A,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_protein_pocket_atom_table.csv,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_ligand_atom_table.csv,272,34,protein_covalent_residue_conditioned,True,OG-B,1.601,protein.x,ligand.x,mask.task_name,metadata.sample,True,True,True,False,False
metadata_dataloader_smoke::dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A3B::T29::H:SER195:OG-B::linker_plus_warhead,1,dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A3B::T29::H:SER195:OG-B::linker_plus_warhead,final_dataset_smoke::sample::covpdb::1A3B::T29::H:SER195:OG-B::linker_plus_warhead,sample::covpdb::1A3B::T29::H:SER195:OG-B::linker_plus_warhead,COVAPIE_SPLIT_UNIT_SMOKE_000001,extracted_event::covpdb::1A3B::T29::H:SER195:OG-B,covpdb::1A3B::T29::H:SER195:OG-B,1A3B,T29,H,linker_plus_warhead,B,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_protein_pocket_atom_table.csv,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_ligand_atom_table.csv,272,34,protein_covalent_residue_conditioned,True,OG-B,1.601,protein.x,ligand.x,mask.task_name,metadata.sample,True,True,True,False,False
metadata_dataloader_smoke::dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A3B::T29::H:SER195:OG-B::scaffold_plus_warhead,2,dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A3B::T29::H:SER195:OG-B::scaffold_plus_warhead,final_dataset_smoke::sample::covpdb::1A3B::T29::H:SER195:OG-B::scaffold_plus_warhead,sample::covpdb::1A3B::T29::H:SER195:OG-B::scaffold_plus_warhead,COVAPIE_SPLIT_UNIT_SMOKE_000001,extracted_event::covpdb::1A3B::T29::H:SER195:OG-B,covpdb::1A3B::T29::H:SER195:OG-B,1A3B,T29,H,scaffold_plus_warhead,B2,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_protein_pocket_atom_table.csv,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_ligand_atom_table.csv,272,34,protein_covalent_residue_conditioned,True,OG-B,1.601,protein.x,ligand.x,mask.task_name,metadata.sample,True,True,True,False,False
metadata_dataloader_smoke::dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A3B::T29::H:SER195:OG-B::scaffold_only,3,dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A3B::T29::H:SER195:OG-B::scaffold_only,final_dataset_smoke::sample::covpdb::1A3B::T29::H:SER195:OG-B::scaffold_only,sample::covpdb::1A3B::T29::H:SER195:OG-B::scaffold_only,COVAPIE_SPLIT_UNIT_SMOKE_000001,extracted_event::covpdb::1A3B::T29::H:SER195:OG-B,covpdb::1A3B::T29::H:SER195:OG-B,1A3B,T29,H,scaffold_only,B3,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_protein_pocket_atom_table.csv,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_ligand_atom_table.csv,272,34,protein_covalent_residue_conditioned,True,OG-B,1.601,protein.x,ligand.x,mask.task_name,metadata.sample,True,True,True,False,False
metadata_dataloader_smoke::dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A3B::T29::H:SER195:OG-B::scaffold_plus_linker_plus_warhead,4,dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A3B::T29::H:SER195:OG-B::scaffold_plus_linker_plus_warhead,final_dataset_smoke::sample::covpdb::1A3B::T29::H:SER195:OG-B::scaffold_plus_linker_plus_warhead,sample::covpdb::1A3B::T29::H:SER195:OG-B::scaffold_plus_linker_plus_warhead,COVAPIE_SPLIT_UNIT_SMOKE_000001,extracted_event::covpdb::1A3B::T29::H:SER195:OG-B,covpdb::1A3B::T29::H:SER195:OG-B,1A3B,T29,H,scaffold_plus_linker_plus_warhead,C,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_protein_pocket_atom_table.csv,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_ligand_atom_table.csv,272,34,protein_covalent_residue_conditioned,True,OG-B,1.601,protein.x,ligand.x,mask.task_name,metadata.sample,True,True,True,False,False
metadata_dataloader_smoke::dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A3E::T16::H:SER195:OG-B::warhead_only,5,dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A3E::T16::H:SER195:OG-B::warhead_only,final_dataset_smoke::sample::covpdb::1A3E::T16::H:SER195:OG-B::warhead_only,sample::covpdb::1A3E::T16::H:SER195:OG-B::warhead_only,COVAPIE_SPLIT_UNIT_SMOKE_000002,extracted_event::covpdb::1A3E::T16::H:SER195:OG-B,covpdb::1A3E::T16::H:SER195:OG-B,1A3E,T16,H,warhead_only,A,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_protein_pocket_atom_table.csv,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_ligand_atom_table.csv,252,35,protein_covalent_residue_conditioned,True,OG-B,1.572,protein.x,ligand.x,mask.task_name,metadata.sample,True,True,True,False,False
metadata_dataloader_smoke::dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A3E::T16::H:SER195:OG-B::linker_plus_warhead,6,dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A3E::T16::H:SER195:OG-B::linker_plus_warhead,final_dataset_smoke::sample::covpdb::1A3E::T16::H:SER195:OG-B::linker_plus_warhead,sample::covpdb::1A3E::T16::H:SER195:OG-B::linker_plus_warhead,COVAPIE_SPLIT_UNIT_SMOKE_000002,extracted_event::covpdb::1A3E::T16::H:SER195:OG-B,covpdb::1A3E::T16::H:SER195:OG-B,1A3E,T16,H,linker_plus_warhead,B,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_protein_pocket_atom_table.csv,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_ligand_atom_table.csv,252,35,protein_covalent_residue_conditioned,True,OG-B,1.572,protein.x,ligand.x,mask.task_name,metadata.sample,True,True,True,False,False
metadata_dataloader_smoke::dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A3E::T16::H:SER195:OG-B::scaffold_plus_warhead,7,dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A3E::T16::H:SER195:OG-B::scaffold_plus_warhead,final_dataset_smoke::sample::covpdb::1A3E::T16::H:SER195:OG-B::scaffold_plus_warhead,sample::covpdb::1A3E::T16::H:SER195:OG-B::scaffold_plus_warhead,COVAPIE_SPLIT_UNIT_SMOKE_000002,extracted_event::covpdb::1A3E::T16::H:SER195:OG-B,covpdb::1A3E::T16::H:SER195:OG-B,1A3E,T16,H,scaffold_plus_warhead,B2,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_protein_pocket_atom_table.csv,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_ligand_atom_table.csv,252,35,protein_covalent_residue_conditioned,True,OG-B,1.572,protein.x,ligand.x,mask.task_name,metadata.sample,True,True,True,False,False
metadata_dataloader_smoke::dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A3E::T16::H:SER195:OG-B::scaffold_only,8,dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A3E::T16::H:SER195:OG-B::scaffold_only,final_dataset_smoke::sample::covpdb::1A3E::T16::H:SER195:OG-B::scaffold_only,sample::covpdb::1A3E::T16::H:SER195:OG-B::scaffold_only,COVAPIE_SPLIT_UNIT_SMOKE_000002,extracted_event::covpdb::1A3E::T16::H:SER195:OG-B,covpdb::1A3E::T16::H:SER195:OG-B,1A3E,T16,H,scaffold_only,B3,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_protein_pocket_atom_table.csv,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_ligand_atom_table.csv,252,35,protein_covalent_residue_conditioned,True,OG-B,1.572,protein.x,ligand.x,mask.task_name,metadata.sample,True,True,True,False,False
metadata_dataloader_smoke::dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A3E::T16::H:SER195:OG-B::scaffold_plus_linker_plus_warhead,9,dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A3E::T16::H:SER195:OG-B::scaffold_plus_linker_plus_warhead,final_dataset_smoke::sample::covpdb::1A3E::T16::H:SER195:OG-B::scaffold_plus_linker_plus_warhead,sample::covpdb::1A3E::T16::H:SER195:OG-B::scaffold_plus_linker_plus_warhead,COVAPIE_SPLIT_UNIT_SMOKE_000002,extracted_event::covpdb::1A3E::T16::H:SER195:OG-B,covpdb::1A3E::T16::H:SER195:OG-B,1A3E,T16,H,scaffold_plus_linker_plus_warhead,C,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_protein_pocket_atom_table.csv,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_ligand_atom_table.csv,252,35,protein_covalent_residue_conditioned,True,OG-B,1.572,protein.x,ligand.x,mask.task_name,metadata.sample,True,True,True,False,False
