execution_evidence_row_id,binding_row_id,smoke_case_id,pdb_id,ligand_comp_id,raw_target_relative_path,expected_raw_sha256,observed_raw_sha256,expected_raw_size_bytes,observed_raw_size_bytes,raw_secure_read_status,strict_decode_status,struct_conn_parse_status,struct_conn_row_count,selected_struct_conn_row_ordinal_1based,selected_struct_conn_match_count,residue_partner_side,locator_namespace,atom_site_parse_status,atom_site_row_count,selected_atom_site_row_ordinal_1based,selected_atom_site_match_count,provider_export_status,provider_export_blocking_reason,evidence_audit_passed
P6C_EXECUTION_EVIDENCE_000001,REAL_LOCATOR_BINDING_000001,P6C_REAL_000001,6BV6,JUG,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv6.cif,5ca85f5ef727d9bc8c7a8e2254be8169fad6574ecfaa1a40d8feee5af594e65a,5ca85f5ef727d9bc8c7a8e2254be8169fad6574ecfaa1a40d8feee5af594e65a,810077,810077,passed,passed,parsed_loop,6,1,1,ptnr1,auth,parsed_loop,7672,3934,1,exported_blocking,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,true
P6C_EXECUTION_EVIDENCE_000002,REAL_LOCATOR_BINDING_000002,P6C_REAL_000002,6BV8,JUG,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv8.cif,a8cd3f5b104906343e7d6d882b85f41ed1ca1a3ad15e0a7b9c77df5987e4fcae,a8cd3f5b104906343e7d6d882b85f41ed1ca1a3ad15e0a7b9c77df5987e4fcae,814211,814211,passed,passed,parsed_loop,11,1,1,ptnr1,auth,parsed_loop,7787,4089,1,exported_blocking,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,true
P6C_EXECUTION_EVIDENCE_000003,REAL_LOCATOR_BINDING_000003,P6C_REAL_000003,6BV5,JUG,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv5.cif,78f68b15590fdb114ec45cdc24e42c6b908b061b5b7942ece1027acd302442b8,78f68b15590fdb114ec45cdc24e42c6b908b061b5b7942ece1027acd302442b8,826313,826313,passed,passed,parsed_loop,11,1,1,ptnr1,auth,parsed_loop,7780,4089,1,exported_blocking,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,true
P6C_EXECUTION_EVIDENCE_000004,REAL_LOCATOR_BINDING_000004,P6C_REAL_000004,1AEC,E64,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1aec.cif,cfaf7e2b3fb2ba4ad7fa7667d6bb826fb45303db0c881bcdb280cb7a7da968ea,cfaf7e2b3fb2ba4ad7fa7667d6bb826fb45303db0c881bcdb280cb7a7da968ea,283760,283760,passed,passed,parsed_loop,4,4,1,ptnr1,auth,parsed_loop,2306,222,1,exported_blocking,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,true
P6C_EXECUTION_EVIDENCE_000005,REAL_LOCATOR_BINDING_000005,P6C_REAL_000005,1AIM,ZYA,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1aim.cif,28c952563def4bfbbd33aa486d57f2e5e8efb169ebc93ec8f99a98e07663b8b8,28c952563def4bfbbd33aa486d57f2e5e8efb169ebc93ec8f99a98e07663b8b8,268208,268208,passed,passed,parsed_loop,4,4,1,ptnr1,auth,parsed_loop,2097,219,1,exported_blocking,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,true
P6C_EXECUTION_EVIDENCE_000006,REAL_LOCATOR_BINDING_000006,P6C_REAL_000006,1AU3,PCM,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif,e4607c28b7741c8495bb78efb9f20af0be4f66e69f04732f1cd2e5adcd257ed2,e4607c28b7741c8495bb78efb9f20af0be4f66e69f04732f1cd2e5adcd257ed2,228535,228535,passed,passed,parsed_loop,4,4,1,ptnr1,auth,parsed_loop,1742,187,1,exported_blocking,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,true
P6C_EXECUTION_EVIDENCE_000007,REAL_LOCATOR_BINDING_000007,P6C_REAL_000007,1AU4,INP,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au4.cif,13d7897786967a7abe8f574bf6192c4828ec6ae8ecff64f0c0410ce5dd42d12c,13d7897786967a7abe8f574bf6192c4828ec6ae8ecff64f0c0410ce5dd42d12c,227571,227571,passed,passed,parsed_loop,4,4,1,ptnr1,auth,parsed_loop,1747,187,1,exported_blocking,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,true
P6C_EXECUTION_EVIDENCE_000008,REAL_LOCATOR_BINDING_000008,P6C_REAL_000008,1AYU,INA,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayu.cif,7a50b94adc96bef4222da8e55e7cdb3e854cdd80015fcf76b3a54f4cbf6a2830,7a50b94adc96bef4222da8e55e7cdb3e854cdd80015fcf76b3a54f4cbf6a2830,230527,230527,passed,passed,parsed_loop,4,4,1,ptnr1,auth,parsed_loop,1757,187,1,exported_blocking,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,true
P6C_EXECUTION_EVIDENCE_000009,REAL_LOCATOR_BINDING_000009,P6C_REAL_000009,1AYV,IN6,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayv.cif,2da1f39b0d86c6285b06dc226004136356a6d45dc32255ed74505836a305519e,2da1f39b0d86c6285b06dc226004136356a6d45dc32255ed74505836a305519e,239038,239038,passed,passed,parsed_loop,4,4,1,ptnr1,auth,parsed_loop,1759,187,1,exported_blocking,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,true
P6C_EXECUTION_EVIDENCE_000010,REAL_LOCATOR_BINDING_000010,P6C_REAL_000010,1AYW,IN3,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayw.cif,e8402436f23cbccc6317342c5a2f0ffb01acb0ced0ed29df5f6029e9fabcb07d,e8402436f23cbccc6317342c5a2f0ffb01acb0ced0ed29df5f6029e9fabcb07d,236287,236287,passed,passed,parsed_loop,4,4,1,ptnr1,auth,parsed_loop,1751,187,1,exported_blocking,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,true
