safety_item,required_status,observed_status,safety_passed,blocking_reason
exact_source_reads,true,true,true,
exact11_raw_secure_read,true,true,true,
strict_utf8_decode,true,true,true,
struct_conn_parse,true,true,true,
atom_site_parse,true,true,true,
p4_provider_calls,true,true,true,
sidecar_materialization,true,true,true,
raw_directory_scan,false,false,true,
raw_write,false,false,true,
network_access,false,false,true,
download,false,false,true,
admission_modification,false,false,true,
sample_backfill,false,false,true,
checkpoint_access,false,false,true,
torch_imported,false,false,true,
numpy_imported,false,false,true,
model_forward,false,false,true,
loss_compute,false,false,true,
training,false,false,true,
