binding_row_id,source_pipeline,sample_execution_id,raw_target_relative_path,expected_raw_sha256,observed_raw_sha256,raw_source_precondition_status,raw_source_precondition_blocking_reason,smoke_case_id,sample_preparation_input_id,pdb_id,conn_id,residue_partner_side,locator_namespace,struct_conn_residue_auth_asym_id,struct_conn_residue_auth_seq_id,struct_conn_residue_label_asym_id,struct_conn_residue_label_seq_id,selected_chain_id,selected_residue_index,auth_label_conflict_observed,matched_atom_site_id,matched_residue_atom_name,struct_conn_insertion_source_tag,struct_conn_insertion_raw_value,struct_conn_token_class,atom_site_insertion_source_tag,atom_site_insertion_raw_value,atom_site_token_class,resolved_insertion_state,resolved_insertion_value,insertion_evidence_agreement,insertion_blocks_admit_004,insertion_blocking_reason,covalent_residue_locator_namespace,covalent_residue_insertion_code_state,covalent_residue_insertion_code,covalent_residue_locator_provenance_source_id,covalent_residue_locator_provenance_sha256,provider_export_status,provider_export_blocking_reason
REAL_LOCATOR_BINDING_000001,historical_sample_preparation_execution_smoke_v0,CYS_SG_SAMPLE_PREP_EXECUTION_000001,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv6.cif,5ca85f5ef727d9bc8c7a8e2254be8169fad6574ecfaa1a40d8feee5af594e65a,5ca85f5ef727d9bc8c7a8e2254be8169fad6574ecfaa1a40d8feee5af594e65a,passed,,P6C_REAL_000001,CYS_SG_SAMPLE_PREP_INPUT_000001,6BV6,covale1,ptnr1,auth,A,346,A,275,A,346,true,3934,SG,_struct_conn.pdbx_ptnr1_PDB_ins_code,?,question_unknown,_atom_site.pdbx_PDB_ins_code,?,question_unknown,unknown,,false,true,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,auth,unknown,,covapie:residue-locator:CYS_SG_SAMPLE_PREP_INPUT_000001:covale1:ptnr1,d4b227488db379e646d3c338a48ec948470daa7749c1fd07029d0c96dd1e3c46,exported_blocking,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN
REAL_LOCATOR_BINDING_000002,historical_sample_preparation_execution_smoke_v0,CYS_SG_SAMPLE_PREP_EXECUTION_000002,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv8.cif,a8cd3f5b104906343e7d6d882b85f41ed1ca1a3ad15e0a7b9c77df5987e4fcae,a8cd3f5b104906343e7d6d882b85f41ed1ca1a3ad15e0a7b9c77df5987e4fcae,passed,,P6C_REAL_000002,CYS_SG_SAMPLE_PREP_INPUT_000002,6BV8,covale1,ptnr1,auth,A,353,A,282,A,353,true,4089,SG,_struct_conn.pdbx_ptnr1_PDB_ins_code,?,question_unknown,_atom_site.pdbx_PDB_ins_code,?,question_unknown,unknown,,false,true,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,auth,unknown,,covapie:residue-locator:CYS_SG_SAMPLE_PREP_INPUT_000002:covale1:ptnr1,e002922c3e4e9544aa94119f662d62c32eb9b096cea2c63a47c1290a35e3b0e9,exported_blocking,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN
REAL_LOCATOR_BINDING_000003,historical_sample_preparation_execution_smoke_v0,CYS_SG_SAMPLE_PREP_EXECUTION_000003,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv5.cif,78f68b15590fdb114ec45cdc24e42c6b908b061b5b7942ece1027acd302442b8,78f68b15590fdb114ec45cdc24e42c6b908b061b5b7942ece1027acd302442b8,passed,,P6C_REAL_000003,CYS_SG_SAMPLE_PREP_INPUT_000003,6BV5,covale1,ptnr1,auth,A,353,A,282,A,353,true,4089,SG,_struct_conn.pdbx_ptnr1_PDB_ins_code,?,question_unknown,_atom_site.pdbx_PDB_ins_code,?,question_unknown,unknown,,false,true,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,auth,unknown,,covapie:residue-locator:CYS_SG_SAMPLE_PREP_INPUT_000003:covale1:ptnr1,0ac3626023ce33c3646fbf6b7675113229b77102176e6f91abe372810f393a8d,exported_blocking,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN
REAL_LOCATOR_BINDING_000004,independent_group_expansion_batch_sample_preparation_execution_smoke_v0,CYS_SG_EXPANSION_EXEC_000001,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1aec.cif,cfaf7e2b3fb2ba4ad7fa7667d6bb826fb45303db0c881bcdb280cb7a7da968ea,cfaf7e2b3fb2ba4ad7fa7667d6bb826fb45303db0c881bcdb280cb7a7da968ea,passed,,P6C_REAL_000004,CYS_SG_EXPANSION_PREP_000001,1AEC,covale1,ptnr1,auth,A,25,A,25,A,25,false,222,SG,_struct_conn.pdbx_ptnr1_PDB_ins_code,?,question_unknown,_atom_site.pdbx_PDB_ins_code,?,question_unknown,unknown,,false,true,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,auth,unknown,,covapie:residue-locator:CYS_SG_EXPANSION_PREP_000001:covale1:ptnr1,5b7f50b2a8bf076a550a940a7fa41ad181f2750ec5da0f1fab0c32044373d776,exported_blocking,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN
REAL_LOCATOR_BINDING_000005,independent_group_expansion_batch_sample_preparation_execution_smoke_v0,CYS_SG_EXPANSION_EXEC_000002,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1aim.cif,28c952563def4bfbbd33aa486d57f2e5e8efb169ebc93ec8f99a98e07663b8b8,28c952563def4bfbbd33aa486d57f2e5e8efb169ebc93ec8f99a98e07663b8b8,passed,,P6C_REAL_000005,CYS_SG_EXPANSION_PREP_000002,1AIM,covale1,ptnr1,auth,A,25,A,25,A,25,false,219,SG,_struct_conn.pdbx_ptnr1_PDB_ins_code,?,question_unknown,_atom_site.pdbx_PDB_ins_code,?,question_unknown,unknown,,false,true,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,auth,unknown,,covapie:residue-locator:CYS_SG_EXPANSION_PREP_000002:covale1:ptnr1,cff3755e2d310efd0c4f584fcc4e3d1a66ad59e97c226a8cfa6598042676bd87,exported_blocking,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN
REAL_LOCATOR_BINDING_000006,independent_group_expansion_batch_sample_preparation_execution_smoke_v0,CYS_SG_EXPANSION_EXEC_000003,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif,e4607c28b7741c8495bb78efb9f20af0be4f66e69f04732f1cd2e5adcd257ed2,e4607c28b7741c8495bb78efb9f20af0be4f66e69f04732f1cd2e5adcd257ed2,passed,,P6C_REAL_000006,CYS_SG_EXPANSION_PREP_000003,1AU3,covale1,ptnr1,auth,A,25,A,25,A,25,false,187,SG,_struct_conn.pdbx_ptnr1_PDB_ins_code,?,question_unknown,_atom_site.pdbx_PDB_ins_code,?,question_unknown,unknown,,false,true,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,auth,unknown,,covapie:residue-locator:CYS_SG_EXPANSION_PREP_000003:covale1:ptnr1,2605bd5a8b5dd94a6384a107b6c7d5bd80ab860daaa5ad4745df13e2c6c1b5de,exported_blocking,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN
REAL_LOCATOR_BINDING_000007,independent_group_expansion_batch_sample_preparation_execution_smoke_v0,CYS_SG_EXPANSION_EXEC_000004,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au4.cif,13d7897786967a7abe8f574bf6192c4828ec6ae8ecff64f0c0410ce5dd42d12c,13d7897786967a7abe8f574bf6192c4828ec6ae8ecff64f0c0410ce5dd42d12c,passed,,P6C_REAL_000007,CYS_SG_EXPANSION_PREP_000004,1AU4,covale1,ptnr1,auth,A,25,A,25,A,25,false,187,SG,_struct_conn.pdbx_ptnr1_PDB_ins_code,?,question_unknown,_atom_site.pdbx_PDB_ins_code,?,question_unknown,unknown,,false,true,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,auth,unknown,,covapie:residue-locator:CYS_SG_EXPANSION_PREP_000004:covale1:ptnr1,7dcaf2c1eaa2ae04d4dec393f02ca8b60e550880cd94132f9c5ab56021a57ede,exported_blocking,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN
REAL_LOCATOR_BINDING_000008,independent_group_expansion_batch_sample_preparation_execution_smoke_v0,CYS_SG_EXPANSION_EXEC_000005,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayu.cif,7a50b94adc96bef4222da8e55e7cdb3e854cdd80015fcf76b3a54f4cbf6a2830,7a50b94adc96bef4222da8e55e7cdb3e854cdd80015fcf76b3a54f4cbf6a2830,passed,,P6C_REAL_000008,CYS_SG_EXPANSION_PREP_000005,1AYU,covale1,ptnr1,auth,A,25,A,25,A,25,false,187,SG,_struct_conn.pdbx_ptnr1_PDB_ins_code,?,question_unknown,_atom_site.pdbx_PDB_ins_code,?,question_unknown,unknown,,false,true,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,auth,unknown,,covapie:residue-locator:CYS_SG_EXPANSION_PREP_000005:covale1:ptnr1,43ef059bd9853128abba71b809bb4df08556259b317a76a125faa9950de976c9,exported_blocking,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN
REAL_LOCATOR_BINDING_000009,independent_group_expansion_batch_sample_preparation_execution_smoke_v0,CYS_SG_EXPANSION_EXEC_000006,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayv.cif,2da1f39b0d86c6285b06dc226004136356a6d45dc32255ed74505836a305519e,2da1f39b0d86c6285b06dc226004136356a6d45dc32255ed74505836a305519e,passed,,P6C_REAL_000009,CYS_SG_EXPANSION_PREP_000006,1AYV,covale1,ptnr1,auth,A,25,A,25,A,25,false,187,SG,_struct_conn.pdbx_ptnr1_PDB_ins_code,?,question_unknown,_atom_site.pdbx_PDB_ins_code,?,question_unknown,unknown,,false,true,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,auth,unknown,,covapie:residue-locator:CYS_SG_EXPANSION_PREP_000006:covale1:ptnr1,1d8f89d938e7e1584612fa7bcd8e99db0285413629abafd39242f92756e451f2,exported_blocking,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN
REAL_LOCATOR_BINDING_000010,independent_group_expansion_batch_sample_preparation_execution_smoke_v0,CYS_SG_EXPANSION_EXEC_000007,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayw.cif,e8402436f23cbccc6317342c5a2f0ffb01acb0ced0ed29df5f6029e9fabcb07d,e8402436f23cbccc6317342c5a2f0ffb01acb0ced0ed29df5f6029e9fabcb07d,passed,,P6C_REAL_000010,CYS_SG_EXPANSION_PREP_000007,1AYW,covale1,ptnr1,auth,A,25,A,25,A,25,false,187,SG,_struct_conn.pdbx_ptnr1_PDB_ins_code,?,question_unknown,_atom_site.pdbx_PDB_ins_code,?,question_unknown,unknown,,false,true,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,auth,unknown,,covapie:residue-locator:CYS_SG_EXPANSION_PREP_000007:covale1:ptnr1,16b9129c0446a9a27f4b4243a5fbd9732be574d9c89e7e9d75dd8e7d9d9154f7,exported_blocking,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN
