boundary_item,current_step_status,execution_boundary_passed,blocking_reasons
raw_structure_event_annotation_smoke,executed_first5_raw_structure_download_and_annotation_only,True,
step13au_manifest_read,executed_manifest_read_only,True,
metadata_csv_first5_pdb_ids_read,executed_metadata_read_only,True,
source_url_contract_read,executed_contract_read_only,True,
raw_structure_download,executed_first5_rcsb_mmcif_with_pdb_fallback_only,True,
raw_ligand_download,not_executed_or_not_allowed,True,
archive_download,not_executed_or_not_allowed,True,
raw_file_created,executed_allowed_raw_storage_only,True,
raw_data_read,executed_downloaded_raw_structure_text_only,True,
sdf_read,not_executed_or_not_allowed,True,
pdb_read,not_executed_or_not_allowed,True,
mmcif_read,executed_downloaded_mmcif_text_only,True,
gzip_open,not_executed_or_not_allowed,True,
rdkit_use,not_executed_or_not_allowed,True,
biopdb_use,not_executed_or_not_allowed,True,
gemmi_use,not_executed_or_not_allowed,True,
candidate_metadata_materialization,not_executed_or_not_allowed,True,
allowlist_materialization,not_executed_or_not_allowed,True,
torch_import,not_executed_or_not_allowed,True,
model_forward,not_executed_or_not_allowed,True,
training_claim,not_executed_or_not_allowed,True,
