feature_semantics_item,feature_group,audit_required_before_training,fully_audited_claimed,blocking_for_raw_structure_event_annotation_smoke,training_ready,recommended_audit_step,feature_semantics_audit_passed,blocking_reasons
"('protein_atom_feature_semantics', 'protein')",model_input_feature_semantics,True,False,False,False,future_feature_semantics_audit_gate_before_training,True,
"('ligand_atom_feature_semantics', 'ligand')",model_input_feature_semantics,True,False,False,False,future_feature_semantics_audit_gate_before_training,True,
"('residue_feature_semantics', 'protein')",model_input_feature_semantics,True,False,False,False,future_feature_semantics_audit_gate_before_training,True,
"('covalent_endpoint_atom_semantics', 'covalent_endpoint')",model_input_feature_semantics,True,False,False,False,future_feature_semantics_audit_gate_before_training,True,
"('warhead_linker_scaffold_group_semantics', 'mask_groups')",model_input_feature_semantics,True,False,False,False,future_feature_semantics_audit_gate_before_training,True,
"('canonical_mask_task_semantics', 'mask_tasks')",model_input_feature_semantics,True,False,False,False,future_feature_semantics_audit_gate_before_training,True,
"('pre_post_covalent_geometry_semantics', 'geometry')",model_input_feature_semantics,True,False,False,False,future_feature_semantics_audit_gate_before_training,True,
"('warhead_type_label_semantics', 'auxiliary_labels')",model_input_feature_semantics,True,False,False,False,future_feature_semantics_audit_gate_before_training,True,
"('ligand_residue_atom_pair_label_semantics', 'auxiliary_labels')",model_input_feature_semantics,True,False,False,False,future_feature_semantics_audit_gate_before_training,True,
"('coordinate_frame_and_units_semantics', 'coordinates')",model_input_feature_semantics,True,False,False,False,future_feature_semantics_audit_gate_before_training,True,
"('unknown_atom_feature_policy', 'features')",model_input_feature_semantics,True,False,False,False,future_feature_semantics_audit_gate_before_training,True,
"('checkpoint_feature_compatibility', 'checkpoint')",model_input_feature_semantics,True,False,False,False,future_feature_semantics_audit_gate_before_training,True,
