policy_item,policy_description,policy_contract_passed
small_pilot_manifest_rerun_gate_only,This step writes a ready-candidate-driven small pilot manifest only.,True
small_pilot_manifest_is_not_sample_index,The manifest is not a sample index.,True
small_pilot_manifest_is_not_final_dataset,The manifest is not a final dataset.,True
small_pilot_manifest_is_not_training_sample,The manifest is not a training sample.,True
sample_preparation_design_gate_required_next,Sample preparation design is required next.,True
final_dataset_not_written_current_step,No final dataset artifact is written.,True
sample_index_not_written_current_step,No sample index artifact is written.,True
split_and_leakage_not_written_current_step,No split/leakage artifacts are written.,True
feature_semantics_audit_required_before_training,Feature semantics audit remains required before training.,True
leakage_split_gate_required_before_training,Leakage/split gate remains required before training.,True
canonical_five_masks_preserved,The canonical five masks remain unchanged.,True
do_not_train_from_small_pilot_manifest,Small pilot manifest artifacts are not training inputs.,True
