policy_item,policy_description,policy_contract_passed
controlled_acquisition_only_five_pdb_ids,Only the five Step 14R PDB IDs may be downloaded or reused.,True
raw_files_must_remain_untracked,Raw mmCIF files must remain untracked.,True
raw_files_must_remain_unstaged,Raw mmCIF files must remain unstaged.,True
no_struct_conn_parse_current_step,This step must not parse struct_conn.,True
no_ready_candidate_current_step,No ready candidates are created.,True
no_training_current_step,No training is allowed.,True
no_sample_or_final_dataset_current_step,No sample or final dataset artifacts are written.,True
no_split_or_leakage_current_step,No split or leakage artifacts are written.,True
feature_semantics_audit_required_before_training,Feature semantics audit remains required before training.,True
leakage_split_gate_required_before_training,Leakage/split design remains required before training.,True
canonical_five_masks_preserved,The canonical five mask tasks remain unchanged.,True
next_step_is_struct_conn_crosscheck_execution_gate,Next step is struct_conn cross-check execution gate.,True
