safety_item,required_status,observed_status,safety_passed,blocking_reasons
controlled_network_access_limited_to_five_rcsb_mmcif_urls,passed,passed,True,
raw_files_available_but_untracked,passed,passed,True,
raw_files_unstaged,passed,passed,True,
no_html_or_part_files,passed,passed,True,
metadata_csv_unchanged,passed,passed,True,
step14r_artifacts_unchanged,passed,passed,True,
step14q_artifacts_unchanged,passed,passed,True,
step14p_artifacts_unchanged,passed,passed,True,
protected_source_diff_empty,passed,passed,True,
original_dataloader_diff_empty,passed,passed,True,
no_sample_final_split_leakage_training_artifacts,passed,passed,True,
derived_output_no_forbidden_raw_binary_or_html_suffix,passed,passed,True,
no_torch_numpy_rdkit_biopdb_gemmi_gzip_requests_selenium_playwright_bs4_imports,passed,passed,True,
urllib_or_curl_usage_limited_to_rcsb_mmcif_download,passed,passed,True,
no_struct_conn_parse_current_step,passed,passed,True,
no_ready_candidates_created,passed,passed,True,
