canonical_event_id,sample_identity,lineage_id,positive_authority_status,role_authority_status,reactive_pair_authority_status,POST_authority_status,PRE_authority_status,runtime_binding_status,current_runtime_model_usable,leakage_group_id,formal_split_authoritative,formal_split,training_admission_readiness,exclusion_reason
COVAPIE_CYS_SG_EVENT_V1:1AEC:A:CYS:25-:SG:B:E64:C2,CYS_SG_SAMPLE_INDEX_000004,EXACT16_CURRENT11_STRICT_LINKER_LINEAGE,FULL_POSITIVE_SUPERVISION_AUTHORITY,authoritative,authoritative,authoritative,unavailable_not_loss_eligible,CURRENT_RUNTIME_BINDING_CLOSED,true,COVAPIE_LEAKAGE_GROUP_000002,true,validation,FORMAL_NONTRAIN_SPLIT_MEMBER,
COVAPIE_CYS_SG_EVENT_V1:1AIM:A:CYS:25-:SG:B:ZYA:CM,CYS_SG_SAMPLE_INDEX_000005,EXACT16_CURRENT11_STRICT_LINKER_LINEAGE,FULL_POSITIVE_SUPERVISION_AUTHORITY,authoritative,authoritative,authoritative,unavailable_not_loss_eligible,CURRENT_RUNTIME_BINDING_CLOSED,true,COVAPIE_LEAKAGE_GROUP_000003,true,validation,FORMAL_NONTRAIN_SPLIT_MEMBER,
COVAPIE_CYS_SG_EVENT_V1:1AU3:A:CYS:25-:SG:B:PCM:C22,CYS_SG_SAMPLE_INDEX_000006,EXACT16_CURRENT11_STRICT_LINKER_LINEAGE,FULL_POSITIVE_SUPERVISION_AUTHORITY,authoritative,authoritative,authoritative,unavailable_not_loss_eligible,CURRENT_RUNTIME_BINDING_CLOSED,true,COVAPIE_LEAKAGE_GROUP_000004,true,train,FORMAL_TRAIN_ADMITTED,
COVAPIE_CYS_SG_EVENT_V1:1AU4:A:CYS:25-:SG:B:INP:C17,CYS_SG_SAMPLE_INDEX_000007,EXACT16_CURRENT11_STRICT_LINKER_LINEAGE,FULL_POSITIVE_SUPERVISION_AUTHORITY,authoritative,authoritative,authoritative,unavailable_not_loss_eligible,CURRENT_RUNTIME_BINDING_CLOSED,true,COVAPIE_LEAKAGE_GROUP_000004,true,train,FORMAL_TRAIN_ADMITTED,
COVAPIE_CYS_SG_EVENT_V1:1AYU:A:CYS:25-:SG:B:INA:C21,CYS_SG_SAMPLE_INDEX_000008,EXACT16_CURRENT11_STRICT_LINKER_LINEAGE,FULL_POSITIVE_SUPERVISION_AUTHORITY,authoritative,authoritative,authoritative,unavailable_not_loss_eligible,CURRENT_RUNTIME_BINDING_CLOSED,true,COVAPIE_LEAKAGE_GROUP_000004,true,train,FORMAL_TRAIN_ADMITTED,
COVAPIE_CYS_SG_EVENT_V1:1AYV:A:CYS:25-:SG:B:IN6:C21,CYS_SG_SAMPLE_INDEX_000009,EXACT16_CURRENT11_STRICT_LINKER_LINEAGE,FULL_POSITIVE_SUPERVISION_AUTHORITY,authoritative,authoritative,authoritative,unavailable_not_loss_eligible,CURRENT_RUNTIME_BINDING_CLOSED,true,COVAPIE_LEAKAGE_GROUP_000004,true,train,FORMAL_TRAIN_ADMITTED,
COVAPIE_CYS_SG_EVENT_V1:1AYW:A:CYS:25-:SG:B:IN3:C21,CYS_SG_SAMPLE_INDEX_000010,EXACT16_CURRENT11_STRICT_LINKER_LINEAGE,FULL_POSITIVE_SUPERVISION_AUTHORITY,authoritative,authoritative,authoritative,unavailable_not_loss_eligible,CURRENT_RUNTIME_BINDING_CLOSED,true,COVAPIE_LEAKAGE_GROUP_000004,true,train,FORMAL_TRAIN_ADMITTED,
COVAPIE_CYS_SG_EVENT_V1:1B02:A:CYS:161-:SG:B:UFP:C6,CYS_SG_SAMPLE_INDEX_000011,EXACT16_CURRENT11_STRICT_LINKER_LINEAGE,FULL_POSITIVE_SUPERVISION_AUTHORITY,authoritative,authoritative,authoritative,unavailable_not_loss_eligible,CURRENT_RUNTIME_BINDING_CLOSED,true,COVAPIE_LEAKAGE_GROUP_000005,true,test,FORMAL_NONTRAIN_SPLIT_MEMBER,
COVAPIE_CYS_SG_EVENT_V1:1BWC:A:CYS:58-:SG:D:AJ3:S5,COVAPIE_CYS_SG_EVENT_V1:1BWC:A:CYS:58-:SG:D:AJ3:S5,CUMULATIVE1000_OTHER_HUMAN_RELEVANT_EXACT5,TASK_RELEVANCE_ONLY_INCOMPLETE,incomplete,incomplete,incomplete,unavailable_not_loss_eligible,CURRENT_RUNTIME_BINDING_INCOMPLETE,false,COVAPIE_EXPANSION_LEAKAGE_GROUP_8B0FD459443D693D,false,,RUNTIME_BINDING_INCOMPLETE,EVENT_TRAINING_USE_DECISION_INCOMPLETE|ROLE_AND_REACTIVE_PAIR_HUMAN_AUTHORITY_INCOMPLETE|CURRENT_RUNTIME_TENSORIZATION_AND_SUPERVISION_BINDING_NOT_PUBLISHED
COVAPIE_CYS_SG_EVENT_V1:1NFZ:A:CYS:67-:SG:E:EIP:C12,COVAPIE_CYS_SG_EVENT_V1:1NFZ:A:CYS:67-:SG:E:EIP:C12,CUMULATIVE1000_OTHER_HUMAN_RELEVANT_EXACT5,FULL_POSITIVE_SUPERVISION_AUTHORITY,authoritative,authoritative,authoritative,unavailable_not_loss_eligible,CURRENT_RUNTIME_BINDING_CLOSED,true,COVAPIE_EXPANSION_LEAKAGE_GROUP_E9D0DFDD004B6129,true,test,FORMAL_NONTRAIN_SPLIT_MEMBER,
