request_index,canonical_candidate_id,pdb_id,expected_ligand_component_id,source_request_identity,destination_identity,pre_execution_file_status,action_taken,network_attempted,network_attempt_count,request_status,response_or_transport_status,part_path,part_payload_nonempty,part_html_detected,part_data_block_identity,part_pdb_identity_matches,part_atom_site_parseable,part_atom_site_row_count,part_sha256,part_size_bytes,part_verified_before_promotion,atomic_promotion_performed,final_file_exists,final_data_block_identity,final_sha256,final_size_bytes,final_pdb_identity_matches,final_atom_site_parseable,final_atom_site_row_count,final_atom_site_rh_present,part_leftover,acquisition_status,primary_failure_code_or_NONE
1,COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000001,1A54,MDC,https://files.rcsb.org/download/1A54.cif,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/1a54.cif,ABSENT,DOWNLOADED_AND_VERIFIED,true,1,SUCCEEDED,HTTP_200,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/1a54.cif.part,true,false,1A54,true,true,2817,72027fd8250ab981a082a8081f7624ca81f2cc78dfeaba8ea124a3ead1543d11,334153,true,true,true,1A54,72027fd8250ab981a082a8081f7624ca81f2cc78dfeaba8ea124a3ead1543d11,334153,true,true,2817,false,false,VALID,NONE
2,COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000002,2DJF,1ZB,https://files.rcsb.org/download/2DJF.cif,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/2djf.cif,ABSENT,DOWNLOADED_AND_VERIFIED,true,1,SUCCEEDED,HTTP_200,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/2djf.cif.part,true,false,2DJF,true,true,3071,909fdf9bb28d1875a3ab80c5108b50025e6180196656e0eb5e46f572e4c185c2,370091,true,true,true,2DJF,909fdf9bb28d1875a3ab80c5108b50025e6180196656e0eb5e46f572e4c185c2,370091,true,true,3071,false,false,VALID,NONE
3,COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000007,6VWE,JY1,https://files.rcsb.org/download/6VWE.cif,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6vwe.cif,ABSENT,DOWNLOADED_AND_VERIFIED,true,1,SUCCEEDED,HTTP_200,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6vwe.cif.part,true,false,6VWE,true,true,1753,8f73bbe82c2cf1db53061ffd157bb3edce95a526b4bd42db31855848ad2013ff,403221,true,true,true,6VWE,8f73bbe82c2cf1db53061ffd157bb3edce95a526b4bd42db31855848ad2013ff,403221,true,true,1753,true,false,VALID,NONE
4,COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000008,2R9F,K2Z,https://files.rcsb.org/download/2R9F.cif,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/2r9f.cif,ABSENT,DOWNLOADED_AND_VERIFIED,true,1,SUCCEEDED,HTTP_200,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/2r9f.cif.part,true,false,2R9F,true,true,2985,af5a5539b88559786185eb671a46b09b7f73854a2bf550f3d8149d0d2c40b828,374758,true,true,true,2R9F,af5a5539b88559786185eb671a46b09b7f73854a2bf550f3d8149d0d2c40b828,374758,true,true,2985,false,false,VALID,NONE
5,COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000009,4DCD,K36,https://files.rcsb.org/download/4DCD.cif,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/4dcd.cif,ABSENT,DOWNLOADED_AND_VERIFIED,true,1,SUCCEEDED,HTTP_200,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/4dcd.cif.part,true,false,4DCD,true,true,1555,bd42d910542faf3d337d76024faaad67ef8a3b40996fcb0be5918c80b777c4a2,337283,true,true,true,4DCD,bd42d910542faf3d337d76024faaad67ef8a3b40996fcb0be5918c80b777c4a2,337283,true,true,1555,false,false,VALID,NONE
6,COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000010,6WTT,K36,https://files.rcsb.org/download/6WTT.cif,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6wtt.cif,ABSENT,DOWNLOADED_AND_VERIFIED,true,1,SUCCEEDED,HTTP_200,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6wtt.cif.part,true,false,6WTT,true,true,7430,33bdd92bd5ab6b5fb147bf6b2a8ca73f12e0fbde744c045890389c2d057b7240,829196,true,true,true,6WTT,33bdd92bd5ab6b5fb147bf6b2a8ca73f12e0fbde744c045890389c2d057b7240,829196,true,true,7430,false,false,VALID,NONE
7,COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000011,4F49,K36,https://files.rcsb.org/download/4F49.cif,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/4f49.cif,ABSENT,DOWNLOADED_AND_VERIFIED,true,1,SUCCEEDED,HTTP_200,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/4f49.cif.part,true,false,4F49,true,true,9513,9f7d7419182647a82fd3a0d837524db179b4a4429c809906d97b3aef8618543d,1753803,true,true,true,4F49,9f7d7419182647a82fd3a0d837524db179b4a4429c809906d97b3aef8618543d,1753803,true,true,9513,false,false,VALID,NONE
8,COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000012,6L70,K36,https://files.rcsb.org/download/6L70.cif,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6l70.cif,ABSENT,DOWNLOADED_AND_VERIFIED,true,1,SUCCEEDED,HTTP_200,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6l70.cif.part,true,false,6L70,true,true,9454,963b6e5a6556b17e30f8c0549e85932a9eb5af9c8bf8df6736f03e6e761f614d,980313,true,true,true,6L70,963b6e5a6556b17e30f8c0549e85932a9eb5af9c8bf8df6736f03e6e761f614d,980313,true,true,9454,false,false,VALID,NONE
9,COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000013,6WTJ,K36,https://files.rcsb.org/download/6WTJ.cif,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6wtj.cif,ABSENT,DOWNLOADED_AND_VERIFIED,true,1,SUCCEEDED,HTTP_200,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6wtj.cif.part,true,false,6WTJ,true,true,2473,a3083dbafd741f872d1fa1593c1b0e080f36d2daa8e67bf567d07b2bb221fdcd,573849,true,true,true,6WTJ,a3083dbafd741f872d1fa1593c1b0e080f36d2daa8e67bf567d07b2bb221fdcd,573849,true,true,2473,false,false,VALID,NONE
10,COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000014,7C8U,K36,https://files.rcsb.org/download/7C8U.cif,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/7c8u.cif,ABSENT,DOWNLOADED_AND_VERIFIED,true,1,SUCCEEDED,HTTP_200,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/7c8u.cif.part,true,false,7C8U,true,true,2417,3400041d50480cddab071612bc4a4df1d58a7878e91d59f68cd53802fdd6f8f9,314081,true,true,true,7C8U,3400041d50480cddab071612bc4a4df1d58a7878e91d59f68cd53802fdd6f8f9,314081,true,true,2417,false,false,VALID,NONE
