canonical_candidate_id,pdb_id,ligand_component_id,acquisition_status,local_raw_structure_found,raw_sha256,explicit_connection_evidence_status,cys_sg_event_recovered,protein_chain_if_recovered,cys_residue_sequence_if_recovered,cys_insertion_code_if_recovered,reactive_residue_atom_if_recovered,ligand_chain_or_instance_if_recovered,reactive_ligand_atom_if_recovered,coordinate_status,ligand_component_identity_status,structural_recovery_status,recovery_disposition,primary_remaining_issue
COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000001,1A54,MDC,VALID,true,72027fd8250ab981a082a8081f7624ca81f2cc78dfeaba8ea124a3ead1543d11,STRUCT_CONN_LOOP_ABSENT,false,NONE,NONE,NONE,NONE,NONE,NONE,COORDINATE_EVIDENCE_INCOMPLETE,UNRESOLVED_NO_EXPLICIT_EXACT_EVENT,STRUCT_CONN_EXACT_PAIR_MISSING,HUMAN_STRUCTURAL_REVIEW_REQUIRED,EXPLICIT_CONNECTION_AUTHORITY_ABSENT_IN_ACQUIRED_MMCIF_HUMAN_STRUCTURAL_REVIEW_REQUIRED
COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000002,2DJF,1ZB,VALID,true,909fdf9bb28d1875a3ab80c5108b50025e6180196656e0eb5e46f572e4c185c2,MMCIF_STRUCT_CONN_EXACT_ENDPOINT_PAIR,true,B,234,NONE,SG,B,C2,COORDINATES_FINITE_ALTLOC_DETERMINISTIC,EXPECTED_LIGAND_COMPONENT_MATCHED_EXPLICIT_EVENT,EXACT_EVENT_AND_COORDINATES_AUTO_RECOVERED_CANONICAL_TOPOLOGY_PENDING,AUTO_RECOVERED_BUT_DOWNSTREAM_LABEL_REVIEW_REQUIRED,PARENT_POST_TOPOLOGY_CANONICAL_MODEL_GRAPH_EXACT10_POCKET_AND_REACTION_WARHEAD_BOUNDARY_AUTHORITY_REQUIRED
COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000007,6VWE,JY1,VALID,true,8f73bbe82c2cf1db53061ffd157bb3edce95a526b4bd42db31855848ad2013ff,STRUCT_CONN_LOOP_ABSENT,false,NONE,NONE,NONE,NONE,NONE,NONE,COORDINATE_EVIDENCE_INCOMPLETE,UNRESOLVED_NO_EXPLICIT_EXACT_EVENT,STRUCT_CONN_EXACT_PAIR_MISSING,HUMAN_STRUCTURAL_REVIEW_REQUIRED,EXPLICIT_CONNECTION_AUTHORITY_ABSENT_IN_ACQUIRED_MMCIF_AND_CANONICAL_MODEL_GRAPH_RH_MEMBERSHIP_UNRESOLVED
COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000008,2R9F,K2Z,VALID,true,af5a5539b88559786185eb671a46b09b7f73854a2bf550f3d8149d0d2c40b828,MMCIF_STRUCT_CONN_EXACT_ENDPOINT_PAIR,true,A,115,NONE,SG,A,CBM,COORDINATES_FINITE_ALTLOC_DETERMINISTIC,EXPECTED_LIGAND_COMPONENT_MATCHED_EXPLICIT_EVENT,EXACT_EVENT_AND_COORDINATES_AUTO_RECOVERED_CANONICAL_TOPOLOGY_PENDING,AUTO_RECOVERED_BUT_DOWNSTREAM_LABEL_REVIEW_REQUIRED,PARENT_POST_TOPOLOGY_CANONICAL_MODEL_GRAPH_EXACT10_POCKET_AND_REACTION_WARHEAD_BOUNDARY_AUTHORITY_REQUIRED
COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000009,4DCD,K36,VALID,true,bd42d910542faf3d337d76024faaad67ef8a3b40996fcb0be5918c80b777c4a2,MMCIF_STRUCT_CONN_EXACT_ENDPOINT_PAIR,true,A,147,NONE,SG,A,C21,COORDINATES_FINITE_ALTLOC_DETERMINISTIC,EXPECTED_LIGAND_COMPONENT_MATCHED_EXPLICIT_EVENT,EXACT_EVENT_AND_COORDINATES_AUTO_RECOVERED_CANONICAL_TOPOLOGY_PENDING,AUTO_RECOVERED_BUT_DOWNSTREAM_LABEL_REVIEW_REQUIRED,PARENT_POST_TOPOLOGY_CANONICAL_MODEL_GRAPH_EXACT10_POCKET_AND_REACTION_WARHEAD_BOUNDARY_AUTHORITY_REQUIRED
COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000010,6WTT,K36,VALID,true,33bdd92bd5ab6b5fb147bf6b2a8ca73f12e0fbde744c045890389c2d057b7240,MMCIF_STRUCT_CONN_EXACT_ENDPOINT_PAIR,true,A,145,NONE,SG,A,C21,COORDINATES_FINITE_ALTLOC_DETERMINISTIC,EXPECTED_LIGAND_COMPONENT_MATCHED_EXPLICIT_EVENT,EXACT_EVENT_AND_COORDINATES_AUTO_RECOVERED_CANONICAL_TOPOLOGY_PENDING,AUTO_RECOVERED_BUT_DOWNSTREAM_LABEL_REVIEW_REQUIRED,PARENT_POST_TOPOLOGY_CANONICAL_MODEL_GRAPH_EXACT10_POCKET_AND_REACTION_WARHEAD_BOUNDARY_AUTHORITY_REQUIRED
COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000011,4F49,K36,VALID,true,9f7d7419182647a82fd3a0d837524db179b4a4429c809906d97b3aef8618543d,MMCIF_STRUCT_CONN_EXACT_ENDPOINT_PAIR,true,A,144,NONE,SG,A,C21,COORDINATES_FINITE_ALTLOC_DETERMINISTIC,EXPECTED_LIGAND_COMPONENT_MATCHED_EXPLICIT_EVENT,EXACT_EVENT_AND_COORDINATES_AUTO_RECOVERED_CANONICAL_TOPOLOGY_PENDING,AUTO_RECOVERED_BUT_DOWNSTREAM_LABEL_REVIEW_REQUIRED,PARENT_POST_TOPOLOGY_CANONICAL_MODEL_GRAPH_EXACT10_POCKET_AND_REACTION_WARHEAD_BOUNDARY_AUTHORITY_REQUIRED
COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000012,6L70,K36,VALID,true,963b6e5a6556b17e30f8c0549e85932a9eb5af9c8bf8df6736f03e6e761f614d,MMCIF_STRUCT_CONN_EXACT_ENDPOINT_PAIR,true,A,144,NONE,SG,A,C21,COORDINATES_FINITE_ALTLOC_DETERMINISTIC,EXPECTED_LIGAND_COMPONENT_MATCHED_EXPLICIT_EVENT,EXACT_EVENT_AND_COORDINATES_AUTO_RECOVERED_CANONICAL_TOPOLOGY_PENDING,AUTO_RECOVERED_BUT_DOWNSTREAM_LABEL_REVIEW_REQUIRED,PARENT_POST_TOPOLOGY_CANONICAL_MODEL_GRAPH_EXACT10_POCKET_AND_REACTION_WARHEAD_BOUNDARY_AUTHORITY_REQUIRED
COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000013,6WTJ,K36,VALID,true,a3083dbafd741f872d1fa1593c1b0e080f36d2daa8e67bf567d07b2bb221fdcd,STRUCT_CONN_LOOP_ABSENT,false,NONE,NONE,NONE,NONE,NONE,NONE,COORDINATE_EVIDENCE_INCOMPLETE,UNRESOLVED_NO_EXPLICIT_EXACT_EVENT,STRUCT_CONN_EXACT_PAIR_MISSING,HUMAN_STRUCTURAL_REVIEW_REQUIRED,EXPLICIT_CONNECTION_AUTHORITY_ABSENT_IN_ACQUIRED_MMCIF_HUMAN_STRUCTURAL_REVIEW_REQUIRED
COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000014,7C8U,K36,VALID,true,3400041d50480cddab071612bc4a4df1d58a7878e91d59f68cd53802fdd6f8f9,STRUCT_CONN_LOOP_ABSENT,false,NONE,NONE,NONE,NONE,NONE,NONE,COORDINATE_EVIDENCE_INCOMPLETE,UNRESOLVED_NO_EXPLICIT_EXACT_EVENT,STRUCT_CONN_EXACT_PAIR_MISSING,HUMAN_STRUCTURAL_REVIEW_REQUIRED,EXPLICIT_CONNECTION_AUTHORITY_ABSENT_IN_ACQUIRED_MMCIF_HUMAN_STRUCTURAL_REVIEW_REQUIRED
COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000015,5WKJ,K36,VALID,true,6c17237a4f1ced1d0f49d387ff3c2b61f24429e7a1df6d061d69adb6f3bd5b14,MMCIF_STRUCT_CONN_EXACT_ENDPOINT_PAIR,true,A,148,NONE,SG,A,C21,COORDINATES_FINITE_ALTLOC_DETERMINISTIC,EXPECTED_LIGAND_COMPONENT_MATCHED_EXPLICIT_EVENT,EXACT_EVENT_AND_COORDINATES_AUTO_RECOVERED_CANONICAL_TOPOLOGY_PENDING,AUTO_RECOVERED_BUT_DOWNSTREAM_LABEL_REVIEW_REQUIRED,PARENT_POST_TOPOLOGY_CANONICAL_MODEL_GRAPH_EXACT10_POCKET_AND_REACTION_WARHEAD_BOUNDARY_AUTHORITY_REQUIRED
