source_category,source_root_kind,relative_path,sha256,consumed_for,sha256_verified
PUBLISHED_FORMAL_SPLIT_AUTHORITY,REPOSITORY,data/derived/covalent_small/covapie_batch001_ndu4_leakage_recovery_and_formal_split_admission_v1/covapie_batch001_ndu4_formal_event_split_admission_v1.csv,944fd8447aead448a6f825296872dfb7a2d4e24733dfeede5c93553b45bcdff5,exact13 formal event split membership and admission authority,true
PUBLISHED_FORMAL_COMPONENT_REGISTRY,REPOSITORY,data/derived/covalent_small/covapie_batch001_ndu4_leakage_recovery_and_formal_split_admission_v1/covapie_batch001_ndu4_full_component_registry_v1.json,3f0edbca6d2b43226321ac71e46b593029e18bc31ddc4693d6077530fe7996d2,formal leakage-group classification and isolation lineage,true
PUBLISHED_RECOVERY_EVIDENCE,REPOSITORY,data/derived/covalent_small/covapie_batch001_ndu4_leakage_recovery_and_formal_split_admission_v1/covapie_batch001_ndu4_leakage_recovery_evidence_v1.csv,11fe6752a5269aedc8a18599b6cdc8ef860bd8586835654b1732bad680980f0f,NDU4 recovery provenance lineage without recomputation,true
PUBLISHED_FORMAL_SOURCE_INVENTORY,REPOSITORY,data/derived/covalent_small/covapie_batch001_ndu4_leakage_recovery_and_formal_split_admission_v1/covapie_batch001_ndu4_source_binding_inventory_v1.csv,90658ab0803fbaee9f65e3837ca702cd66adb421bea5f8aa1102c490fe6d89a1,published split authority source lineage,true
PUBLISHED_FORMAL_MANIFEST,REPOSITORY,data/derived/covalent_small/covapie_batch001_ndu4_leakage_recovery_and_formal_split_admission_v1/covapie_batch001_ndu4_leakage_recovery_and_formal_split_admission_manifest_v1.json,5e4eb3007c3434879ff7fc7506487406a268060979ffd1cb879a5e6a7b9dfeb8,"published successor counts, readiness, and safety contract",true
STRUCTURAL_INPUT_OWNER,REPOSITORY,src/covalent_ext/covapie_batch001_positive_structural_input_v1.py,c4cada3c5d3e8e86176b097cc5546854122162055437e4667288ba2f82629067,exact13 retained ligand and pocket structural records,true
MIXED_PROFILE_PREVIEW_OWNER,REPOSITORY,src/covalent_ext/covapie_batch001_to_existing_mixed_profile_supervision_bridge_v1.py,168c819e0422b110880676c1a99b82a8531e94f9849a3dcfb7d4c45dbdd73400,"model inputs, role masks, labels, and inactive preview supervision",true
CURRENT11_TRAINING_TENSORIZER,REPOSITORY,src/covalent_ext/covapie_current11_training_tensorizer_v1.py,9fdc3f7f101fab5e5e5452e3d8e9f9b0b1e6e5fa8254a261f36310a1dfd0b606,unchanged 37-field supervision tensor carrier,true
DIRECT_ATTACHMENT_RUNTIME,REPOSITORY,src/covalent_ext/covapie_direct_attachment_optional_linker_runtime_v1.py,434285a43fa0158e62d40f48ed95d137f5fd68ea9b00101cc20674025849c535,role-profile task applicability and deterministic task scheduler,true
PAIR_LABEL_OWNER,REPOSITORY,src/covalent_ext/covapie_tensor_label_and_loss_mask_contract_design_v1.py,3d2d03cda56dfb4a54370444f255f9bb0ab433aaeb837901e769098272ff51ac,pair candidate and positive-label projection semantics,true
TRAIN5_ADMISSION_PREDECESSOR,REPOSITORY,src/covalent_ext/covapie_batch001_train5_admission_aware_cpu_forward_loss_smoke_v1.py,3f19d39148f374d14744fa714a2e7d648a37099168d539c14e7e2320d390ec21,already-proven exact train5 supervision activation cloning semantics,true
