canonical_event_id,ligand_component_id,formal_leakage_group_id,formal_split,split_admission_authoritative,role_profile,applicable_task_ids,model_integration_preview_ready,model_usable,sample_training_admitted,model_training_activation_authorized,optimizer_population_eligible,formal_validation_population_member,formal_test_population_member,training_scheduler_eligible,training_scheduled_task_id,activation_reason,authority_source
COVAPIE_CYS_SG_EVENT_V1:3LOK:A:CYS:345-:SG:C:DJK:C51,DJK,COVAPIE_EXPANSION_LEAKAGE_GROUP_B603B4C07705F93D,train,true,STRICT_LINKER_PRESENT_V1,0|1|2|3|4,true,true,true,true,true,false,false,true,4,EXACT_FORMAL_TRAIN5_MODEL_TRAINING_ACTIVATION_AUTHORIZED_V1,data/derived/covalent_small/covapie_batch001_ndu4_leakage_recovery_and_formal_split_admission_v1/covapie_batch001_ndu4_formal_event_split_admission_v1.csv@sha256:944fd8447aead448a6f825296872dfb7a2d4e24733dfeede5c93553b45bcdff5
COVAPIE_CYS_SG_EVENT_V1:3LOK:B:CYS:345-:SG:D:DJK:C51,DJK,COVAPIE_EXPANSION_LEAKAGE_GROUP_B603B4C07705F93D,train,true,STRICT_LINKER_PRESENT_V1,0|1|2|3|4,true,true,true,true,true,false,false,true,4,EXACT_FORMAL_TRAIN5_MODEL_TRAINING_ACTIVATION_AUTHORIZED_V1,data/derived/covalent_small/covapie_batch001_ndu4_leakage_recovery_and_formal_split_admission_v1/covapie_batch001_ndu4_formal_event_split_admission_v1.csv@sha256:944fd8447aead448a6f825296872dfb7a2d4e24733dfeede5c93553b45bcdff5
COVAPIE_CYS_SG_EVENT_V1:3I4A:A:CYS:274-:SG:C:LN5:CZ,LN5,COVAPIE_EXPANSION_LEAKAGE_GROUP_8B76795E5CE26D95,validation,true,STRICT_LINKER_PRESENT_V1,0|1|2|3|4,true,true,false,false,false,true,false,false,,FORMAL_VALIDATION4_HELD_OUT_TRAINING_INACTIVE_V1,data/derived/covalent_small/covapie_batch001_ndu4_leakage_recovery_and_formal_split_admission_v1/covapie_batch001_ndu4_formal_event_split_admission_v1.csv@sha256:944fd8447aead448a6f825296872dfb7a2d4e24733dfeede5c93553b45bcdff5
COVAPIE_CYS_SG_EVENT_V1:3I4A:B:CYS:274-:SG:D:LN5:CZ,LN5,COVAPIE_EXPANSION_LEAKAGE_GROUP_8B76795E5CE26D95,validation,true,STRICT_LINKER_PRESENT_V1,0|1|2|3|4,true,true,false,false,false,true,false,false,,FORMAL_VALIDATION4_HELD_OUT_TRAINING_INACTIVE_V1,data/derived/covalent_small/covapie_batch001_ndu4_leakage_recovery_and_formal_split_admission_v1/covapie_batch001_ndu4_formal_event_split_admission_v1.csv@sha256:944fd8447aead448a6f825296872dfb7a2d4e24733dfeede5c93553b45bcdff5
COVAPIE_CYS_SG_EVENT_V1:3O6T:A:CYS:37-:SG:E:PX5:C15,PX5,COVAPIE_EXPANSION_LEAKAGE_GROUP_AD79B40D8A505F37,validation,true,DIRECT_ATTACHMENT_OPTIONAL_LINKER_V1,0|3|4,true,true,false,false,false,true,false,false,,FORMAL_VALIDATION4_HELD_OUT_TRAINING_INACTIVE_V1,data/derived/covalent_small/covapie_batch001_ndu4_leakage_recovery_and_formal_split_admission_v1/covapie_batch001_ndu4_formal_event_split_admission_v1.csv@sha256:944fd8447aead448a6f825296872dfb7a2d4e24733dfeede5c93553b45bcdff5
COVAPIE_CYS_SG_EVENT_V1:3O6T:C:CYS:37-:SG:G:PX5:C15,PX5,COVAPIE_EXPANSION_LEAKAGE_GROUP_AD79B40D8A505F37,validation,true,DIRECT_ATTACHMENT_OPTIONAL_LINKER_V1,0|3|4,true,true,false,false,false,true,false,false,,FORMAL_VALIDATION4_HELD_OUT_TRAINING_INACTIVE_V1,data/derived/covalent_small/covapie_batch001_ndu4_leakage_recovery_and_formal_split_admission_v1/covapie_batch001_ndu4_formal_event_split_admission_v1.csv@sha256:944fd8447aead448a6f825296872dfb7a2d4e24733dfeede5c93553b45bcdff5
COVAPIE_CYS_SG_EVENT_V1:3B9H:A:CYS:146-:SG:D:NDU:C6,NDU,COVAPIE_LEAKAGE_GROUP_000005,test,true,STRICT_LINKER_PRESENT_V1,0|1|2|3|4,true,true,false,false,false,false,true,false,,FORMAL_TEST4_HELD_OUT_TRAINING_INACTIVE_V1,data/derived/covalent_small/covapie_batch001_ndu4_leakage_recovery_and_formal_split_admission_v1/covapie_batch001_ndu4_formal_event_split_admission_v1.csv@sha256:944fd8447aead448a6f825296872dfb7a2d4e24733dfeede5c93553b45bcdff5
COVAPIE_CYS_SG_EVENT_V1:3BHL:A:CYS:146-:SG:C:NDU:C6,NDU,COVAPIE_LEAKAGE_GROUP_000005,test,true,STRICT_LINKER_PRESENT_V1,0|1|2|3|4,true,true,false,false,false,false,true,false,,FORMAL_TEST4_HELD_OUT_TRAINING_INACTIVE_V1,data/derived/covalent_small/covapie_batch001_ndu4_leakage_recovery_and_formal_split_admission_v1/covapie_batch001_ndu4_formal_event_split_admission_v1.csv@sha256:944fd8447aead448a6f825296872dfb7a2d4e24733dfeede5c93553b45bcdff5
COVAPIE_CYS_SG_EVENT_V1:3BHL:B:CYS:146-:SG:G:NDU:C6,NDU,COVAPIE_LEAKAGE_GROUP_000005,test,true,STRICT_LINKER_PRESENT_V1,0|1|2|3|4,true,true,false,false,false,false,true,false,,FORMAL_TEST4_HELD_OUT_TRAINING_INACTIVE_V1,data/derived/covalent_small/covapie_batch001_ndu4_leakage_recovery_and_formal_split_admission_v1/covapie_batch001_ndu4_formal_event_split_admission_v1.csv@sha256:944fd8447aead448a6f825296872dfb7a2d4e24733dfeede5c93553b45bcdff5
COVAPIE_CYS_SG_EVENT_V1:3BHR:A:CYS:146-:SG:E:NDU:C6,NDU,COVAPIE_LEAKAGE_GROUP_000005,test,true,STRICT_LINKER_PRESENT_V1,0|1|2|3|4,true,true,false,false,false,false,true,false,,FORMAL_TEST4_HELD_OUT_TRAINING_INACTIVE_V1,data/derived/covalent_small/covapie_batch001_ndu4_leakage_recovery_and_formal_split_admission_v1/covapie_batch001_ndu4_formal_event_split_admission_v1.csv@sha256:944fd8447aead448a6f825296872dfb7a2d4e24733dfeede5c93553b45bcdff5
