audit_order,audit_item,expected_state,observed_state,safety_passed
1,production_design_only,true,true,true
2,shared_exact13_preserved,true,true,true
3,five_envelope_routing_frozen,true,true,true
4,stage_authority_only,true,true,true
5,adapter_direct_target_access_count_zero,true,true,true
6,formal_exactly_once,true,true,true
7,oracle_exactly_once,true,true,true
8,stage_context_identity_preserved,true,true,true
9,source_exact9_attested,true,true,true
10,oracle_exact9_attested,true,true,true
11,full_exact9_equivalence_required,true,true,true
12,bool_lowercase_projection,true,true,true
13,candidate_fields_empty,true,true,true
14,consumed_context_projection,true,true,true
15,pre_048_resolved,true,true,true
16,pre_049_open,true,true,true
17,issue_inventory_byte_identical,true,true,true
18,canonical_runtime,true,true,true
19,deterministic_materialization,true,true,true
20,runtime_handler_implemented,false,false,true
21,registry_changed,false,false,true
22,exact14_runtime_implemented,false,false,true
23,mandatory_enforcement_implemented,false,false,true
24,provider_mapping_implemented,false,false,true
25,network_executed,false,false,true
26,download_executed,false,false,true
27,raw_accessed,false,false,true
28,combined_verdict_implemented,false,false,true
29,cross_rule_aggregation_implemented,false,false,true
30,training_executed,false,false,true
31,current_main_staged,false,false,true
32,current_main_committed_or_pushed,false,false,true
