dependency_name,dependency_artifact_path,dependency_exists,dependency_row_count,dependency_expected_row_count,dependency_count_validated,dependency_qa_passed,blocking_reasons
step13w_manifest,data/derived/covalent_small/real_covalent_confirmed_candidate_model_input_materialization_smoke_v0/model_input_materialization_smoke_manifest.json,True,1,1,True,True,
step13w_model_input_smoke_index,data/derived/covalent_small/real_covalent_confirmed_candidate_model_input_materialization_smoke_v0/model_input_smoke_index.csv,True,3,3,True,True,
step13w_model_input_smoke_feature_status,data/derived/covalent_small/real_covalent_confirmed_candidate_model_input_materialization_smoke_v0/model_input_smoke_feature_status.csv,True,12,12,True,True,
step13w_model_input_smoke_mask_status,data/derived/covalent_small/real_covalent_confirmed_candidate_model_input_materialization_smoke_v0/model_input_smoke_mask_status.csv,True,5,5,True,True,
step13w_model_input_materialization_smoke_audit,data/derived/covalent_small/real_covalent_confirmed_candidate_model_input_materialization_smoke_v0/model_input_materialization_smoke_audit.csv,True,3,3,True,True,
step13v_sample_contract,data/derived/covalent_small/real_covalent_confirmed_candidate_model_input_design_gate_v0/model_input_sample_contract.csv,True,3,3,True,True,
step13v_mask_contract,data/derived/covalent_small/real_covalent_confirmed_candidate_model_input_design_gate_v0/model_input_mask_contract.csv,True,5,5,True,True,
step13v_feature_semantics_contract,data/derived/covalent_small/real_covalent_confirmed_candidate_model_input_design_gate_v0/model_input_feature_semantics_contract.csv,True,12,12,True,True,
step13t_sample_index_smoke,data/derived/covalent_small/real_covalent_confirmed_candidate_sample_index_materialization_smoke_v0/real_covalent_confirmed_candidate_sample_index_smoke.csv,True,3,3,True,True,
step13l_pocket_atom_table,data/derived/covalent_small/real_covalent_confirmed_candidate_pocket_extraction_smoke_v0/real_covalent_confirmed_candidate_pocket_atom_table.csv,True,741,741,True,True,
