contract_item_id,contract_area,requirement,expected_value,observed_value,contract_passed,blocking_reason
P6B0_C001,lineage,P6-A predecessor stage and state,true,true,true,
P6B0_C002,lineage,source input count,10,10,true,
P6B0_C003,lineage,P6-A binding shape,11x26,11x26,true,
P6B0_C004,lineage,historical binding count,3,3,true,
P6B0_C005,lineage,canonical five masks include B3,true,true,true,
P6B0_C006,roles,availability exact expected-snapshot header,true,true,true,
P6B0_C007,roles,integrity exact prior-observed header,true,true,true,
P6B0_C008,roles,independence exact corroboration header,true,true,true,
P6B0_C009,roles,source role mapping exact,true,true,true,
P6B0_C010,roles,current raw used to define expected hash,false,false,true,
P6B0_C011,joins,target identity count,3,3,true,
P6B0_C012,joins,target identity order,true,true,true,
P6B0_C013,joins,binding ID match count,3,3,true,
P6B0_C014,joins,raw path match count,3,3,true,
P6B0_C015,joins,identity match count,3,3,true,
P6B0_C016,joins,source status pass count,3,3,true,
P6B0_C017,joins,authority source count per row,3,3,true,
P6B0_C018,fingerprints,expected hash count,3,3,true,
P6B0_C019,fingerprints,prior observed hash count,3,3,true,
P6B0_C020,fingerprints,before hash count,3,3,true,
P6B0_C021,fingerprints,after hash count,3,3,true,
P6B0_C022,fingerprints,four-hash match count,3,3,true,
P6B0_C023,fingerprints,expected size count,3,3,true,
P6B0_C024,fingerprints,observed size count,3,3,true,
P6B0_C025,validators,malformed hashes rejected,true,true,true,
P6B0_C026,validators,nonpositive sizes rejected,true,true,true,
P6B0_C027,validators,unsafe paths rejected,true,true,true,
P6B0_C028,authority,authority output shape,3x25,3x25,true,
P6B0_C029,authority,authority passed count,3,3,true,
P6B0_C030,authority,authority permitted count,3,3,true,
P6B0_C031,authority,authority blocked count,0,0,true,
P6B0_C032,authority,size match count,3,3,true,
P6B0_C033,authority,grounded source locator count,3,3,true,
P6B0_C034,readiness,ready for P6-B raw precondition,true,true,true,
P6B0_C035,safety,raw stat current step,false,false,true,
P6B0_C036,safety,raw read current step,false,false,true,
P6B0_C037,safety,raw hash current step,false,false,true,
P6B0_C038,safety,raw parse current step,false,false,true,
P6B0_C039,safety,parser and provider called,false,false,true,
P6B0_C040,readiness,real samples remain 11/11/0,true,true,true,
P6B0_C041,readiness,ADMIT_004 ready,false,false,true,
P6B0_C042,readiness,E1 ready,false,false,true,
P6B0_C043,readiness,candidate evaluation ready,false,false,true,
P6B0_C044,readiness,bulk download ready,false,false,true,
P6B0_C045,readiness,training ready,false,false,true,
P6B0_C046,readiness,feature semantics audit required,true,true,true,
P6B0_C047,issues,follow-up issue count,3,3,true,
P6B0_C048,sources,source boundary pass count,10,10,true,
