source_order,source_relative_path,sha256_expected,sha256_observed,tracked,regular_file,symlink,source_check_passed,blocking_reason
1,src/covalent_ext/covapie_bulk_download_admission_covalent_residue_locator_real_parser_provider_pipeline_integration_design_gate.py,7d43c30f87b3e4c8a44d27b63ec51ba63307dcf23c16571be1d562d0b737c650,7d43c30f87b3e4c8a44d27b63ec51ba63307dcf23c16571be1d562d0b737c650,true,true,false,true,
2,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_parser_provider_pipeline_integration_design_gate_v1/covapie_covalent_residue_locator_real_pipeline_integration_contract.csv,10950aeeb123be6ca3758c5001d57bdf80c1175e7585fbcbe234ed626b872958,10950aeeb123be6ca3758c5001d57bdf80c1175e7585fbcbe234ed626b872958,true,true,false,true,
3,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_parser_provider_pipeline_integration_design_gate_v1/covapie_covalent_residue_locator_real_sample_binding_matrix.csv,61a1e77c81a8a0d335bbafd454d2926be442c2dd794bce8b75dc8a1451f78e98,61a1e77c81a8a0d335bbafd454d2926be442c2dd794bce8b75dc8a1451f78e98,true,true,false,true,
4,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_parser_provider_pipeline_integration_design_gate_v1/covapie_covalent_residue_locator_real_pipeline_source_boundary_audit.csv,5ff1578cc4a1dd3e939bc8eddea862f5875abfcc478c43477887197a358a84c2,5ff1578cc4a1dd3e939bc8eddea862f5875abfcc478c43477887197a358a84c2,true,true,false,true,
5,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_parser_provider_pipeline_integration_design_gate_v1/covapie_covalent_residue_locator_real_pipeline_safety_audit.csv,bb159ee4a8d2ddedb941e221f85bb2f42fc314064be17f9c3c0aa0a0f3eb296b,bb159ee4a8d2ddedb941e221f85bb2f42fc314064be17f9c3c0aa0a0f3eb296b,true,true,false,true,
6,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_parser_provider_pipeline_integration_design_gate_v1/covapie_covalent_residue_locator_real_pipeline_issue_inventory.csv,9d1e4fe7e7f6f4149ab57826b5dadbab1b98679f9441fd99d4870ba681861e83,9d1e4fe7e7f6f4149ab57826b5dadbab1b98679f9441fd99d4870ba681861e83,true,true,false,true,
7,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_parser_provider_pipeline_integration_design_gate_v1/covapie_covalent_residue_locator_real_parser_provider_pipeline_integration_design_manifest.json,cc3f824bb196847fcb175589e4682e2d39037177eb3564629498ae004ae7816e,cc3f824bb196847fcb175589e4682e2d39037177eb3564629498ae004ae7816e,true,true,false,true,
8,data/derived/covalent_small/covapie_independent_group_expansion_batch_independence_evidence_materialization_smoke_v0/covapie_unified_independence_evidence_source_inventory.csv,9e9d8de870b4c6d149c8f414f04cb88e6d88495535c23cd2f7b161180faa0501,9e9d8de870b4c6d149c8f414f04cb88e6d88495535c23cd2f7b161180faa0501,true,true,false,true,
9,data/derived/covalent_small/covapie_cys_sg_future_struct_conn_crosscheck_controlled_raw_acquisition_gate_v0/covapie_cys_sg_controlled_raw_file_availability_manifest.csv,a3f08ef9ce402b083be6fe0582e9d37921a921c0c95e97481640a606de4d85b8,a3f08ef9ce402b083be6fe0582e9d37921a921c0c95e97481640a606de4d85b8,true,true,false,true,
10,data/derived/covalent_small/covapie_cys_sg_future_struct_conn_crosscheck_controlled_raw_acquisition_gate_v0/covapie_cys_sg_controlled_raw_file_integrity_audit.csv,85ff6671f7f750f1451477068aca3a5948a163197edd6647de31de446f91bffd,85ff6671f7f750f1451477068aca3a5948a163197edd6647de31de446f91bffd,true,true,false,true,
