stage,previous_stage,section,status,evidence,blocking_reasons,recommended_next_step
covapie_external_metadata_index_rediscovery_smoke_v0,covapie_covpdb_metadata_only_acquisition_smoke_v0,step13ao_precondition,passed,"{""passed"": true}",,covapie_external_metadata_index_schema_probe_design_gate
covapie_external_metadata_index_rediscovery_smoke_v0,covapie_covpdb_metadata_only_acquisition_smoke_v0,historical_step13an_state,passed,"{""blocked_state_validated"": true}",,covapie_external_metadata_index_schema_probe_design_gate
covapie_external_metadata_index_rediscovery_smoke_v0,covapie_covpdb_metadata_only_acquisition_smoke_v0,source_config,passed,"{""source_name"": ""CovPDB""}",,covapie_external_metadata_index_schema_probe_design_gate
covapie_external_metadata_index_rediscovery_smoke_v0,covapie_covpdb_metadata_only_acquisition_smoke_v0,file_discovery,passed,"{""metadata_index_file_exists"": true}",,covapie_external_metadata_index_schema_probe_design_gate
covapie_external_metadata_index_rediscovery_smoke_v0,covapie_covpdb_metadata_only_acquisition_smoke_v0,header_probe,passed,"{""column_count"": 19}",,covapie_external_metadata_index_schema_probe_design_gate
covapie_external_metadata_index_rediscovery_smoke_v0,covapie_covpdb_metadata_only_acquisition_smoke_v0,sample_rows_probe,passed,"{""row_count"": 25}",,covapie_external_metadata_index_schema_probe_design_gate
covapie_external_metadata_index_rediscovery_smoke_v0,covapie_covpdb_metadata_only_acquisition_smoke_v0,schema_probe,passed,"{""columns"": 19}",,covapie_external_metadata_index_schema_probe_design_gate
covapie_external_metadata_index_rediscovery_smoke_v0,covapie_covpdb_metadata_only_acquisition_smoke_v0,event_key_boundary,passed,"{""event_key_materialized_current_step"": false}",,covapie_external_metadata_index_schema_probe_design_gate
covapie_external_metadata_index_rediscovery_smoke_v0,covapie_covpdb_metadata_only_acquisition_smoke_v0,execution_boundary,passed,"{""network_access_used"": false}",,covapie_external_metadata_index_schema_probe_design_gate
covapie_external_metadata_index_rediscovery_smoke_v0,covapie_covpdb_metadata_only_acquisition_smoke_v0,git_safety,passed,"{""rows"": 10}",,covapie_external_metadata_index_schema_probe_design_gate
covapie_external_metadata_index_rediscovery_smoke_v0,covapie_covpdb_metadata_only_acquisition_smoke_v0,mask_scope,passed,"{""mask_count"": 5}",,covapie_external_metadata_index_schema_probe_design_gate
covapie_external_metadata_index_rediscovery_smoke_v0,covapie_covpdb_metadata_only_acquisition_smoke_v0,feature_semantics,passed,"{""rows"": 12}",,covapie_external_metadata_index_schema_probe_design_gate
covapie_external_metadata_index_rediscovery_smoke_v0,covapie_covpdb_metadata_only_acquisition_smoke_v0,leakage_split,passed,"{""rows"": 12}",,covapie_external_metadata_index_schema_probe_design_gate
covapie_external_metadata_index_rediscovery_smoke_v0,covapie_covpdb_metadata_only_acquisition_smoke_v0,readiness_boundary,passed,"{""ready_for_schema_probe_design_gate"": true}",,covapie_external_metadata_index_schema_probe_design_gate
