metadata_column,column_order,column_present,schema_probe_status,schema_probe_passed,blocking_reasons
source_dataset_name,1,True,present,True,
source_dataset_version,2,True,present,True,
source_page_url,3,True,present,True,
source_record_url,4,True,present,True,
covpdb_record_index,5,True,present,True,
pdb_id,6,True,present,True,
protein_name,7,True,present,True,
organism,8,True,present,True,
uniprot_id,9,True,present,True,
uniprot_label,10,True,present,True,
ligand_name,11,True,present,True,
het_code,12,True,present,True,
covpdb_ligand_id,13,True,present,True,
covpdb_complex_card_url,14,True,present,True,
acquisition_method,15,True,present,True,
acquisition_timestamp_utc,16,True,present,True,
raw_structure_downloaded,17,True,present,True,
raw_ligand_downloaded,18,True,present,True,
metadata_only_record,19,True,present,True,
