boundary_item,current_step_status,execution_boundary_passed,blocking_reasons
external_metadata_index_rediscovery_smoke,executed_metadata_index_rediscovery_only,True,
step13ao_manifest_read,executed_manifest_read_only,True,
historical_step13an_manifest_read,executed_manifest_read_only,True,
step13am_source_config_read,executed_config_read_only,True,
metadata_csv_file_discovery,executed_metadata_csv_file_discovery_only,True,
metadata_csv_header_probe,executed_metadata_csv_header_probe_only,True,
metadata_csv_sample_rows_probe,executed_metadata_csv_sample_rows_probe_only,True,
metadata_csv_schema_probe,executed_metadata_csv_schema_probe_only,True,
external_network_access,not_executed_or_not_allowed,True,
metadata_download,not_executed_or_not_allowed,True,
raw_structure_download,not_executed_or_not_allowed,True,
raw_data_read,not_executed_or_not_allowed,True,
sdf_read,not_executed_or_not_allowed,True,
pdb_read,not_executed_or_not_allowed,True,
mmcif_read,not_executed_or_not_allowed,True,
gzip_open,not_executed_or_not_allowed,True,
rdkit_use,not_executed_or_not_allowed,True,
candidate_metadata_materialization,not_executed_or_not_allowed,True,
torch_import,not_executed_or_not_allowed,True,
training_claim,not_executed_or_not_allowed,True,
