row_type,mask_level,expected_reactive_atom_region,device,cuda_available,requested_device,resolved_device,cuda_device_count,cuda_device_name,torch_version,step12j_filtered_cuda_backward_smoke_validated,step12b_mask_level_aware_validator_validated,filtered_batch_constructed,filtered_batch_on_cuda,checkpoint_compatible_batch_constructed_after_filter,ligand_feature_dim,pocket_feature_dim,ligand_one_hot_row_sums_valid_after_filter,pocket_one_hot_row_sums_valid_after_filter,ligand_unknown_atom_count_after_filter,pocket_unknown_atom_count_after_filter,ligand_masks_unchanged_after_filter,ligand_reactive_atom_region_preserved,no_synthetic_fallback_used,production_filter_helper_used,model_forward_called,model_forward_call_count_for_level,loss_compute_called,loss_compute_call_count_for_level,selected_loss_key,selected_loss_value,selected_loss_finite,selected_loss_requires_grad,selected_loss_device,filtered_pocket_atom_count,filtered_pocket_atom_numbers,target_atom_count,context_atom_count,aggregate_loss_reduction,aggregate_loss_value,aggregate_loss_finite,aggregate_loss_requires_grad,aggregate_loss_device,backward_called,backward_call_count,backward_success,trainable_parameter_count,parameters_with_grad_count,parameters_with_nonzero_grad_count,finite_nonzero_gradients,total_grad_norm,max_abs_grad,grad_nan_count,grad_inf_count,optimizer_name,optimizer_lr,optimizer_weight_decay,optimizer_created,optimizer_create_count,optimizer_zero_grad_called,optimizer_zero_grad_call_count,optimizer_step_called,optimizer_step_call_count,optimizer_step_exactly_once,parameter_update_checked,parameters_checked_for_update_count,parameters_changed_count,parameters_with_finite_update_count,parameters_with_nonzero_update_count,finite_nonzero_parameter_update,total_update_norm,max_abs_update,update_nan_count,update_inf_count,real_covalent_filtered_single_optimizer_step_smoke_passed,real_covalent_filtered_single_update_contract_proven,real_covalent_filtered_multi_step_training_allowed,recommended_next_step,status,blocking_reasons
step12j_precondition,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passed,[]
cuda_readiness,,,,True,cuda,cuda:0,1,NVIDIA A100-SXM4-80GB,2.0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passed,[]
mask_level_filtered_cuda_forward_loss,A_warhead_only,target,cuda:0,,,,,,,,,True,True,True,10,10,True,True,0,0,True,True,True,True,True,1,True,1,masked_loss_total_dry,66.32198333740234,True,True,cuda:0,1,[12],8,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passed,[]
mask_level_filtered_cuda_forward_loss,B_linker_warhead,target,cuda:0,,,,,,,,,True,True,True,10,10,True,True,0,0,True,True,True,True,True,1,True,1,masked_loss_total_dry,82.32073211669922,True,True,cuda:0,1,[12],19,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passed,[]
mask_level_filtered_cuda_forward_loss,B2_scaffold_warhead,target,cuda:0,,,,,,,,,True,True,True,10,10,True,True,0,0,True,True,True,True,True,1,True,1,masked_loss_total_dry,222.02752685546875,True,True,cuda:0,1,[12],52,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passed,[]
mask_level_filtered_cuda_forward_loss,B3_scaffold_only,context,cuda:0,,,,,,,,,True,True,True,10,10,True,True,0,0,True,True,True,True,True,1,True,1,masked_loss_total_dry,134.1734161376953,True,True,cuda:0,1,[12],44,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passed,[]
mask_level_filtered_cuda_forward_loss,C_scaffold_linker_warhead,target,cuda:0,,,,,,,,,True,True,True,10,10,True,True,0,0,True,True,True,True,True,1,True,1,masked_loss_total_dry,125.85729217529297,True,True,cuda:0,1,[12],63,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passed,[]
aggregate_backward,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,126.14019012451172,True,True,cuda:0,True,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passed,[]
gradient_summary,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1005418,111,111,True,2106.7007424218664,771.223876953125,0,0,,,,,,,,,,,,,,,,,,,,,,,,,passed,[]
optimizer_step,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AdamW,1e-06,0.0,True,1,True,1,True,1,True,,,,,,,,,,,,,,,passed,[]
parameter_update_summary,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,115,111,115,111,True,0.0010044588690241347,1.0132789611816406e-06,0,0,,,,,passed,[]
decision,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,real_covalent_training_loop_design_gate,passed,[]
