stage,previous_stage,section,status,evidence,decision,blocking_reasons,recommended_next_step
real_covalent_filtered_single_optimizer_step_smoke_v0,real_covalent_filtered_cuda_forward_backward_smoke_v0,step12j_precondition,passed,"{""step12b_mask_level_aware_validator_validated"": true, ""step12j_filtered_cuda_backward_smoke_validated"": true}",Step 12J CUDA backward smoke and Step 12B validator evidence are accepted.,,real_covalent_training_loop_design_gate
real_covalent_filtered_single_optimizer_step_smoke_v0,real_covalent_filtered_cuda_forward_backward_smoke_v0,cuda_readiness,passed,"{""blocking_reasons"": [], ""cuda_available"": true, ""cuda_device_count"": 1, ""cuda_device_name"": ""NVIDIA A100-SXM4-80GB"", ""cuda_runtime_version"": ""11.8"", ""requested_device"": ""cuda"", ""resolved_device"": ""cuda:0"", ""status"": ""passed"", ""torch_version"": ""2.0.1""}",CUDA is available and no CPU fallback is used.,,real_covalent_training_loop_design_gate
real_covalent_filtered_single_optimizer_step_smoke_v0,real_covalent_filtered_cuda_forward_backward_smoke_v0,filtered_batch_construction,passed,"{""all_filtered_batches_constructed"": true, ""all_filtered_batches_on_cuda"": true, ""production_filter_helper_used"": true}",All five filtered checkpoint-compatible batches are built on CUDA.,,real_covalent_training_loop_design_gate
real_covalent_filtered_single_optimizer_step_smoke_v0,real_covalent_filtered_cuda_forward_backward_smoke_v0,strict_pretrained_model_load,passed,"{""model_device"": ""cuda:0"", ""model_instantiated"": true, ""pretrained_weights_loaded"": true, ""strict_load_success"": true}",The pretrained checkpoint is strict-loaded once and placed on CUDA.,,real_covalent_training_loop_design_gate
real_covalent_filtered_single_optimizer_step_smoke_v0,real_covalent_filtered_cuda_forward_backward_smoke_v0,cuda_forward_loss,passed,"{""all_losses_finite"": true, ""all_losses_on_cuda"": true, ""loss_compute_call_count"": 5, ""model_forward_call_count"": 5}",A/B/B2/B3/C each run one CUDA forward and one finite loss calculation.,,real_covalent_training_loop_design_gate
real_covalent_filtered_single_optimizer_step_smoke_v0,real_covalent_filtered_cuda_forward_backward_smoke_v0,aggregate_backward,passed,"{""aggregate_loss_device"": ""cuda:0"", ""aggregate_loss_value"": 126.14019012451172, ""backward_call_count"": 1, ""backward_success"": true}",Mean aggregate loss runs exactly one gradient pass.,,real_covalent_training_loop_design_gate
real_covalent_filtered_single_optimizer_step_smoke_v0,real_covalent_filtered_cuda_forward_backward_smoke_v0,gradient_summary,passed,"{""finite_nonzero_gradients"": true, ""max_abs_grad"": 771.223876953125, ""total_grad_norm"": 2106.7007424218664}",Trainable parameters have finite nonzero gradients.,,real_covalent_training_loop_design_gate
real_covalent_filtered_single_optimizer_step_smoke_v0,real_covalent_filtered_cuda_forward_backward_smoke_v0,optimizer_step,passed,"{""optimizer_created"": true, ""optimizer_name"": ""AdamW"", ""optimizer_step_call_count"": 1}",AdamW is created once and a single update call is executed.,,real_covalent_training_loop_design_gate
real_covalent_filtered_single_optimizer_step_smoke_v0,real_covalent_filtered_cuda_forward_backward_smoke_v0,parameter_update_summary,passed,"{""finite_nonzero_parameter_update"": true, ""parameters_changed_count"": 111, ""parameters_checked_for_update_count"": 115, ""total_update_norm"": 0.0010044588690241347}",At least one trainable parameter has a finite nonzero update.,,real_covalent_training_loop_design_gate
real_covalent_filtered_single_optimizer_step_smoke_v0,real_covalent_filtered_cuda_forward_backward_smoke_v0,safety_and_next_step_decision,passed,"{""checkpoint_saved"": false, ""model_saved"": false, ""npz_created"": false, ""real_covalent_filtered_multi_step_training_allowed"": false, ""recommended_next_step"": ""real_covalent_training_loop_design_gate"", ""tensor_dump_saved"": false, ""trainer_fit_called"": false, ""training_step_called"": false}",No trainer/save/protected-source change occurred; next stage is loop design gate.,,real_covalent_training_loop_design_gate
