sample_index_row_id,pdb_id,ligand_comp_id,observed_atom_name,observed_type_symbol,source_full_atom_row_index,retained_heavy_local_index_0based,parent_ccd_atom_id,parent_ccd_type_symbol,parent_ccd_formal_charge,parent_ccd_heavy_atom_row_index_0based,atom_name_exact_match,element_exact_match,reactive_ligand_atom,component_parent_graph_sha256,observed_graph_sha256,mapping_authority_source_path,mapping_authority_source_sha256,authority_class,verified
CYS_SG_SAMPLE_INDEX_000001,6BV6,JUG,OAA,O,0,0,OAA,O,0,0,true,true,false,96aad302f8a2d416f4e8165465ffdf5326715c26e96e61a2773644ff0df22d6a,96aad302f8a2d416f4e8165465ffdf5326715c26e96e61a2773644ff0df22d6a,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/ligand_atom_table.csv,c91bb14b37c9b7231cb0e2fac4e2ba39ce65d65b6a9481b1e83b83890f2e1650,BASE_tracked_observed_atom_name_to_sha_attested_parent_ccd_exact_mapping,true
CYS_SG_SAMPLE_INDEX_000001,6BV6,JUG,CAJ,C,1,1,CAJ,C,0,1,true,true,false,96aad302f8a2d416f4e8165465ffdf5326715c26e96e61a2773644ff0df22d6a,96aad302f8a2d416f4e8165465ffdf5326715c26e96e61a2773644ff0df22d6a,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/ligand_atom_table.csv,c91bb14b37c9b7231cb0e2fac4e2ba39ce65d65b6a9481b1e83b83890f2e1650,BASE_tracked_observed_atom_name_to_sha_attested_parent_ccd_exact_mapping,true
CYS_SG_SAMPLE_INDEX_000001,6BV6,JUG,CAF,C,2,2,CAF,C,0,2,true,true,false,96aad302f8a2d416f4e8165465ffdf5326715c26e96e61a2773644ff0df22d6a,96aad302f8a2d416f4e8165465ffdf5326715c26e96e61a2773644ff0df22d6a,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/ligand_atom_table.csv,c91bb14b37c9b7231cb0e2fac4e2ba39ce65d65b6a9481b1e83b83890f2e1650,BASE_tracked_observed_atom_name_to_sha_attested_parent_ccd_exact_mapping,true
CYS_SG_SAMPLE_INDEX_000001,6BV6,JUG,CAG,C,3,3,CAG,C,0,3,true,true,true,96aad302f8a2d416f4e8165465ffdf5326715c26e96e61a2773644ff0df22d6a,96aad302f8a2d416f4e8165465ffdf5326715c26e96e61a2773644ff0df22d6a,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/ligand_atom_table.csv,c91bb14b37c9b7231cb0e2fac4e2ba39ce65d65b6a9481b1e83b83890f2e1650,BASE_tracked_observed_atom_name_to_sha_attested_parent_ccd_exact_mapping,true
CYS_SG_SAMPLE_INDEX_000001,6BV6,JUG,CAK,C,4,4,CAK,C,0,4,true,true,false,96aad302f8a2d416f4e8165465ffdf5326715c26e96e61a2773644ff0df22d6a,96aad302f8a2d416f4e8165465ffdf5326715c26e96e61a2773644ff0df22d6a,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/ligand_atom_table.csv,c91bb14b37c9b7231cb0e2fac4e2ba39ce65d65b6a9481b1e83b83890f2e1650,BASE_tracked_observed_atom_name_to_sha_attested_parent_ccd_exact_mapping,true
CYS_SG_SAMPLE_INDEX_000001,6BV6,JUG,OAB,O,5,5,OAB,O,0,5,true,true,false,96aad302f8a2d416f4e8165465ffdf5326715c26e96e61a2773644ff0df22d6a,96aad302f8a2d416f4e8165465ffdf5326715c26e96e61a2773644ff0df22d6a,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/ligand_atom_table.csv,c91bb14b37c9b7231cb0e2fac4e2ba39ce65d65b6a9481b1e83b83890f2e1650,BASE_tracked_observed_atom_name_to_sha_attested_parent_ccd_exact_mapping,true
CYS_SG_SAMPLE_INDEX_000001,6BV6,JUG,CAM,C,6,6,CAM,C,0,6,true,true,false,96aad302f8a2d416f4e8165465ffdf5326715c26e96e61a2773644ff0df22d6a,96aad302f8a2d416f4e8165465ffdf5326715c26e96e61a2773644ff0df22d6a,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/ligand_atom_table.csv,c91bb14b37c9b7231cb0e2fac4e2ba39ce65d65b6a9481b1e83b83890f2e1650,BASE_tracked_observed_atom_name_to_sha_attested_parent_ccd_exact_mapping,true
CYS_SG_SAMPLE_INDEX_000001,6BV6,JUG,CAL,C,7,7,CAL,C,0,7,true,true,false,96aad302f8a2d416f4e8165465ffdf5326715c26e96e61a2773644ff0df22d6a,96aad302f8a2d416f4e8165465ffdf5326715c26e96e61a2773644ff0df22d6a,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/ligand_atom_table.csv,c91bb14b37c9b7231cb0e2fac4e2ba39ce65d65b6a9481b1e83b83890f2e1650,BASE_tracked_observed_atom_name_to_sha_attested_parent_ccd_exact_mapping,true
CYS_SG_SAMPLE_INDEX_000001,6BV6,JUG,CAH,C,8,8,CAH,C,0,8,true,true,false,96aad302f8a2d416f4e8165465ffdf5326715c26e96e61a2773644ff0df22d6a,96aad302f8a2d416f4e8165465ffdf5326715c26e96e61a2773644ff0df22d6a,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/ligand_atom_table.csv,c91bb14b37c9b7231cb0e2fac4e2ba39ce65d65b6a9481b1e83b83890f2e1650,BASE_tracked_observed_atom_name_to_sha_attested_parent_ccd_exact_mapping,true
CYS_SG_SAMPLE_INDEX_000001,6BV6,JUG,CAD,C,9,9,CAD,C,0,9,true,true,false,96aad302f8a2d416f4e8165465ffdf5326715c26e96e61a2773644ff0df22d6a,96aad302f8a2d416f4e8165465ffdf5326715c26e96e61a2773644ff0df22d6a,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/ligand_atom_table.csv,c91bb14b37c9b7231cb0e2fac4e2ba39ce65d65b6a9481b1e83b83890f2e1650,BASE_tracked_observed_atom_name_to_sha_attested_parent_ccd_exact_mapping,true
