failure_case,mutation_signature,mutated_fields,expected_reasons,observed_reasons,expected_reasons_verified,fails_closed,ready_for_reaction_family_rule_design,ready_for_role_proposal_generation,ready_for_mask_materialization,ready_for_model_integration,ready_for_training,verified
observed source missing,dc511ed5be2de44471bc2368be492c24c8019a314b5e14c603cf492786f95e1c,"{""observed_source_present"":false}",observed_source_missing,observed_source_missing,true,true,false,false,false,false,false,true
observed source not BASE tracked,d4a457a0a6498f402621e01dcd488c0c26b28a454c948c94ea0e4d03524f9dcf,"{""observed_source_base_tracked"":false}",observed_source_not_BASE_tracked,observed_source_not_BASE_tracked,true,true,false,false,false,false,false,true
sample coverage incomplete,d7df4c6ff1c526f181e26335fbbef70401b2685c9930ddc712be2e85c6c882c9,"{""sample_coverage_complete"":false}",sample_coverage_incomplete,sample_coverage_incomplete,true,true,false,false,false,false,false,true
atom row coverage incomplete,1ff8b44d53aa865dc56a1c26c2511ab762ada5a42452fc8f6a45fd6c3849de87,"{""atom_row_coverage_complete"":false}",atom_row_coverage_incomplete,atom_row_coverage_incomplete,true,true,false,false,false,false,false,true
duplicate sample identity,15ef40eec41338349d5d64fcd69a90745e85610177fc5017ecd8d3e3dd20c049,"{""duplicate_sample_identity_count"":1}",duplicate_sample_identity,duplicate_sample_identity,true,true,false,false,false,false,false,true
duplicate observed atom name,fcc9f21d1daa7db88dc2d915df4a56e67c8aed048c2c929c2ba98259883b4dae,"{""duplicate_observed_atom_name_count"":1}",duplicate_observed_atom_name,duplicate_observed_atom_name,true,true,false,false,false,false,false,true
duplicate source full-row index,707256cba5ec1c704f1ac3eb3797b37cfe1dc4bf56f3d5adcd7804fc99e9c0e6,"{""duplicate_source_full_row_index_count"":1}",duplicate_source_full_row_index,duplicate_source_full_row_index,true,true,false,false,false,false,false,true
duplicate retained local index,249a633128c84e8776246591d4b1de68bfa9644dc237e83046ce9cdd6c70aa0a,"{""duplicate_retained_local_index_count"":1}",duplicate_retained_local_index,duplicate_retained_local_index,true,true,false,false,false,false,false,true
non-contiguous retained local index,a8c493e22219cfc1a81421e01181d6228a32ba3d7781de8565a42af31dc6f3d8,"{""retained_local_indices_contiguous"":false}",retained_local_index_noncontiguous,retained_local_index_noncontiguous,true,true,false,false,false,false,false,true
observed atom name missing,4ad53947ef9ad13f7061e40d56cb47b17966b338d0c0ad42b7280f4d0aa39acc,"{""observed_atom_name_present"":false}",observed_atom_name_missing,observed_atom_name_missing,true,true,false,false,false,false,false,true
parent CCD atom missing,307016b50a1384306b9b181d9f68cec4d2a8b224c2a67922eb421051f8300897,"{""parent_ccd_atom_present"":false}",parent_CCD_atom_missing,parent_CCD_atom_missing,true,true,false,false,false,false,false,true
element mismatch,7dc8975934897ef5ffd9d9903dacfee7abf07f7755866946bcce24d15c435c3c,"{""element_matches"":false}",observed_parent_element_mismatch,observed_parent_element_mismatch,true,true,false,false,false,false,false,true
reactive atom absent,cad57c24a92622a589283cc6e779a9d8cb4e13c5c7364f57211772471e87846a,"{""reactive_atom_count"":0}",reactive_ligand_atom_absent,reactive_ligand_atom_absent,true,true,false,false,false,false,false,true
reactive atom duplicated,355fdcfa794bbbef72216f135fa19c7bfb1b765d9bb111157db458f0dae03adc,"{""reactive_atom_count"":2}",reactive_ligand_atom_duplicated,reactive_ligand_atom_duplicated,true,true,false,false,false,false,false,true
