source_path,source_sha256,source_kind,BASE_tracked,row_level_atom_names_present,element_present,source_row_index_present,retained_local_index_present,Current11_coverage,authority_class,blocking_reasons,verified
src/covalent_ext/covapie_exact9_audited_local_ccd_parent_graph_authority_v1.py,b2bc177fdd2e10cfc643329f08a12a22684eaa6317a398ae1d4d1b834525d4cd,Exact9_parent_graph_production_source,true,false,false,false,false,9/9 parent components,BASE_tracked_Exact9_parent_graph_authority,,true
data/derived/covalent_small/covapie_exact9_audited_local_ccd_parent_graph_authority_v1/covapie_exact9_parent_heavy_atom_authority.csv,d50b052c2ed2573ccfdcf66470a077744ad11f4a083daee11f20d794b3b23fe7,Exact9_parent_heavy_atom_authority,true,false,true,false,false,9/9 parent components,BASE_tracked_Exact9_parent_graph_authority,,true
data/derived/covalent_small/covapie_exact9_audited_local_ccd_parent_graph_authority_v1/covapie_exact9_parent_heavy_bond_authority.csv,26957b9f78217c808d2dc021cfab1a2bf78dd1708c46c49f220ae32a3a09ebbf,Exact9_parent_heavy_bond_authority,true,false,false,false,false,9/9 parent components,BASE_tracked_Exact9_parent_graph_authority,,true
data/derived/covalent_small/covapie_exact9_audited_local_ccd_parent_graph_authority_v1/covapie_current11_parent_component_graph_readiness_matrix.csv,3e49c995250862b5d2ad6ef69da05e27ada9c908d4ed278257c6258f55d7bfd9,Current11_parent_graph_readiness_identity_authority,true,false,false,false,false,11/11 samples,BASE_tracked_Current11_supporting_evidence,,true
data/derived/covalent_small/covapie_exact9_audited_local_ccd_parent_graph_authority_v1/covapie_exact9_audited_local_ccd_parent_graph_authority_manifest.json,c1d6157b89d54ce0d195bad620fda4db44b5a73f3f21a2c659d7fdaadc35fd51,Exact9_parent_graph_manifest,true,false,false,false,false,9/9 parent components,BASE_tracked_Exact9_parent_graph_authority,,true
data/derived/covalent_small/covapie_independent_group_expansion_batch_independence_evidence_materialization_smoke_v0/covapie_ligand_graph_scaffold_evidence.csv,982a9f89a89d3a4ad6a3e468cfd16d2fdfd5435cbf6d593e086fbd7fadd3ec73,Current11_atom_inventory_and_leaving_group_evidence,true,false,false,false,false,11/11 samples,BASE_tracked_Current11_supporting_evidence,,true
data/derived/covalent_small/covapie_final_dataset_materialization_smoke_v0/final_dataset_index.csv,c4c31888cb0f7c148b00656ccf22ab68fab842fcdafdee049b2f420eddc1302d,original_Current3_sample_index,true,false,false,false,false,3/11 samples,BASE_tracked_original_sample_index_evidence,,true
data/derived/covalent_small/covapie_covalent_bond_atom_pair_encoding_contract_current_canonical_evidence_validation_v1/covapie_atom_pair_atom_table_mapping_validation_matrix.csv,9f26b25ed11d186a02a1f859de10a105605ce3af13805ac5a4be1ad73199df45,Current11_reactive_atom_row_mapping_validation,true,false,false,false,false,11/11 samples,BASE_tracked_Current11_supporting_evidence,,true
data/derived/covalent_small/covapie_training_feature_semantics_and_unknown_atom_policy_resolution_v1/covapie_heavy_atom_disposition_and_index_projection_matrix.csv,b53f438edffab32f78d07df839b8c8437ec4223e31bd8a8885deedf32497b4be,Current11_retained_heavy_source_and_local_index_authority,true,false,true,true,true,11/11 samples;323/323 retained-heavy ligand rows,BASE_tracked_retained_heavy_source_row_and_local_index_authority,,true
data/derived/covalent_small/covapie_training_feature_semantics_and_unknown_atom_policy_resolution_v1/covapie_sample_heavy_atom_projection_validation_matrix.csv,63f1df49d9a6f4e0efbee6c8bb474deabaedea9cef91f27d2cf49f7caeee6f96,Current11_sample_heavy_projection_validation,true,false,false,false,false,11/11 samples,BASE_tracked_Current11_supporting_evidence,,true
