canonical_event_id,review_unit_id,ligand_component_id,role_profile,applicable_task_ids,not_applicable_task_ids,historical_snapshot_mask_compatibility,structural_input_ready,feature_projection_ready,target_condition_ready,reactive_pair_ready,role_partition_ready,minimal_seed_ready,anchor_distance_ready,POST_geometry_ready,pair_prediction_label_ready,pair_contrastive_label_ready,split_prediction_status,predicted_split_if_any,split_admission_authoritative,sample_training_admitted,model_integration_preview_ready
COVAPIE_CYS_SG_EVENT_V1:3LOK:A:CYS:345-:SG:C:DJK:C51,COVAPIE_BULK_REVIEW_UNIT_5720D0B933DA07F1,DJK,STRICT_LINKER_PRESENT_V1,0|1|2|3|4,,true,true,true,true,true,true,false,true,true,true,true,READ_ONLY_PREDICTION_AVAILABLE,train,false,false,true
COVAPIE_CYS_SG_EVENT_V1:3LOK:B:CYS:345-:SG:D:DJK:C51,COVAPIE_BULK_REVIEW_UNIT_5720D0B933DA07F1,DJK,STRICT_LINKER_PRESENT_V1,0|1|2|3|4,,true,true,true,true,true,true,false,true,true,true,true,READ_ONLY_PREDICTION_AVAILABLE,train,false,false,true
COVAPIE_CYS_SG_EVENT_V1:3I4A:A:CYS:274-:SG:C:LN5:CZ,COVAPIE_BULK_REVIEW_UNIT_EBAE6C684690C8C9,LN5,STRICT_LINKER_PRESENT_V1,0|1|2|3|4,,true,true,true,true,true,true,false,true,true,true,true,READ_ONLY_PREDICTION_AVAILABLE,train,false,false,true
COVAPIE_CYS_SG_EVENT_V1:3I4A:B:CYS:274-:SG:D:LN5:CZ,COVAPIE_BULK_REVIEW_UNIT_EBAE6C684690C8C9,LN5,STRICT_LINKER_PRESENT_V1,0|1|2|3|4,,true,true,true,true,true,true,false,true,true,true,true,READ_ONLY_PREDICTION_AVAILABLE,train,false,false,true
COVAPIE_CYS_SG_EVENT_V1:3O6T:A:CYS:37-:SG:E:PX5:C15,COVAPIE_BULK_REVIEW_UNIT_F02164FD5061B6D5,PX5,DIRECT_ATTACHMENT_OPTIONAL_LINKER_V1,0|3|4,1|2,false,true,true,true,true,true,false,true,true,true,true,READ_ONLY_PREDICTION_AVAILABLE,train,false,false,true
COVAPIE_CYS_SG_EVENT_V1:3O6T:C:CYS:37-:SG:G:PX5:C15,COVAPIE_BULK_REVIEW_UNIT_F02164FD5061B6D5,PX5,DIRECT_ATTACHMENT_OPTIONAL_LINKER_V1,0|3|4,1|2,false,true,true,true,true,true,false,true,true,true,true,READ_ONLY_PREDICTION_AVAILABLE,train,false,false,true
COVAPIE_CYS_SG_EVENT_V1:3B9H:A:CYS:146-:SG:D:NDU:C6,COVAPIE_BULK_REVIEW_UNIT_3F001AD5FD754F45,NDU,STRICT_LINKER_PRESENT_V1,0|1|2|3|4,,true,true,true,true,true,true,false,true,true,true,true,LEAKAGE_EVIDENCE_INCOMPLETE_UNASSIGNED_READ_ONLY,,false,false,true
COVAPIE_CYS_SG_EVENT_V1:3BHL:A:CYS:146-:SG:C:NDU:C6,COVAPIE_BULK_REVIEW_UNIT_3F001AD5FD754F45,NDU,STRICT_LINKER_PRESENT_V1,0|1|2|3|4,,true,true,true,true,true,true,false,true,true,true,true,LEAKAGE_EVIDENCE_INCOMPLETE_UNASSIGNED_READ_ONLY,,false,false,true
COVAPIE_CYS_SG_EVENT_V1:3BHL:B:CYS:146-:SG:G:NDU:C6,COVAPIE_BULK_REVIEW_UNIT_3F001AD5FD754F45,NDU,STRICT_LINKER_PRESENT_V1,0|1|2|3|4,,true,true,true,true,true,true,false,true,true,true,true,LEAKAGE_EVIDENCE_INCOMPLETE_UNASSIGNED_READ_ONLY,,false,false,true
COVAPIE_CYS_SG_EVENT_V1:3BHR:A:CYS:146-:SG:E:NDU:C6,COVAPIE_BULK_REVIEW_UNIT_3F001AD5FD754F45,NDU,STRICT_LINKER_PRESENT_V1,0|1|2|3|4,,true,true,true,true,true,true,false,true,true,true,true,LEAKAGE_EVIDENCE_INCOMPLETE_UNASSIGNED_READ_ONLY,,false,false,true
COVAPIE_CYS_SG_EVENT_V1:2ZK1:A:CYS:285-:SG:C:PTG:C8,COVAPIE_BULK_REVIEW_UNIT_E29582A478EC4247,PTG,STRICT_LINKER_PRESENT_V1,0|1|2|3|4,,true,true,true,true,true,true,false,true,true,true,true,READ_ONLY_PREDICTION_AVAILABLE,validation,false,false,true
COVAPIE_CYS_SG_EVENT_V1:2ZK1:B:CYS:285-:SG:D:PTG:C8,COVAPIE_BULK_REVIEW_UNIT_E29582A478EC4247,PTG,STRICT_LINKER_PRESENT_V1,0|1|2|3|4,,true,true,true,true,true,true,false,true,true,true,true,READ_ONLY_PREDICTION_AVAILABLE,validation,false,false,true
COVAPIE_CYS_SG_EVENT_V1:2ZK2:A:CYS:285-:SG:D:PTG:C8,COVAPIE_BULK_REVIEW_UNIT_E29582A478EC4247,PTG,STRICT_LINKER_PRESENT_V1,0|1|2|3|4,,true,true,true,true,true,true,false,true,true,true,true,READ_ONLY_PREDICTION_AVAILABLE,validation,false,false,true
