contract_id,contract_category,semantic_name,module_consumer,contract_status,source_fields_or_contract,derivation_rule,dtype,rank,shape,width_or_component_count,index_space,local_or_flat,padding_semantics,sentinel_semantics,value_domain_or_vocabulary,unit,coordinate_frame,normalization_or_scaling,label_availability_semantics,loss_mask_semantics,sidecar_only,changes_checkpoint_input_width,materialized_current_step,geometry_component_id,pre_post_or_delta,periodic_or_nonperiodic,canonical_range,target_representation,current_valid_sample_count,evidence_status,blocking_reason,verified
ligand_heavy_atom_one_hot_10d,current_checkpoint_input,ligand_heavy_atom_one_hot_10d,existing DiffSBDD checkpoint path,designed,checkpoint one-hot C|N|O|S|B|Br|Cl|P|I|F,shared explicit-H filter then checkpoint-compatible projection,float32,2,"[N_ligand,10]",10,flattened_ligand_index_0based,flattened,no_padding_admitted,not_applicable,contract_defined,not_applicable,not_applicable,none,current checkpoint input contract; not materialized this step,not_a_loss_mask,false,false,false,,,,,,,BASE_bound_verified,,true
pocket_heavy_atom_one_hot_10d,current_checkpoint_input,pocket_heavy_atom_one_hot_10d,existing DiffSBDD checkpoint path,designed,checkpoint one-hot C|N|O|S|B|Br|Cl|P|I|F,shared explicit-H filter then checkpoint-compatible projection,float32,2,"[N_pocket,10]",10,flattened_pocket_index_0based,flattened,no_padding_admitted,not_applicable,contract_defined,not_applicable,not_applicable,none,current checkpoint input contract; not materialized this step,not_a_loss_mask,false,false,false,,,,,,,BASE_bound_verified,,true
ligand_heavy_coordinates,current_checkpoint_input,ligand_heavy_coordinates,existing DiffSBDD checkpoint path,designed,retained-heavy ligand x|y|z,shared explicit-H filter then checkpoint-compatible projection,float32,2,"[N_ligand,3]",3,flattened_ligand_index_0based,flattened,no_padding_admitted,not_applicable,contract_defined,angstrom,joint_centered_retained_ligand_plus_pocket_frame,none,current checkpoint input contract; not materialized this step,not_a_loss_mask,false,false,false,,,,,,,BASE_bound_verified,,true
pocket_heavy_coordinates,current_checkpoint_input,pocket_heavy_coordinates,existing DiffSBDD checkpoint path,designed,retained-heavy pocket x|y|z,shared explicit-H filter then checkpoint-compatible projection,float32,2,"[N_pocket,3]",3,flattened_pocket_index_0based,flattened,no_padding_admitted,not_applicable,contract_defined,angstrom,joint_centered_retained_ligand_plus_pocket_frame,none,current checkpoint input contract; not materialized this step,not_a_loss_mask,false,false,false,,,,,,,BASE_bound_verified,,true
ligand_batch_membership,current_checkpoint_input,ligand_batch_membership,existing DiffSBDD checkpoint path,designed,flattened retained ligand row to sample,shared explicit-H filter then checkpoint-compatible projection,int64,1,[N_ligand],1,batch_sample_index_0based,per_node_value,no_padding_admitted,not_applicable,contract_defined,not_applicable,not_applicable,none,current checkpoint input contract; not materialized this step,not_a_loss_mask,false,false,false,,,,,,,BASE_bound_verified,,true
pocket_batch_membership,current_checkpoint_input,pocket_batch_membership,existing DiffSBDD checkpoint path,designed,flattened retained pocket row to sample,shared explicit-H filter then checkpoint-compatible projection,int64,1,[N_pocket],1,batch_sample_index_0based,per_node_value,no_padding_admitted,not_applicable,contract_defined,not_applicable,not_applicable,none,current checkpoint input contract; not materialized this step,not_a_loss_mask,false,false,false,,,,,,,BASE_bound_verified,,true
ligand_node_count,batch_index_structure,ligand_node_count,future tensor materialization adapter,designed,retained ligand heavy atom count per sample,count retained-heavy rows after shared H filter,int64,1,[B],1,batch_sample_index_0based,per_sample,no_padding_admitted,not_applicable,positive integer,not_applicable,not_applicable,none,always_for_admitted_sample,not_a_loss_mask,true,false,false,,,,,,,BASE_bound_verified,,true
ligand_node_offsets,batch_index_structure,ligand_node_offsets,future tensor materialization adapter,designed,ligand_node_count,exclusive prefix sum; starts 0; monotone; terminal equals flattened node count,int64,1,[B+1],1,flattened_ligand_index_0based,batch_boundary_to_flattened,no_padding_admitted,not_applicable,nonnegative monotone offsets,not_applicable,not_applicable,none,always_for_admitted_sample,not_a_loss_mask,true,false,false,,,,,,,BASE_bound_verified,,true
pocket_node_count,batch_index_structure,pocket_node_count,future tensor materialization adapter,designed,retained pocket heavy atom count per sample,count retained-heavy rows after shared H filter,int64,1,[B],1,batch_sample_index_0based,per_sample,no_padding_admitted,not_applicable,positive integer,not_applicable,not_applicable,none,always_for_admitted_sample,not_a_loss_mask,true,false,false,,,,,,,BASE_bound_verified,,true
pocket_node_offsets,batch_index_structure,pocket_node_offsets,future tensor materialization adapter,designed,pocket_node_count,exclusive prefix sum; starts 0; monotone; terminal equals flattened node count,int64,1,[B+1],1,flattened_pocket_index_0based,batch_boundary_to_flattened,no_padding_admitted,not_applicable,nonnegative monotone offsets,not_applicable,not_applicable,none,always_for_admitted_sample,not_a_loss_mask,true,false,false,,,,,,,BASE_bound_verified,,true
