failure_case,expected_outcome,observed_outcome,expected_primary_reason,observed_reasons,mutation_signature,failure_detected,condition_contract_resolved,pair_contract_resolved,geometry_and_auxiliary_label_contract_resolved,tensor_label_loss_mask_contract_designed,ready_for_tensor_materialization_smoke,ready_for_tensorization,ready_for_model_integration,ready_for_training,fails_closed,verified
predecessor_sha_drift,invalid,invalid,predecessor_sha_invalid,"[""predecessor_sha_invalid""]",predecessor_sha_valid=false,true,false,true,false,false,false,false,false,false,true,true
predecessor_not_contract_design_ready,invalid,invalid,predecessor_contract_design_not_ready,"[""predecessor_contract_design_not_ready""]",predecessor_contract_design_ready=false,true,false,true,false,false,false,false,false,false,true,true
predecessor_effective_open_issue_unexpectedly_present,invalid,invalid,predecessor_effective_open_issue_count_not_zero,"[""predecessor_effective_open_issue_count_not_zero""]",predecessor_effective_open_issue_count=1,true,false,true,false,false,false,false,false,false,true,true
checkpoint_width_changed_from_10,invalid,invalid,checkpoint_atom_feature_width_not_10,"[""checkpoint_atom_feature_width_not_10""]",checkpoint_atom_feature_width=11,true,false,true,false,false,false,false,false,false,true,true
sidecar_concatenated_into_checkpoint_10d_input,invalid,invalid,covalent_sidecars_not_separate,"[""covalent_sidecars_not_separate""]",covalent_sidecars_separate=false,true,false,true,false,false,false,false,false,false,true,true
explicit_h_included_in_model_bound_tensor,invalid,invalid,explicit_hydrogen_not_excluded,"[""explicit_hydrogen_not_excluded""]",explicit_h_excluded=false,true,false,true,false,false,false,false,false,false,true,true
unsupported_non_h_accepted,invalid,invalid,unsupported_non_hydrogen_not_rejected,"[""unsupported_non_hydrogen_not_rejected""]",unsupported_non_h_rejected=false,true,false,true,false,false,false,false,false,false,true,true
missing_or_invalid_type_symbol_accepted,invalid,invalid,missing_or_invalid_symbol_not_rejected,"[""missing_or_invalid_symbol_not_rejected""]",missing_or_invalid_symbol_rejected=false,true,false,true,false,false,false,false,false,false,true,true
source_full_table_index_used_as_heavy_index,invalid,invalid,source_full_table_index_used_as_heavy_index,"[""source_full_table_index_used_as_heavy_index""]",source_full_table_index_model_or_loss_used=true,true,false,false,false,false,false,false,false,false,true,true
index_space_omitted,invalid,invalid,exact_index_spaces_missing,"[""exact_index_spaces_missing""]",exact_index_spaces_present=false,true,false,false,false,false,false,false,false,false,true,true
local_flat_index_ambiguity,invalid,invalid,index_space_annotations_incomplete,"[""index_space_annotations_incomplete""]",index_space_annotations_complete=false,true,false,false,false,false,false,false,false,false,true,true
ligand_offsets_missing,invalid,invalid,ligand_node_offsets_missing,"[""ligand_node_offsets_missing""]",ligand_offsets_present=false,true,false,false,false,false,false,false,false,false,true,true
pocket_offsets_missing,invalid,invalid,pocket_node_offsets_missing,"[""pocket_node_offsets_missing""]",pocket_offsets_present=false,true,false,false,false,false,false,false,false,false,true,true
offset_terminal_count_mismatch,invalid,invalid,offsets_invalid,"[""offsets_invalid""]",offsets_valid=false,true,false,false,false,false,false,false,false,false,true,true
canonical_task_count_not_5,invalid,invalid,canonical_task_count_not_5,"[""canonical_task_count_not_5""]",canonical_task_count=4,true,false,true,false,false,false,false,false,false,true,true
b3_omitted,invalid,invalid,scaffold_only_b3_missing,"[""scaffold_only_b3_missing""]",b3_present=false,true,false,true,false,false,false,false,false,false,true,true
short_alias_used_as_sole_semantics,invalid,invalid,long_semantic_names_not_authoritative,"[""long_semantic_names_not_authoritative""]",long_semantic_names_authoritative=false,true,false,true,false,false,false,false,false,false,true,true
role_vocabulary_unresolved_but_marked_designed,invalid,invalid,unresolved_role_vocabulary_marked_designed,"[""unresolved_role_vocabulary_marked_designed"",""incomplete_role_assignments_marked_designed""]",role_dependent_masks_marked_designed=true|role_vocabulary_frozen=false,true,false,true,false,false,false,false,false,false,true,true
generation_fixed_masks_overlap,invalid,invalid,generation_fixed_masks_overlap,"[""generation_fixed_masks_overlap""]",generation_fixed_masks_disjoint=false,true,false,true,false,false,false,false,false,false,true,true
generation_fixed_masks_incomplete,invalid,invalid,generation_fixed_masks_not_exhaustive,"[""generation_fixed_masks_not_exhaustive""]",generation_fixed_masks_exhaustive=false,true,false,true,false,false,false,false,false,false,true,true
target_context_masks_overlap,invalid,invalid,target_context_masks_overlap,"[""target_context_masks_overlap""]",target_context_masks_disjoint=false,true,false,true,false,false,false,false,false,false,true,true
c_minimal_seed_or_anchor_incorrectly_generated,invalid,invalid,c_minimal_seed_or_anchor_resolved_without_authority,"[""c_minimal_seed_or_anchor_resolved_without_authority""]",c_seed_override_marked_resolved=true,true,false,true,false,false,false,false,false,false,true,true
target_residue_membership_empty,invalid,invalid,target_residue_membership_empty,"[""target_residue_membership_empty""]",target_residue_membership_nonempty=false,true,false,true,false,false,false,false,false,false,true,true
reactive_residue_atom_outside_target_residue,invalid,invalid,reactive_atom_outside_target_residue,"[""reactive_atom_outside_target_residue""]",reactive_atom_inside_target_residue=false,true,false,true,false,false,false,false,false,false,true,true
pair_candidate_includes_cross_sample_atoms,invalid,invalid,cross_sample_candidates_forbidden,"[""cross_sample_candidates_forbidden""]",pair_candidates_same_sample=false,true,false,false,false,false,false,false,false,false,true,true
pair_candidate_includes_h,invalid,invalid,explicit_hydrogen_forbidden,"[""explicit_hydrogen_forbidden""]",pair_candidates_retained_heavy=false,true,false,false,false,false,false,false,false,false,true,true
pair_candidate_includes_non_target_residue_pocket_atom,invalid,invalid,residue_side_domain_is_target_residue_only,"[""residue_side_domain_is_target_residue_only""]",pair_candidates_target_residue_only=false,true,false,false,false,false,false,false,false,false,true,true
candidate_ordering_nondeterministic,invalid,invalid,candidate_order_must_be_deterministic,"[""candidate_order_must_be_deterministic""]",pair_candidate_order_valid=false,true,false,false,false,false,false,false,false,false,true,true
positive_pair_count_zero,invalid,invalid,positive_pair_count_zero,"[""positive_pair_count_zero""]",pair_positive_count=0,true,false,false,false,false,false,false,false,false,true,true
positive_pair_count_greater_than_one,invalid,invalid,positive_pair_count_greater_than_one,"[""positive_pair_count_greater_than_one""]",pair_positive_count=2,true,false,false,false,false,false,false,false,false,true,true
cross_sample_negatives_enabled,invalid,invalid,cross_sample_negatives_forbidden,"[""cross_sample_negatives_forbidden""]",cross_sample_negatives_allowed=true,true,false,false,false,false,false,false,false,false,true,true
random_negative_sampling_enabled,invalid,invalid,random_negative_sampling_forbidden_v1,"[""random_negative_sampling_forbidden_v1""]",random_negative_sampling=true,true,false,false,false,false,false,false,false,false,true,true
pair_local_flat_index_mismatch,invalid,invalid,local_to_flat_formula_must_hold,"[""local_to_flat_formula_must_hold""]",pair_local_flat_indices_valid=false,true,false,false,false,false,false,false,false,false,true,true
pair_loss_mask_includes_invalid_sample,invalid,invalid,pair_loss_mask_includes_invalid_sample,"[""pair_loss_mask_includes_invalid_sample""]",pair_loss_masks_exclude_invalid_samples=false,true,false,false,false,false,false,false,false,false,true,true
contrastive_loss_enabled_with_no_negative,invalid,invalid,contrastive_loss_requires_at_least_one_negative,"[""contrastive_loss_requires_at_least_one_negative""]",pair_negative_count=0,true,false,false,false,false,false,false,false,false,true,true
geometry_component_semantics_undefined,invalid,invalid,incomplete_geometry_marked_resolved,"[""incomplete_geometry_marked_resolved""]",geometry_contract_marked_resolved=true,true,false,true,false,false,false,false,false,false,true,true
geometry_unit_or_periodicity_missing,invalid,invalid,geometry_units_or_periodicity_invalid,"[""geometry_units_or_periodicity_invalid""]",geometry_units_and_periodicity_valid=false,true,false,true,false,false,false,false,false,false,true,true
missing_geometry_label_participates_in_loss,invalid,invalid,missing_geometry_included_in_loss,"[""missing_geometry_included_in_loss""]",missing_geometry_excluded_from_loss=false,true,false,true,false,false,false,false,false,false,true,true
warhead_vocabulary_unresolved_but_marked_designed,invalid,invalid,unresolved_warhead_vocabulary_marked_resolved,"[""unresolved_warhead_vocabulary_marked_resolved""]",warhead_contract_marked_resolved=true,true,false,true,false,false,false,false,false,false,true,true
execution_boundary_crossed,invalid,invalid,execution_boundary_crossed,"[""execution_boundary_crossed""]",tensor_materialization_requested=true,true,false,true,false,false,false,false,false,false,true,true
