source_role,source_path,source_sha256,committed_in_base,source_kind,selector_or_symbol,referenced_contract_count,referenced_sample_count,verified
checkpoint_training_config,configs/crossdock_fullatom_cond.yml,41428bcb548c4dc541f945ef4e52f8830fb1c64dd149fbce86aae98d73fcf519,true,yaml,crossdock noH full-atom 10D lineage,6,0,true
checkpoint_categorical_vocabulary,constants.py,dba13f16d831d48d1b9bb1b427207d0603a48c8687273d68ee7b599fe57afec9,true,python,dataset_params crossdock atom_encoder,2,0,true
b3_role_mask_authority,data/derived/covalent_small/b3_scaffold_only_mask_design_v0/b3_scaffold_only_mask_protocol.json,21023f93a15204c2c3cd377af9d2e81fcde9f90fc5442e59b5d883e842985175,true,json,B3 scaffold target and linker+warhead context,4,0,true
atom_pair_mapping_authority,data/derived/covalent_small/covapie_covalent_bond_atom_pair_encoding_contract_current_canonical_evidence_validation_v1/covapie_atom_pair_atom_table_mapping_validation_matrix.csv,9f26b25ed11d186a02a1f859de10a105605ce3af13805ac5a4be1ad73199df45,true,csv,22 exact-one source-row mappings,14,11,true
canonical_task_and_pair_authority,data/derived/covalent_small/covapie_covalent_bond_atom_pair_encoding_contract_current_canonical_evidence_validation_v1/covapie_covalent_bond_atom_pair_encoding_contract_current_canonical_evidence_validation_manifest.json,229f5430feb3b5c147edce6c80dce684703b614e3764c7c18afd8344c25c3152,true,json,Exact5 masks and 11 validated pairs,11,11,true
warhead_and_geometry_label_gap_authority,data/derived/covalent_small/covapie_feature_semantics_audit_gate_v0/covapie_auxiliary_label_semantics_audit.csv,929ba18ec36122d2941fd4a4bbd8623b7cb37dd0a12d9f9618a00a4eced3ca42,true,csv,warhead not materialized; post geometry audit required,5,0,true
pre_post_geometry_authority,data/derived/covalent_small/covapie_feature_semantics_audit_gate_v0/covapie_coordinate_geometry_semantics_audit.csv,3a6312cc3a1d13a5f39c46a35c3f47c8e26ed26f1c4e6a278b1000409de0c7dc,true,csv,post bond distance present; pre geometry absent,5,0,true
final_dataset_schema_authority,data/derived/covalent_small/covapie_final_dataset_design_gate_v0/covapie_final_dataset_schema_contract.csv,2ea572efb4d9df1a168ba6b056ffa14593315ac148d589f86a5ea8f607c2469c,true,csv,current canonical field boundary,8,0,true
final_dataset_index,data/derived/covalent_small/covapie_final_dataset_materialization_smoke_v0/final_dataset_index.csv,c4c31888cb0f7c148b00656ccf22ab68fab842fcdafdee049b2f420eddc1302d,true,csv,"11 canonical sample paths, residue locators, and bond distances",18,11,true
current11_covalent_event_table,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AEC_E64/covalent_event_table.csv,d447fdaa30c7e805c7fc1644e5dde410403881905bef72c6601b1aa24d50be90,true,csv,BASE-bound current11 committed derived table,4,1,true
