case_id,input_condition,mutation_signature,candidate_allowed,label_semantics,negative_semantics,loss_mask_semantics,fails_closed,reason,verified
valid_same_sample_positive,valid same-sample exact positive candidate,baseline,true,exact_positive,not_negative,eligible_if_sample_admitted_and_indices_valid,false,valid_exact_positive_in_frozen_candidate_domain,true
valid_same_sample_negative,valid same-sample non-positive candidate,candidate_is_positive=false,true,non_positive,all_same_sample_non_positive_candidates,eligible_if_sample_admitted_and_indices_valid,false,valid_deterministic_same_sample_negative,true
cross_sample_pair,candidate joins atoms from different samples,same_sample=false,false,invalid,not_constructed,all_related_loss_masks_false,true,cross_sample_candidates_forbidden,true
h_containing_pair,candidate contains an explicit hydrogen,contains_explicit_h=true|ligand_retained_heavy=false,false,invalid,not_constructed,all_related_loss_masks_false,true,explicit_hydrogen_forbidden,true
padding_containing_pair,candidate contains padding,contains_padding=true,false,invalid,not_constructed,all_related_loss_masks_false,true,padding_forbidden,true
non_target_residue_protein_atom,pocket atom is outside the target residue,residue_is_target_member=false,false,invalid,not_constructed,all_related_loss_masks_false,true,residue_side_domain_is_target_residue_only,true
full_table_index_used_as_heavy_index,source full-table index is used as retained-heavy index,source_full_table_index_used=true,false,invalid,not_constructed,all_related_loss_masks_false,true,source_index_cannot_enter_model_or_loss,true
duplicate_positive,the exact positive candidate is duplicated,positive_candidate_duplicated=true,false,invalid,not_constructed,all_related_loss_masks_false,true,positive_candidate_must_not_be_duplicated,true
missing_positive,no positive candidate is labeled,positive_count=0,false,invalid,not_constructed,all_related_loss_masks_false,true,positive_pair_count_zero,true
multiple_positives,more than one distinct candidate is positive,positive_count=2,false,invalid,not_constructed,all_related_loss_masks_false,true,positive_pair_count_greater_than_one,true
no_negative_candidate,exactly one positive exists but no negative candidate exists,negative_count=0,true,exact_positive_only,empty_negative_set,pair_head_may_be_valid_but_contrastive_sample_mask_false,true,contrastive_loss_requires_at_least_one_negative,true
local_flat_index_mismatch,local and flattened indices disagree,local_flat_consistent=false,false,invalid,not_constructed,all_related_loss_masks_false,true,local_to_flat_formula_must_hold,true
offset_mismatch,node offset and flattened node count disagree,offsets_valid=false,false,invalid,not_constructed,all_related_loss_masks_false,true,offset_contract_must_hold,true
candidate_order_drift,candidate enumeration order differs from the frozen order,deterministic_order=false,false,invalid,not_constructed,all_related_loss_masks_false,true,candidate_order_must_be_deterministic,true
random_negative_sampling_requested,random negative subsampling is requested,random_negative_sampling=true,false,invalid,not_constructed,all_related_loss_masks_false,true,random_negative_sampling_forbidden_v1,true
hard_negative_mining_requested,hard-negative mining is requested,hard_negative_mining=true,false,invalid,not_constructed,all_related_loss_masks_false,true,hard_negative_mining_forbidden_v1,true
