source_path,BASE_SHA256,source_row_count,Current11_coverage,fields_actually_used,authority_class,provides_current_value,verified
src/covalent_ext/covapie_current11_warhead_atom_set_and_attachment_boundary_review_packages_v1.py,7534a11b6c29f3d5d3268de34773e1d2ca5075624dbf05e30672705fa294e6c0,1494,11/11,Exact26 review schema and validation semantics,predecessor_production_contract,true,true
data/derived/covalent_small/covapie_current11_warhead_atom_set_and_attachment_boundary_review_packages_v1/covapie_current11_warhead_atom_set_and_attachment_boundary_review_packages_manifest.json,5eff02e8ec764e35696e83136e61151c27a1d3101f811bcfbaa79278448015ea,1,11/11,"transaction, counts, versions, closed downstream",review_package_manifest,true,true
data/derived/covalent_small/covapie_current11_warhead_atom_set_and_attachment_boundary_review_packages_v1/covapie_current11_warhead_boundary_review_package_index.csv,ead184e5bd092d6b10770ebdd3688cf2b8f72b7e30a29d1957aa5e4d06b7cd33,11,11/11,sample/package/candidate-set/template identity,review_package_index,true,true
data/derived/covalent_small/covapie_current11_warhead_atom_set_and_attachment_boundary_review_packages_v1/covapie_current11_warhead_boundary_candidate_review_options.csv,bdac9a806043a81aff4310f2931d4431f1d8966e21437f150b15360f281f353d,200,11/11,"Exact200 option identities, eligibility, hashes",review_option_evidence,true,true
data/derived/covalent_small/covapie_current11_warhead_atom_set_and_attachment_boundary_review_packages_v1/covapie_current11_warhead_boundary_review_record_templates.csv,62a98848db9fb44f0cc597f8b78755de3e981f1ffba6985853a29e9ed90088f8,11,11/11,blank Exact26 not_reviewed templates,unreviewed_template_evidence,true,true
data/derived/covalent_small/covapie_current11_warhead_atom_set_and_attachment_boundary_review_packages_v1/covapie_warhead_boundary_review_package_failure_matrix.csv,706307754b4c1c2ead7422cd4648604d82468f283a6bce57665195161871522b,38,11/11,predecessor fail-closed evidence,predecessor_failure_evidence,false,true
data/derived/covalent_small/covapie_current11_pre_reaction_warhead_atom_set_and_attachment_boundary_proposals_v1/covapie_current11_pre_reaction_warhead_atom_set_and_attachment_boundary_proposals.csv,7e72fc157bb52cc2d5cba0c3fd2a7ac88f92bc50a35d001cfff0c2bf3296b4b0,11,11/11,"proposal identity, local center, leaving groups",proposal_records,true,true
data/derived/covalent_small/covapie_current11_pre_reaction_warhead_atom_set_and_attachment_boundary_proposals_v1/covapie_current11_pre_reaction_warhead_atom_set_and_attachment_boundary_proposals_manifest.json,fed5f97d177b9a0f91ec7eebf8ea3081662731e50ca6a74f3898f3068a5e6b79,1,11/11,proposal transaction and closed authority,proposal_manifest,true,true
data/derived/covalent_small/covapie_current11_cys_sg_reaction_family_and_warhead_rule_assignments_v1/covapie_current11_cys_sg_candidate_assignment_authority.csv,bc49e2f1ca112ceae30c91fa492386f6012c9005fc5137b40d3daec2343ef5d9,11,11/11,assignment lineage and family/rule candidate identity,candidate_assignment_authority,true,true
data/derived/covalent_small/covapie_exact9_audited_local_ccd_parent_graph_authority_v1/covapie_exact9_parent_heavy_atom_authority.csv,d50b052c2ed2573ccfdcf66470a077744ad11f4a083daee11f20d794b3b23fe7,298,11/11,parent_ccd_atom_id namespace,parent_heavy_atom_authority,true,true
data/derived/covalent_small/covapie_exact9_audited_local_ccd_parent_graph_authority_v1/covapie_exact9_parent_heavy_bond_authority.csv,26957b9f78217c808d2dc021cfab1a2bf78dd1708c46c49f220ae32a3a09ebbf,309,11/11,"bond order, connectivity, exact-one boundary",parent_heavy_bond_authority,true,true
src/covalent_ext/covapie_ligand_role_and_minimal_seed_annotation_contract_design_v1.py,18e386ea0412d917d4e3d9f6c15374cdbd680ea243e7b51c0045ae889a215f8b,1642,11/11,five-mask and downstream role/seed boundary,downstream_design_contract,false,true
data/derived/covalent_small/covapie_current11_cys_sg_reaction_family_and_warhead_rule_review_packages_v1/covapie_current11_cys_sg_reaction_family_and_warhead_rule_review_packages_manifest.json,677034c0b8822e0b1476e28d00bb8dda5c8e53f5f42fcda790d9c4a81fa8a90b,1,11/11,parallel family/topology review remains incomplete,parallel_review_manifest,true,true
