failure_case,mutation_signature,mutated_field,mutated_value_json,expected_reason,observed_reasons,expected_reason_verified,fails_closed,contract_row_count,decision_effect_row_count,current11_readiness_row_count,actual_review_record_count,actual_ingestion_envelope_count,actual_ingestion_result_count,actual_authority_record_count,complete_warhead_atom_set_authority_available,exact_one_attachment_boundary_authority_available,SMARTS_ready,role_ready,mask_ready,model_ready,training_ready,verified
BASE source missing,5710f4c9cf844797d520d0a27823ab70b7d189e0109a28cdb70aa37b60fdc10a,base_source_present,false,BASE_SOURCE_MISSING,"[""BASE_SOURCE_MISSING""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,false,false,true
BASE source SHA mismatch,6827be0cc706c3f24161d661e8238840198e39b2b796245d967f8910e1c108c9,base_source_sha_matches,false,BASE_SOURCE_SHA_MISMATCH,"[""BASE_SOURCE_SHA_MISMATCH""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,false,false,true
review-package transaction not succeeded,2cee697437adef3a4ed82c60731462b0a4ad3d75d7a1ef22e956dd809bed413b,review_package_transaction_succeeded,false,REVIEW_PACKAGE_TRANSACTION_NOT_SUCCEEDED,"[""REVIEW_PACKAGE_TRANSACTION_NOT_SUCCEEDED""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,false,false,true
package count not 11,f08efdaa1a71c1db857264c585ea603ef636723ec16defff4ed77154209604f4,package_count,10,PACKAGE_COUNT_NOT_11,"[""PACKAGE_COUNT_NOT_11""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,false,false,true
option count not 200,2328a127a9408cccd5d6a5b5dca26177cda971515a7358e6ea6f0681ebc98f40,option_count,199,OPTION_COUNT_NOT_200,"[""OPTION_COUNT_NOT_200""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,false,false,true
template count not 11,d664e6c93ed5e43c80793605cdac59fb5e52a5758d27a6d2c6173cd2dbbc7585,template_count,10,TEMPLATE_COUNT_NOT_11,"[""TEMPLATE_COUNT_NOT_11""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,false,false,true
candidate-set identity count not 11,492b67c510db3ca64b87665faa93fdafe20c4c2307d4daba6b0c4cf4035954c3,candidate_set_identity_count,10,CANDIDATE_SET_IDENTITY_COUNT_NOT_11,"[""CANDIDATE_SET_IDENTITY_COUNT_NOT_11""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,false,false,true
option record SHA mismatch,effeb6222d936b8df243c7270a078ae6ada61243a37d2ce59d04cde058fe0e44,option_record_sha_matches,false,OPTION_RECORD_SHA_MISMATCH,"[""OPTION_RECORD_SHA_MISMATCH""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,false,false,true
unreviewed template payload SHA mismatch,ad0d08e4c90d7ab5a098bbb997df6acc669042feeccf3e65be0ef31342b24806,template_payload_sha_matches,false,UNREVIEWED_TEMPLATE_PAYLOAD_SHA_MISMATCH,"[""UNREVIEWED_TEMPLATE_PAYLOAD_SHA_MISMATCH""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,false,false,true
inherited review-field inventory mismatch,59f2ba722edfd666bd6825063c916b56eae896bfef142accf524839cb5300ce6,inherited_review_field_count,25,INHERITED_REVIEW_FIELD_INVENTORY_MISMATCH,"[""INHERITED_REVIEW_FIELD_INVENTORY_MISMATCH""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,false,false,true
