boundary_item,current_step_status,allowed_current_step,boundary_safety_passed,qa_comment
batch_raw_read_extraction_design_gate,executed_design_gate_only,True,True,boundary_respected
raw_file_path_check,path_exists_git_status_only_no_content_read,True,True,boundary_respected
raw_file_content_read,blocked_current_design_gate,False,True,boundary_respected
mmcif_parse,blocked_current_design_gate,False,True,boundary_respected
atom_site_scan,blocked_current_design_gate,False,True,boundary_respected
struct_conn_scan,blocked_current_design_gate,False,True,boundary_respected
coordinate_extraction,blocked_current_design_gate,False,True,boundary_respected
extracted_event_table_write,blocked_current_design_gate,False,True,boundary_respected
extracted_atom_table_write,blocked_current_design_gate,False,True,boundary_respected
sample_index,blocked_current_design_gate,False,True,boundary_respected
final_dataset,blocked_current_design_gate,False,True,boundary_respected
split_assignments,blocked_current_design_gate,False,True,boundary_respected
leakage_matrix,blocked_current_design_gate,False,True,boundary_respected
training,blocked_current_design_gate,False,True,boundary_respected
network_access,not_executed_or_not_allowed,False,True,boundary_respected
rdkit_biopdb_gemmi,not_executed_or_not_allowed,False,True,boundary_respected
torch_model_training,not_executed_or_not_allowed,False,True,boundary_respected
