atom_table_role,extracted_atom_field,field_order,field_description,source_or_future_derivation,materialized_current_step,required_in_future_smoke,schema_contract_passed
protein_pocket_atom,extracted_atom_id,1,future protein_pocket_atom field extracted_atom_id,future_raw_mmcif_atom_site_extraction_smoke,False,True,True
protein_pocket_atom,extracted_event_id,2,future protein_pocket_atom field extracted_event_id,future_raw_mmcif_atom_site_extraction_smoke,False,True,True
protein_pocket_atom,allowlist_entry_id,3,future protein_pocket_atom field allowlist_entry_id,future_raw_mmcif_atom_site_extraction_smoke,False,True,True
protein_pocket_atom,atom_table_role,4,future protein_pocket_atom field atom_table_role,future_raw_mmcif_atom_site_extraction_smoke,False,True,True
protein_pocket_atom,pdb_id,5,future protein_pocket_atom field pdb_id,future_raw_mmcif_atom_site_extraction_smoke,False,True,True
protein_pocket_atom,chain_id,6,future protein_pocket_atom field chain_id,future_raw_mmcif_atom_site_extraction_smoke,False,True,True
protein_pocket_atom,residue_name,7,future protein_pocket_atom field residue_name,future_raw_mmcif_atom_site_extraction_smoke,False,True,True
protein_pocket_atom,residue_index,8,future protein_pocket_atom field residue_index,future_raw_mmcif_atom_site_extraction_smoke,False,True,True
protein_pocket_atom,het_code,9,future protein_pocket_atom field het_code,future_raw_mmcif_atom_site_extraction_smoke,False,True,True
protein_pocket_atom,atom_name,10,future protein_pocket_atom field atom_name,future_raw_mmcif_atom_site_extraction_smoke,False,True,True
protein_pocket_atom,element,11,future protein_pocket_atom field element,future_raw_mmcif_atom_site_extraction_smoke,False,True,True
protein_pocket_atom,formal_charge,12,future protein_pocket_atom field formal_charge,future_raw_mmcif_atom_site_extraction_smoke,False,True,True
protein_pocket_atom,x,13,future protein_pocket_atom field x,future_raw_mmcif_atom_site_extraction_smoke,False,True,True
protein_pocket_atom,y,14,future protein_pocket_atom field y,future_raw_mmcif_atom_site_extraction_smoke,False,True,True
protein_pocket_atom,z,15,future protein_pocket_atom field z,future_raw_mmcif_atom_site_extraction_smoke,False,True,True
protein_pocket_atom,occupancy,16,future protein_pocket_atom field occupancy,future_raw_mmcif_atom_site_extraction_smoke,False,True,True
protein_pocket_atom,b_factor,17,future protein_pocket_atom field b_factor,future_raw_mmcif_atom_site_extraction_smoke,False,True,True
protein_pocket_atom,altloc,18,future protein_pocket_atom field altloc,future_raw_mmcif_atom_site_extraction_smoke,False,True,True
protein_pocket_atom,model_id,19,future protein_pocket_atom field model_id,future_raw_mmcif_atom_site_extraction_smoke,False,True,True
protein_pocket_atom,source_raw_file_path,20,future protein_pocket_atom field source_raw_file_path,future_raw_mmcif_atom_site_extraction_smoke,False,True,True
