safety_item,expected_executed,observed_executed,safety_passed
exact_source_reads,true,true,true
phase2_runtime_contract_validation,true,true,true
phase3_adapter_contract_validation,true,true,true
phase2_type_identity_reuse,true,true,true
admit_001_legacy_adapter_implementation,true,true,true
admit_002_legacy_adapter_implementation,true,true,true
admit_003_legacy_adapter_implementation,true,true,true
admit_001_to_004_registry_implementation,true,true,true
explicit_context_routing_validation,true,true,true
candidate_projection_validation,true,true,true
synthetic_legacy_evaluator_execution,true,true,true
semantic_oracle_execution,true,true,true
semantic_oracle_equivalence_validation,true,true,true
synthetic_runtime_truth_matrix_evaluation,true,true,true
admit_004_behavior_preservation_validation,true,true,true
issue_transition_validation,true,true,true
raw_read,false,false,true
provenance_reference_dereference,false,false,true
parser_execution,false,false,true
provider_execution,false,false,true
admit_005_to_015_evaluator_execution,false,false,true
evaluate_all_rules_implementation,false,false,true
combined_candidate_verdict_implementation,false,false,true
cross_rule_aggregation,false,false,true
candidate_record_materialization,false,false,true
real_candidate_evaluation,false,false,true
exact11_real_evaluation,false,false,true
admission_record_modification,false,false,true
sample_backfill,false,false,true
network,false,false,true
download,false,false,true
checkpoint,false,false,true
torch,false,false,true
numpy,false,false,true
rdkit,false,false,true
model_forward_loss_training,false,false,true
