safety_item,required_status,observed_status,safety_passed,blocking_reasons
raw_files_untracked,passed,passed,True,
raw_files_unstaged,passed,passed,True,
raw_files_not_read_current_step,passed,passed,True,
no_network_access_current_step,passed,passed,True,
no_download_current_step,passed,passed,True,
no_raw_files_written_current_step,passed,passed,True,
no_download_manifest_written_current_step,passed,passed,True,
no_actual_download_smoke_written,passed,passed,True,
no_actual_dataloader_smoke_written,passed,passed,True,
no_real_dataloader_written,passed,passed,True,
no_original_dataloader_modified,passed,passed,True,
no_torch_tensor_checkpoint_training_artifacts,passed,passed,True,
no_numpy_outputs,passed,passed,True,
no_real_final_dataset_written,passed,passed,True,
no_new_sample_index_written,passed,passed,True,
no_split_assignments_written,passed,passed,True,
no_leakage_matrix_written,passed,passed,True,
metadata_csv_unchanged,passed,passed,True,
step14d_artifacts_unchanged,passed,passed,True,
step14c_artifacts_unchanged,passed,passed,True,
step14b_artifacts_unchanged,passed,passed,True,
step14a_artifacts_unchanged,passed,passed,True,
step13bz_artifacts_unchanged,passed,passed,True,
step13by_artifacts_unchanged,passed,passed,True,
step13bx_artifacts_unchanged,passed,passed,True,
step13bu_artifacts_unchanged,passed,passed,True,
step13bo_artifacts_unchanged,passed,passed,True,
step13bm_artifacts_unchanged,passed,passed,True,
step13ai_inventory_artifacts_unchanged,passed,passed,True,
protected_source_diff_empty,passed,passed,True,
original_dataloader_diff_empty,passed,passed,True,
no_network_download_rdkit_biopdb_gemmi_gzip_torch_numpy_imports,passed,passed,True,
derived_output_no_forbidden_binary_artifacts,passed,passed,True,
