row_type,status,policy_name,evidence,source_count,ready_to_download_large_scale_data_now,recommended_next_step,blocking_reasons
step12o_precondition,passed,Step 12O metadata enrichment design precondition,"{""metadata_completeness_ratio_text"": ""2/38""}",5,False,real_covalent_source_registry_license_audit_gate,[]
multi_source_ingestion_concept,passed,multi-source ingestion concept,"{""multi_source_ingestion_definition"": ""standardize_source_specific_covalent_dataset_downloads_into_versioned_raw_records_before_enrichment""}",5,False,real_covalent_source_registry_license_audit_gate,[]
source_registry_schema,passed,source registry schema,"{""planned_source_registry_entries"": [""CovPDB"", ""CovBinderInPDB"", ""CovalentInDB"", ""PDB/mmCIF direct"", ""local curated""]}",5,False,real_covalent_source_registry_license_audit_gate,[]
raw_storage_layout_design,passed,raw storage layout design,"{""raw_storage_root_design"": ""data/raw/covalent_sources""}",5,False,real_covalent_source_registry_license_audit_gate,[]
download_job_manifest_schema,passed,download job manifest schema,"{""download_job_manifest_required_before_download"": true}",5,False,real_covalent_source_registry_license_audit_gate,[]
source_adapter_interface_contract,passed,source adapter interface contract,"{""canonical_raw_record_required_fields"": [""source_dataset"", ""source_record_id"", ""source_version"", ""source_license_or_usage_note"", ""source_url_or_local_path"", ""pdb_id"", ""chain_id"", ""residue_id"", ""residue_type"", ""ligand_id"", ""ligand_structure_path"", ""protein_structure_path"", ""complex_structure_path"", ""covalent_bond_annotation_raw"", ""raw_warhead_annotation"", ""raw_reaction_annotation"", ""raw_quality_flags""]}",5,False,real_covalent_source_registry_license_audit_gate,[]
source_specific_ingestion_design_details,passed,source-specific ingestion design details,"{""source_specific_ingestion_details"": {""CovBinderInPDB"": {""adapter_name"": ""covbinderinpdb_adapter"", ""expected_raw_inputs"": [""source table"", ""PDB IDs"", ""ligand/binder annotations""], ""ingestion_mode"": ""pdb_id_annotation_table"", ""known_risks"": [""duplicate PDB entries"", ""annotation ambiguity"", ""requires PDB/mmCIF fetch later""]}, ""CovPDB"": {""adapter_name"": ""covpdb_adapter"", ""expected_3d_complex_availability"": ""likely_high_but_unverified"", ""expected_atom_mapping_availability"": ""source_dependent_unverified"", ""expected_raw_inputs"": [""source table"", ""structure files"", ""covalent bond annotations if available""], ""high_value_for_training"": true, ""ingestion_mode"": ""source_table_plus_structures"", ""known_risks"": [""source format/version differences"", ""ligand reconstruction uncertainty"", ""duplicate overlap with PDB direct""]}, ""CovalentInDB"": {""adapter_name"": ""covalentindb_adapter"", ""expected_raw_inputs"": [""inhibitor-target metadata"", ""available cocrystal structures""], ""ingestion_mode"": ""target_inhibitor_metadata_plus_optional_structures"", ""known_risks"": [""many entries may lack 3D complex"", ""may lack exact covalent atom mapping"", ""more useful for warhead/reaction annotation than direct 3D training""]}, ""PDB/mmCIF direct"": {""adapter_name"": ""pdb_direct_adapter"", ""expected_raw_inputs"": [""PDB IDs"", ""mmCIF/PDB files"", ""LINK/CONECT records"", ""ligand CCD IDs""], ""ingestion_mode"": ""structure_harvesting_from_pdb_ids"", ""known_risks"": [""biological assembly ambiguity"", ""LINK parsing ambiguity"", ""modified residue handling"", ""ligand CCD atom naming""]}, ""local curated"": {""adapter_name"": ""local_curated_adapter"", ""expected_raw_inputs"": [""current BTK/KRAS examples"", ""future NLRP3 curated examples""], ""ingestion_mode"": ""manual_local_examples"", ""known_risks"": [""manual curation bias"", ""must be versioned and audited""]}}}",5,False,real_covalent_source_registry_license_audit_gate,[]
duplicate_provenance_priority_policy,passed,duplicate provenance priority policy,"{""source_priority_order_design"": [""local_curated"", ""CovPDB"", ""CovBinderInPDB"", ""PDB/mmCIF direct"", ""CovalentInDB""]}",5,False,real_covalent_source_registry_license_audit_gate,[]
small_pilot_ingestion_plan,passed,small pilot ingestion plan,"{""recommended_pilot_scope"": ""one_to_three_records_per_source_after_license_audit""}",5,False,real_covalent_source_registry_license_audit_gate,[]
git_data_policy,passed,git data policy,"{""forbidden_git_artifact_suffixes"": ["".cif"", "".ckpt"", "".lmdb"", "".mmcif"", "".mol2"", "".npz"", "".pdb"", "".pkl"", "".pt"", "".pth"", "".sdf"", "".tar"", "".tgz"", "".zip""]}",5,False,real_covalent_source_registry_license_audit_gate,[]
safety_and_next_step_decision,passed,safety and next-step decision,"{""recommended_next_step"": ""real_covalent_source_registry_license_audit_gate""}",5,False,real_covalent_source_registry_license_audit_gate,[]
