sample_id,extracted_atom_id,extracted_element,extracted_pdb_atom_name,reference_candidate_atom_id,reference_element,element_match,extracted_degree,reference_degree,degree_match,graph_distance_to_reactive_atom,final_role,is_reactive_atom,mapping_confidence,mapping_warning
KRAS_G12C_5F2E,0,C,C1,0,C,true,4,4,true,16,scaffold,false,medium,
KRAS_G12C_5F2E,1,C,C2,1,C,true,3,3,true,15,scaffold,false,medium,
KRAS_G12C_5F2E,2,C,C3,2,C,true,3,3,true,16,scaffold,false,medium,
KRAS_G12C_5F2E,3,C,C4,3,C,true,2,3,false,15,scaffold,false,low,
KRAS_G12C_5F2E,4,C,C5,4,C,true,3,3,true,14,scaffold,false,medium,
KRAS_G12C_5F2E,5,C,C6,5,C,true,3,3,true,13,scaffold,false,medium,
KRAS_G12C_5F2E,6,C,C10,6,C,true,2,4,false,7,scaffold,false,low,
KRAS_G12C_5F2E,7,C,C11,7,C,true,3,4,false,5,linker,false,low,
KRAS_G12C_5F2E,8,C,C14,8,C,true,2,3,false,1,warhead,false,low,
KRAS_G12C_5F2E,9,C,C18,9,C,true,2,4,false,8,scaffold,false,low,
KRAS_G12C_5F2E,10,C,C20,10,C,true,2,4,false,17,scaffold,false,low,
KRAS_G12C_5F2E,11,O,O2,11,O,true,1,1,true,11,scaffold,false,medium,
KRAS_G12C_5F2E,12,C,C8,12,C,true,3,3,true,10,scaffold,false,medium,
KRAS_G12C_5F2E,13,C,C7,13,C,true,2,4,false,11,scaffold,false,low,
KRAS_G12C_5F2E,14,N,N,14,N,true,2,3,false,12,scaffold,false,low,
KRAS_G12C_5F2E,15,O,O,15,O,true,1,2,false,15,scaffold,false,low,
KRAS_G12C_5F2E,16,Cl,CL,16,Cl,true,1,1,true,17,scaffold,false,medium,
KRAS_G12C_5F2E,17,C,C19,17,C,true,2,3,false,14,scaffold,false,low,
KRAS_G12C_5F2E,18,C,C21,18,C,true,2,4,false,17,scaffold,false,low,
KRAS_G12C_5F2E,19,C,C,19,C,true,1,4,false,17,scaffold,false,low,
KRAS_G12C_5F2E,20,N,N1,20,N,true,3,3,true,9,scaffold,false,medium,
KRAS_G12C_5F2E,21,C,C17,21,C,true,2,4,false,7,scaffold,false,low,
KRAS_G12C_5F2E,22,N,N2,22,N,true,3,3,true,6,scaffold,false,medium,
KRAS_G12C_5F2E,23,C,C9,23,C,true,2,4,false,8,scaffold,false,low,
KRAS_G12C_5F2E,24,C,C16,24,C,true,2,4,false,4,linker,false,low,
KRAS_G12C_5F2E,25,N,N3,25,N,true,3,3,true,3,linker,false,medium,
KRAS_G12C_5F2E,26,C,C12,26,C,true,2,4,false,4,linker,false,low,
KRAS_G12C_5F2E,27,C,C13,27,C,true,3,3,true,2,warhead,false,medium,
KRAS_G12C_5F2E,28,O,O1,28,O,true,1,1,true,3,warhead,false,medium,
KRAS_G12C_5F2E,29,C,C15,29,C,true,1,3,false,0,warhead,true,high,
