sample_id,extracted_atom_id,extracted_element,extracted_pdb_atom_name,reference_candidate_atom_id,reference_element,graph_distance_to_reactive_atom,final_role,is_reactive_atom,mapping_confidence,mapping_warning,manual_reference_atom_id,manual_decision,manual_note
KRAS_G12C_5F2E,0,C,C1,0,C,16,scaffold,false,medium,,,,
KRAS_G12C_5F2E,1,C,C2,1,C,15,scaffold,false,medium,,,,
KRAS_G12C_5F2E,2,C,C3,2,C,16,scaffold,false,medium,,,,
KRAS_G12C_5F2E,3,C,C4,3,C,15,scaffold,false,low,,,,
KRAS_G12C_5F2E,4,C,C5,4,C,14,scaffold,false,medium,,,,
KRAS_G12C_5F2E,5,C,C6,5,C,13,scaffold,false,medium,,,,
KRAS_G12C_5F2E,6,C,C10,6,C,7,scaffold,false,low,,,,
KRAS_G12C_5F2E,7,C,C11,7,C,5,linker,false,low,,,,
KRAS_G12C_5F2E,8,C,C14,8,C,1,warhead,false,low,,,,
KRAS_G12C_5F2E,9,C,C18,9,C,8,scaffold,false,low,,,,
KRAS_G12C_5F2E,10,C,C20,10,C,17,scaffold,false,low,,,,
KRAS_G12C_5F2E,11,O,O2,11,O,11,scaffold,false,medium,,,,
KRAS_G12C_5F2E,12,C,C8,12,C,10,scaffold,false,medium,,,,
KRAS_G12C_5F2E,13,C,C7,13,C,11,scaffold,false,low,,,,
KRAS_G12C_5F2E,14,N,N,14,N,12,scaffold,false,low,,,,
KRAS_G12C_5F2E,15,O,O,15,O,15,scaffold,false,low,,,,
KRAS_G12C_5F2E,16,Cl,CL,16,Cl,17,scaffold,false,medium,,,,
KRAS_G12C_5F2E,17,C,C19,17,C,14,scaffold,false,low,,,,
KRAS_G12C_5F2E,18,C,C21,18,C,17,scaffold,false,low,,,,
KRAS_G12C_5F2E,19,C,C,19,C,17,scaffold,false,low,,,,
KRAS_G12C_5F2E,20,N,N1,20,N,9,scaffold,false,medium,,,,
KRAS_G12C_5F2E,21,C,C17,21,C,7,scaffold,false,low,,,,
KRAS_G12C_5F2E,22,N,N2,22,N,6,scaffold,false,medium,,,,
KRAS_G12C_5F2E,23,C,C9,23,C,8,scaffold,false,low,,,,
KRAS_G12C_5F2E,24,C,C16,24,C,4,linker,false,low,,,,
KRAS_G12C_5F2E,25,N,N3,25,N,3,linker,false,medium,,,,
KRAS_G12C_5F2E,26,C,C12,26,C,4,linker,false,low,,,,
KRAS_G12C_5F2E,27,C,C13,27,C,2,warhead,false,medium,,,,
KRAS_G12C_5F2E,28,O,O1,28,O,3,warhead,false,medium,,,,
