source_dataset_name,source_dataset_version,source_page_url,source_record_url,covpdb_record_index,pdb_id,protein_name,organism,uniprot_id,uniprot_label,ligand_name,het_code,covpdb_ligand_id,covpdb_complex_card_url,acquisition_method,acquisition_timestamp_utc,raw_structure_downloaded,raw_ligand_downloaded,metadata_only_record
CovPDB,covpdb_web_metadata_smoke_2026-07-06,https://drug-discovery.vm.uni-freiburg.de/covpdb/complexes_list/initial=Allsortedby=protein_id,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=2037,1,1A3B,Prothrombin,Homo sapiens (Human),P00734,THRB_HUMAN,TRI166,T29,COVPDB1333,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=2037,urllib_html_metadata_only,2026-07-06T12:59:28+00:00,False,False,True
CovPDB,covpdb_web_metadata_smoke_2026-07-06,https://drug-discovery.vm.uni-freiburg.de/covpdb/complexes_list/initial=Allsortedby=protein_id,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=2034,2,1A3E,Prothrombin,Homo sapiens (Human),P00734,THRB_HUMAN,BOROLOG2,T16,COVPDB1330,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=2034,urllib_html_metadata_only,2026-07-06T12:59:28+00:00,False,False,True
CovPDB,covpdb_web_metadata_smoke_2026-07-06,https://drug-discovery.vm.uni-freiburg.de/covpdb/complexes_list/initial=Allsortedby=protein_id,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1,3,1A46,Prothrombin,Homo sapiens (Human),P00734,THRB_HUMAN,"(1S,7S)-7-amino-N-[(2R,3S)-7-amino-1-(cyclohexylamino)-2-keto-1-oxoheptan-3-yl]-7-benzyl-8-oxohexahydro-1H-pyrazolo[1,2-a]pyridazine-1-carboxamide",00K,COVPDB1,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1,urllib_html_metadata_only,2026-07-06T12:59:28+00:00,False,False,True
CovPDB,covpdb_web_metadata_smoke_2026-07-06,https://drug-discovery.vm.uni-freiburg.de/covpdb/complexes_list/initial=Allsortedby=protein_id,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1614,4,1A54,Phosphate-binding protein PstS,Escherichia coli (strain K12),P0AG82,PSTS_ECOLI,N-[2-(1-maleimidyl)ethyl]-7-(diethylamino)coumarin-3-carboxamide,MDC,COVPDB1089,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1614,urllib_html_metadata_only,2026-07-06T12:59:28+00:00,False,False,True
CovPDB,covpdb_web_metadata_smoke_2026-07-06,https://drug-discovery.vm.uni-freiburg.de/covpdb/complexes_list/initial=Allsortedby=protein_id,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=2,5,1A5G,Prothrombin,Homo sapiens (Human),P00734,THRB_HUMAN,"(1S,7S)-7-amino-7-benzyl-N-[(1S)-4-carbamimidamido-1-{(1S)-1,2-dioxo-2-[(2-phenylethyl)amino]ethyl}butyl]-8-oxohexahydro-1H-pyrazolo[1,2-a]pyridazine-1-carboxamide",00L,COVPDB2,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=2,urllib_html_metadata_only,2026-07-06T12:59:28+00:00,False,False,True
CovPDB,covpdb_web_metadata_smoke_2026-07-06,https://drug-discovery.vm.uni-freiburg.de/covpdb/complexes_list/initial=Allsortedby=protein_id,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=3,6,1A61,Prothrombin,Homo sapiens (Human),P00734,THRB_HUMAN,MOL-127,00N,COVPDB3,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=3,urllib_html_metadata_only,2026-07-06T12:59:28+00:00,False,False,True
CovPDB,covpdb_web_metadata_smoke_2026-07-06,https://drug-discovery.vm.uni-freiburg.de/covpdb/complexes_list/initial=Allsortedby=protein_id,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1615,7,1AD8,Prothrombin,Homo sapiens (Human),P00734,THRB_HUMAN,"(2S)-1-[(2R)-2-(methylamino)-3-phenyl-propanoyl]-N-[(2S)-4,4,5,5,5-pentafluoro-1-(1H-indol-3-yl)-3-oxo-pentan-2-yl]pyrrolidine-2-carboxamide",MDL,COVPDB1090,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1615,urllib_html_metadata_only,2026-07-06T12:59:28+00:00,False,False,True
CovPDB,covpdb_web_metadata_smoke_2026-07-06,https://drug-discovery.vm.uni-freiburg.de/covpdb/complexes_list/initial=Allsortedby=protein_id,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1078,8,1AEC,Actinidain,Actinidia chinensis var. chinensis (Chinese soft-hair kiwi),P00785,ACTN_ACTCC,E64,E64,COVPDB739,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1078,urllib_html_metadata_only,2026-07-06T12:59:28+00:00,False,False,True
CovPDB,covpdb_web_metadata_smoke_2026-07-06,https://drug-discovery.vm.uni-freiburg.de/covpdb/complexes_list/initial=Allsortedby=protein_id,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=644,9,1AHT,Prothrombin,Homo sapiens (Human),P00734,THRB_HUMAN,p-Amidinophenylpyruvate,APA,COVPDB501,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=644,urllib_html_metadata_only,2026-07-06T12:59:28+00:00,False,False,True
CovPDB,covpdb_web_metadata_smoke_2026-07-06,https://drug-discovery.vm.uni-freiburg.de/covpdb/complexes_list/initial=Allsortedby=protein_id,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=2045,10,1AI8,Prothrombin,Homo sapiens (Human),P00734,THRB_HUMAN,PHCH2OCO-D-DPA-PRO-BOROMPG,T42,COVPDB1341,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=2045,urllib_html_metadata_only,2026-07-06T12:59:28+00:00,False,False,True
CovPDB,covpdb_web_metadata_smoke_2026-07-06,https://drug-discovery.vm.uni-freiburg.de/covpdb/complexes_list/initial=Allsortedby=protein_id,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=2301,11,1AIM,Cruzipain,Trypanosoma cruzi,P25779,CYSP_TRYCR,BENZOYL-TYROSINE-ALANINE-FLUORO-METHYL KETONE,ZYA,COVPDB1512,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=2301,urllib_html_metadata_only,2026-07-06T12:59:28+00:00,False,False,True
CovPDB,covpdb_web_metadata_smoke_2026-07-06,https://drug-discovery.vm.uni-freiburg.de/covpdb/complexes_list/initial=Allsortedby=protein_id,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=2091,12,1ARC,Protease 1,Achromobacter lyticus,P15636,API_ACHLY,TLCK,TCK,COVPDB644,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=2091,urllib_html_metadata_only,2026-07-06T12:59:28+00:00,False,False,True
CovPDB,covpdb_web_metadata_smoke_2026-07-06,https://drug-discovery.vm.uni-freiburg.de/covpdb/complexes_list/initial=Allsortedby=protein_id,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=993,13,1AT3,Capsid scaffolding protein,Human herpesvirus 2 (HHV-2) (Human herpes simplex virus 2),Q69527,Q69527_HHV2,DIISOPROPYL PHOSPHATE,DFP,COVPDB690,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=993,urllib_html_metadata_only,2026-07-06T12:59:28+00:00,False,False,True
CovPDB,covpdb_web_metadata_smoke_2026-07-06,https://drug-discovery.vm.uni-freiburg.de/covpdb/complexes_list/initial=Allsortedby=protein_id,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1076,14,1ATK,Cathepsin K,Homo sapiens (Human),P43235,CATK_HUMAN,E64,E64,COVPDB739,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1076,urllib_html_metadata_only,2026-07-06T12:59:28+00:00,False,False,True
CovPDB,covpdb_web_metadata_smoke_2026-07-06,https://drug-discovery.vm.uni-freiburg.de/covpdb/complexes_list/initial=Allsortedby=protein_id,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1852,15,1AU3,Cathepsin K,Homo sapiens (Human),P43235,CATK_HUMAN,phenylmethyl N-[(2S)-4-methyl-1-[[(3R)-1-[(2S)-4-methyl-2-phenylmethoxycarbonylamino-pentanoyl]-4-oxo-pyrrolidin-3-yl]amino]-1-oxo-pentan-2-yl]carbamate,PCM,COVPDB1218,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1852,urllib_html_metadata_only,2026-07-06T12:59:28+00:00,False,False,True
