sample_id,extracted_event_id,pdb_id,het_code,mask_task_name,mask_task_alias,sample_id_deterministic,sample_id_unique,schema_order_matches_contract,source_event_found,source_event_extraction_success,source_event_geometry_qa_passed,protein_atom_rows_for_event,ligand_atom_rows_for_event,protein_atom_rows_count_matches_source,ligand_atom_rows_count_matches_source,canonical_mask_task_valid,b3_scaffold_only_included_when_applicable,annotation_blockers_preserved,auxiliary_label_blockers_preserved,ready_for_training_false,row_qa_passed,qa_comment
sample::covpdb::1A3B::T29::H:SER195:OG-B::warhead_only,extracted_event::covpdb::1A3B::T29::H:SER195:OG-B,1A3B,T29,warhead_only,A,True,True,True,True,True,True,272,34,True,True,True,True,True,True,True,True,sample_index_row_validated
sample::covpdb::1A3B::T29::H:SER195:OG-B::linker_plus_warhead,extracted_event::covpdb::1A3B::T29::H:SER195:OG-B,1A3B,T29,linker_plus_warhead,B,True,True,True,True,True,True,272,34,True,True,True,True,True,True,True,True,sample_index_row_validated
sample::covpdb::1A3B::T29::H:SER195:OG-B::scaffold_plus_warhead,extracted_event::covpdb::1A3B::T29::H:SER195:OG-B,1A3B,T29,scaffold_plus_warhead,B2,True,True,True,True,True,True,272,34,True,True,True,True,True,True,True,True,sample_index_row_validated
sample::covpdb::1A3B::T29::H:SER195:OG-B::scaffold_only,extracted_event::covpdb::1A3B::T29::H:SER195:OG-B,1A3B,T29,scaffold_only,B3,True,True,True,True,True,True,272,34,True,True,True,True,True,True,True,True,sample_index_row_validated
sample::covpdb::1A3B::T29::H:SER195:OG-B::scaffold_plus_linker_plus_warhead,extracted_event::covpdb::1A3B::T29::H:SER195:OG-B,1A3B,T29,scaffold_plus_linker_plus_warhead,C,True,True,True,True,True,True,272,34,True,True,True,True,True,True,True,True,sample_index_row_validated
sample::covpdb::1A3E::T16::H:SER195:OG-B::warhead_only,extracted_event::covpdb::1A3E::T16::H:SER195:OG-B,1A3E,T16,warhead_only,A,True,True,True,True,True,True,252,35,True,True,True,True,True,True,True,True,sample_index_row_validated
sample::covpdb::1A3E::T16::H:SER195:OG-B::linker_plus_warhead,extracted_event::covpdb::1A3E::T16::H:SER195:OG-B,1A3E,T16,linker_plus_warhead,B,True,True,True,True,True,True,252,35,True,True,True,True,True,True,True,True,sample_index_row_validated
sample::covpdb::1A3E::T16::H:SER195:OG-B::scaffold_plus_warhead,extracted_event::covpdb::1A3E::T16::H:SER195:OG-B,1A3E,T16,scaffold_plus_warhead,B2,True,True,True,True,True,True,252,35,True,True,True,True,True,True,True,True,sample_index_row_validated
sample::covpdb::1A3E::T16::H:SER195:OG-B::scaffold_only,extracted_event::covpdb::1A3E::T16::H:SER195:OG-B,1A3E,T16,scaffold_only,B3,True,True,True,True,True,True,252,35,True,True,True,True,True,True,True,True,sample_index_row_validated
sample::covpdb::1A3E::T16::H:SER195:OG-B::scaffold_plus_linker_plus_warhead,extracted_event::covpdb::1A3E::T16::H:SER195:OG-B,1A3E,T16,scaffold_plus_linker_plus_warhead,C,True,True,True,True,True,True,252,35,True,True,True,True,True,True,True,True,sample_index_row_validated
sample::covpdb::1A46::00K::H:SER195:OG-C::warhead_only,extracted_event::covpdb::1A46::00K::H:SER195:OG-C,1A46,00K,warhead_only,A,True,True,True,True,True,True,246,38,True,True,True,True,True,True,True,True,sample_index_row_validated
sample::covpdb::1A46::00K::H:SER195:OG-C::linker_plus_warhead,extracted_event::covpdb::1A46::00K::H:SER195:OG-C,1A46,00K,linker_plus_warhead,B,True,True,True,True,True,True,246,38,True,True,True,True,True,True,True,True,sample_index_row_validated
