training_blocker_item,required_status,current_step_status,training_blocker_passed,qa_comment
mask_warhead_only_A,present,present,True,training_blocker_preserved
mask_linker_plus_warhead_B,present,present,True,training_blocker_preserved
mask_scaffold_plus_warhead_B2,present,present,True,training_blocker_preserved
mask_scaffold_only_B3,present,present,True,training_blocker_preserved
mask_scaffold_plus_linker_plus_warhead_C,present,present,True,training_blocker_preserved
scaffold_linker_warhead_annotation_required_before_training,true,true,True,training_blocker_preserved
auxiliary_labels_required_before_training,true,true,True,training_blocker_preserved
warhead_type_label_required_before_training,true,true,True,training_blocker_preserved
ligand_residue_atom_pair_label_audit_required_before_training,true,true,True,training_blocker_preserved
pre_post_geometry_label_audit_required_before_training,true,true,True,training_blocker_preserved
feature_semantics_audit_required,true,true,True,training_blocker_preserved
feature_semantics_fully_audited_claimed_false,true,true,True,training_blocker_preserved
leakage_split_design_required,true,true,True,training_blocker_preserved
split_written_current_step_false,true,true,True,training_blocker_preserved
leakage_matrix_written_current_step_false,true,true,True,training_blocker_preserved
ready_for_training_false,true,true,True,training_blocker_preserved
