boundary_item,current_step_status,boundary_safety_passed,qa_comment
sample_index_smoke,executed_smoke_only,True,boundary_respected
read_step13bg_design_contracts,executed_derived_csv_json_read_only,True,boundary_respected
read_step13bf_qa_artifacts,executed_derived_csv_json_read_only,True,boundary_respected
read_step13be_extracted_tables,executed_derived_csv_json_read_only,True,boundary_respected
sample_index_csv_write,executed_smoke_only,True,boundary_respected
sample_index_json_write,executed_smoke_only,True,boundary_respected
sample_index_qa_gate,blocked_until_next_gate,True,boundary_respected
final_dataset,blocked_current_step,True,boundary_respected
split_assignments,blocked_current_step,True,boundary_respected
leakage_matrix,blocked_current_step,True,boundary_respected
dataloader_smoke,blocked_current_step,True,boundary_respected
training,blocked_current_step,True,boundary_respected
raw_file_content_read,not_executed_or_not_allowed,True,boundary_respected
mmcif_parse,not_executed_or_not_allowed,True,boundary_respected
coordinate_extraction,not_executed_or_not_allowed,True,boundary_respected
network_access,not_executed_or_not_allowed,True,boundary_respected
raw_download,not_executed_or_not_allowed,True,boundary_respected
rdkit_biopdb_gemmi,not_executed_or_not_allowed,True,boundary_respected
torch_model_training,not_executed_or_not_allowed,True,boundary_respected
