policy_item,policy_description,policy_contract_passed
leakage_split_review_gate_only,leakage split review gate only,True
review_reads_committed_design_outputs,review reads committed design outputs,True
review_does_not_write_split_assignments,review does not write split assignments,True
review_does_not_write_leakage_matrix,review does not write leakage matrix,True
review_does_not_write_final_dataset,review does not write final dataset,True
conservative_group_acceptance_is_pilot_specific,conservative group acceptance is pilot specific,True
conservative_group_acceptance_is_not_general_similarity_claim,conservative group acceptance is not general similarity claim,True
no_pdb_number_proximity_inference,no pdb number proximity inference,True
no_protein_sequence_identity_claim,no protein sequence identity claim,True
no_ligand_graph_similarity_claim,no ligand graph similarity claim,True
group_level_split_only,group level split only,True
no_random_row_level_split,no random row level split,True
independent_group_expansion_required,independent group expansion required,True
feature_semantics_audit_required_before_training,feature semantics audit required before training,True
canonical_five_masks_preserved,canonical five masks preserved,True
no_training_current_step,no training current step,True
