safety_item,expected_executed,observed_executed,safety_passed
exact_source_reads,true,true,true
p3_effective_matrix_validation,true,true,true
e1a_design_evidence_validation,true,true,true
target_rule_overlay,true,true,true
target_field_overlay,true,true,true
target_context_partial_overlay,true,true,true
issue_transition_overlay,true,true,true
raw_read,false,false,true
parser_execution,false,false,true
provider_execution,false,false,true
evaluator_implementation,false,false,true
candidate_record_materialization,false,false,true
candidate_evaluation,false,false,true
admission_record_modification,false,false,true
sample_backfill,false,false,true
network,false,false,true
download,false,false,true
checkpoint,false,false,true
torch,false,false,true
numpy,false,false,true
rdkit,false,false,true
model_forward_loss_training,false,false,true
