discovery_manifest_row_id,purpose,source_profile,source_database,curation_candidate_id,candidate_metadata_id,pdb_id,ligand_identifier,raw_output_path,download_status,download_attempted,raw_file_exists,raw_file_size_bytes,raw_file_sha256,failure_reason,struct_conn_parse_status,struct_conn_row_count,cys_sg_candidate_count,ready_candidate_current_step,ready_for_training_current_step
CYS_SG_DISC_MAN_000001,evidence_discovery_only,covpdb_manual_metadata_v0,CovPDB,CUR_EVT_000001,COVPDB_META_000001,1A3B,COVPDB1333,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0/1A3B.cif,existing_reused,False,True,320846,1281cfcfc35430949274aa248a269df38ce17d2b674f81347d2fa6e39736d72d,,parsed_struct_conn,5,4,False,False
CYS_SG_DISC_MAN_000002,evidence_discovery_only,covpdb_manual_metadata_v0,CovPDB,CUR_EVT_000002,COVPDB_META_000002,1A3E,COVPDB1330,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0/1A3E.cif,existing_reused,False,True,317985,3e674ccdbc72692b534c8a69f4ac1a8bdee3f8e5829695a59e244630270c0875,,parsed_struct_conn,5,4,False,False
CYS_SG_DISC_MAN_000003,evidence_discovery_only,covpdb_manual_metadata_v0,CovPDB,CUR_EVT_000003,COVPDB_META_000003,1A46,COVPDB1,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0/1A46.cif,existing_reused,False,True,322382,f174e2402372f0ce27f83e276417fd3a2ba099e5f6cb91245c1bf8073da42a31,,parsed_struct_conn,18,4,False,False
CYS_SG_DISC_MAN_000004,evidence_discovery_only,covpdb_manual_metadata_v0,CovPDB,CUR_EVT_000004,COVPDB_META_000004,1A54,COVPDB1089,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0/1A54.cif,existing_reused,False,True,334153,72027fd8250ab981a082a8081f7624ca81f2cc78dfeaba8ea124a3ead1543d11,,parsed_struct_conn,0,0,False,False
CYS_SG_DISC_MAN_000005,evidence_discovery_only,covpdb_manual_metadata_v0,CovPDB,CUR_EVT_000005,COVPDB_META_000005,1A5G,COVPDB2,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0/1A5G.cif,existing_reused,False,True,323136,bd27e5b0c3aa8780f4eac79cc35d8f7f100b81dd254adb4c37c4a212308afb5e,,parsed_struct_conn,19,4,False,False
CYS_SG_DISC_MAN_000006,evidence_discovery_only,covpdb_manual_metadata_v0,CovPDB,CUR_EVT_000006,COVPDB_META_000006,1A61,COVPDB3,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0/1A61.cif,existing_reused,False,True,327148,99a9cd9a9855434e2ab616c6998d6dcc4769fc134b0353ae2b13871d9ff05041,,parsed_struct_conn,19,4,False,False
CYS_SG_DISC_MAN_000007,evidence_discovery_only,covpdb_manual_metadata_v0,CovPDB,CUR_EVT_000007,COVPDB_META_000007,1AD8,COVPDB1090,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0/1AD8.cif,existing_reused,False,True,335742,e35cd02847f4f9113399f573a9631259c278e2fca78aea0bdff9f1d3d18fc494,,parsed_struct_conn,13,4,False,False
CYS_SG_DISC_MAN_000008,evidence_discovery_only,covpdb_manual_metadata_v0,CovPDB,CUR_EVT_000008,COVPDB_META_000008,1AEC,COVPDB739,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0/1AEC.cif,existing_reused,False,True,283760,cfaf7e2b3fb2ba4ad7fa7667d6bb826fb45303db0c881bcdb280cb7a7da968ea,,parsed_struct_conn,4,4,False,False
CYS_SG_DISC_MAN_000009,evidence_discovery_only,covpdb_manual_metadata_v0,CovPDB,CUR_EVT_000009,COVPDB_META_000009,1AHT,COVPDB501,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0/1AHT.cif,existing_reused,False,True,320751,60e1f8e6a994fe264ae1b3559b233443b8e335ef4eb40656a0213aae03576555,,parsed_struct_conn,7,4,False,False
CYS_SG_DISC_MAN_000010,evidence_discovery_only,covpdb_manual_metadata_v0,CovPDB,CUR_EVT_000010,COVPDB_META_000010,1AI8,COVPDB1341,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0/1AI8.cif,existing_reused,False,True,334364,bc49913ff9842c1ba89bf58dd6ccb0f67fcf3467f2c10bbe2e7cb950394b152d,,parsed_struct_conn,6,4,False,False
CYS_SG_DISC_MAN_000011,evidence_discovery_only,covpdb_manual_metadata_v0,CovPDB,CUR_EVT_000011,COVPDB_META_000011,1AIM,COVPDB1512,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0/1AIM.cif,existing_reused,False,True,268208,28c952563def4bfbbd33aa486d57f2e5e8efb169ebc93ec8f99a98e07663b8b8,,parsed_struct_conn,4,4,False,False
CYS_SG_DISC_MAN_000012,evidence_discovery_only,covpdb_manual_metadata_v0,CovPDB,CUR_EVT_000012,COVPDB_META_000012,1ARC,COVPDB644,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0/1ARC.cif,existing_reused,False,True,255679,e0f52c5ff65aaf923c79060a9b23977bbbf7c14dd01d936b2f7054761fd9e553,,parsed_struct_conn,4,3,False,False
