audit_row_id,binding_row_id,pdb_id,covalent_residue_name_input,canonical_residue_name,candidate_atom_name,matched_residue_atom_name,locator_namespace,selected_chain_id,selected_residue_index,auth_chain_id,auth_residue_index,label_chain_id,label_residue_index,auth_label_conflict_observed,provider_five_fields_match,insertion_state,insertion_value,admit_004_identity_semantics_valid,admit_005_scope_outcome,insertion_blocks,effective_outcome,reason,audit_passed
ADMIT004_EXACT11_000001,REAL_LOCATOR_BINDING_000001,6BV6,CYS,CYS,SG,SG,auth,A,346,A,346,A,275,true,true,unknown,,true,passed,true,blocked,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,true
ADMIT004_EXACT11_000002,REAL_LOCATOR_BINDING_000002,6BV8,CYS,CYS,SG,SG,auth,A,353,A,353,A,282,true,true,unknown,,true,passed,true,blocked,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,true
ADMIT004_EXACT11_000003,REAL_LOCATOR_BINDING_000003,6BV5,CYS,CYS,SG,SG,auth,A,353,A,353,A,282,true,true,unknown,,true,passed,true,blocked,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,true
ADMIT004_EXACT11_000004,REAL_LOCATOR_BINDING_000004,1AEC,CYS,CYS,SG,SG,auth,A,25,A,25,A,25,false,true,unknown,,true,passed,true,blocked,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,true
ADMIT004_EXACT11_000005,REAL_LOCATOR_BINDING_000005,1AIM,CYS,CYS,SG,SG,auth,A,25,A,25,A,25,false,true,unknown,,true,passed,true,blocked,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,true
ADMIT004_EXACT11_000006,REAL_LOCATOR_BINDING_000006,1AU3,CYS,CYS,SG,SG,auth,A,25,A,25,A,25,false,true,unknown,,true,passed,true,blocked,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,true
ADMIT004_EXACT11_000007,REAL_LOCATOR_BINDING_000007,1AU4,CYS,CYS,SG,SG,auth,A,25,A,25,A,25,false,true,unknown,,true,passed,true,blocked,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,true
ADMIT004_EXACT11_000008,REAL_LOCATOR_BINDING_000008,1AYU,CYS,CYS,SG,SG,auth,A,25,A,25,A,25,false,true,unknown,,true,passed,true,blocked,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,true
ADMIT004_EXACT11_000009,REAL_LOCATOR_BINDING_000009,1AYV,CYS,CYS,SG,SG,auth,A,25,A,25,A,25,false,true,unknown,,true,passed,true,blocked,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,true
ADMIT004_EXACT11_000010,REAL_LOCATOR_BINDING_000010,1AYW,CYS,CYS,SG,SG,auth,A,25,A,25,A,25,false,true,unknown,,true,passed,true,blocked,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,true
ADMIT004_EXACT11_000011,REAL_LOCATOR_BINDING_000011,1B02,CYS,CYS,SG,SG,auth,A,161,A,161,A,161,false,true,unknown,,true,passed,true,blocked,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,true
