case_id,case_description,input_residue_name,input_locator_namespace,input_candidate_chain_id,input_candidate_residue_index,input_atom_name,input_insertion_state,input_insertion_value,provider_evidence_disposition,canonical_residue_name,expected_admit_004_outcome,observed_admit_004_outcome,expected_admit_005_outcome,observed_admit_005_outcome,expected_effective_outcome,observed_effective_outcome,expected_reason,observed_reason,truth_table_passed
ADMIT004_TRUTH_01,auth CYS/SG with absent insertion,CYS,auth,A,42,SG,absent,,passed,CYS,passed,passed,passed,passed,passed,passed,,,true
ADMIT004_TRUTH_02,label CYS/SG with valid present insertion,CYS,label,A,42,SG,present,A,passed,CYS,passed,passed,passed,passed,passed,passed,,,true
ADMIT004_TRUTH_03,auth CYS/SG with unknown empty insertion,CYS,auth,A,42,SG,unknown,,passed,CYS,blocked,blocked,passed,passed,blocked,blocked,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,true
ADMIT004_TRUTH_04,lowercase cys canonicalized,cys,auth,A,42,SG,absent,,passed,CYS,passed,passed,passed,passed,passed,passed,,,true
ADMIT004_TRUTH_05,mixed-case Cys canonicalized,Cys,auth,A,42,SG,absent,,passed,CYS,passed,passed,passed,passed,passed,passed,,,true
ADMIT004_TRUTH_06,non-CYS canonical component is outside V1 scope,SER,auth,A,42,SG,absent,,passed,SER,passed,passed,rejected,rejected,rejected,rejected,ADMIT_005_CYS_SG_SCOPE_REJECTED,ADMIT_005_CYS_SG_SCOPE_REJECTED,true
ADMIT004_TRUTH_07,lowercase atom sg is invalid,CYS,auth,A,42,sg,absent,,passed,CYS,invalid,invalid,invalid,invalid,invalid,invalid,COVALENT_RESIDUE_ATOM_NAME_NOT_EXACT_SG,COVALENT_RESIDUE_ATOM_NAME_NOT_EXACT_SG,true
ADMIT004_TRUTH_08,atom alias S is invalid,CYS,auth,A,42,S,absent,,passed,CYS,invalid,invalid,invalid,invalid,invalid,invalid,COVALENT_RESIDUE_ATOM_NAME_NOT_EXACT_SG,COVALENT_RESIDUE_ATOM_NAME_NOT_EXACT_SG,true
ADMIT004_TRUTH_09,uppercase namespace AUTH is invalid,CYS,AUTH,A,42,SG,absent,,passed,CYS,invalid,invalid,passed,passed,invalid,invalid,COVALENT_RESIDUE_SELECTED_PAIR_INVALID,COVALENT_RESIDUE_SELECTED_PAIR_INVALID,true
ADMIT004_TRUTH_10,mixed auth-chain and label-index pair is invalid,CYS,auth,A,7,SG,absent,,passed,CYS,invalid,invalid,passed,passed,invalid,invalid,COVALENT_RESIDUE_SELECTED_PAIR_MISMATCH,COVALENT_RESIDUE_SELECTED_PAIR_MISMATCH,true
ADMIT004_TRUTH_11,selected namespace pair mismatch is invalid,CYS,auth,B,42,SG,absent,,passed,CYS,invalid,invalid,passed,passed,invalid,invalid,COVALENT_RESIDUE_SELECTED_PAIR_MISMATCH,COVALENT_RESIDUE_SELECTED_PAIR_MISMATCH,true
ADMIT004_TRUTH_12,auth label conflict permits complete selected auth match,CYS,auth,A,42,SG,absent,,passed,CYS,passed,passed,passed,passed,passed,passed,,,true
ADMIT004_TRUTH_13,component provider evidence conflict is rejected,CYS,auth,A,42,SG,absent,,rejected,CYS,passed,passed,passed,passed,rejected,rejected,PROVIDER_COMPONENT_EVIDENCE_CONFLICT,PROVIDER_COMPONENT_EVIDENCE_CONFLICT,true
ADMIT004_TRUTH_14,atom provider evidence conflict is rejected,CYS,auth,A,42,SG,absent,,rejected,CYS,passed,passed,passed,passed,rejected,rejected,PROVIDER_ATOM_EVIDENCE_CONFLICT,PROVIDER_ATOM_EVIDENCE_CONFLICT,true
ADMIT004_TRUTH_15,provenance source ID or SHA grammar invalid,CYS,auth,A,42,SG,absent,,passed,CYS,invalid,invalid,passed,passed,invalid,invalid,COVALENT_RESIDUE_PROVENANCE_INVALID,COVALENT_RESIDUE_PROVENANCE_INVALID,true
ADMIT004_TRUTH_16,whitespace marker or empty lexical field invalid,CYS,auth, ,42,SG,absent,,passed,CYS,invalid,invalid,passed,passed,invalid,invalid,COVALENT_RESIDUE_SELECTED_PAIR_INVALID,COVALENT_RESIDUE_SELECTED_PAIR_INVALID,true
