contract_id,contract_area,contract_statement,expected_value,observed_value,contract_passed
SOURCE_001,source_boundary,ordered committed regular non-symlink source src/covalent_ext/covapie_canonical_final_dataset_bulk_download_admission_design_gate.py,79ecb3fb1084ddc161d1bec1a7db664ffbeda71952e31e4233317ecd487905d6,79ecb3fb1084ddc161d1bec1a7db664ffbeda71952e31e4233317ecd487905d6,true
SOURCE_002,source_boundary,ordered committed regular non-symlink source data/derived/covalent_small/covapie_bulk_download_admission_ligand_comp_id_semantics_integration_gate_v1/covapie_ligand_comp_id_integrated_rule_matrix.csv,e0b22771761719c6b2796638628eca3d27d417441b92ac231d1610a8b18b2760,e0b22771761719c6b2796638628eca3d27d417441b92ac231d1610a8b18b2760,true
SOURCE_003,source_boundary,ordered committed regular non-symlink source data/derived/covalent_small/covapie_bulk_download_admission_ligand_comp_id_semantics_integration_gate_v1/covapie_ligand_comp_id_integrated_field_matrix.csv,828b0e2fe3c26e1e81513cbe4fb48e221e604fa90fb1842972c29f3c2a44266f,828b0e2fe3c26e1e81513cbe4fb48e221e604fa90fb1842972c29f3c2a44266f,true
SOURCE_004,source_boundary,ordered committed regular non-symlink source data/derived/covalent_small/covapie_bulk_download_admission_ligand_comp_id_semantics_integration_gate_v1/covapie_ligand_comp_id_integration_issue_inventory.csv,80954e517a2425c3a5659114d08999b59aed2410be9f1af0f43eef79c22dbedd,80954e517a2425c3a5659114d08999b59aed2410be9f1af0f43eef79c22dbedd,true
SOURCE_005,source_boundary,ordered committed regular non-symlink source data/derived/covalent_small/covapie_bulk_download_admission_ligand_comp_id_semantics_integration_gate_v1/covapie_ligand_comp_id_semantics_integration_manifest.json,f74e9f138fb1c5375174192fa4e7ba843feafba1ea3c6c0bb49a77617ccc6540,f74e9f138fb1c5375174192fa4e7ba843feafba1ea3c6c0bb49a77617ccc6540,true
SOURCE_006,source_boundary,ordered committed regular non-symlink source src/covalent_ext/covapie_bulk_download_admission_covalent_residue_locator_minimal_schema_extension_design_gate.py,abe6f364f0cc0297e2695f42753885e45aaf10580e4ed42deab62a39676be079,abe6f364f0cc0297e2695f42753885e45aaf10580e4ed42deab62a39676be079,true
SOURCE_007,source_boundary,ordered committed regular non-symlink source src/covalent_ext/covapie_bulk_download_admission_covalent_residue_locator_minimal_schema_extension_integration_gate.py,fcf3c3ede7db23dd131a8bdc7b06eff8b3936326ebbff6701a270694325c2286,fcf3c3ede7db23dd131a8bdc7b06eff8b3936326ebbff6701a270694325c2286,true
SOURCE_008,source_boundary,ordered committed regular non-symlink source data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_minimal_schema_extension_integration_gate_v1/covapie_covalent_residue_locator_schema_integrated_rule_matrix.csv,c1ae6cf9c2ca5450315ff3e3ed21b0a81d8bfc08c6a07e35d3f2dca1874e0d2f,c1ae6cf9c2ca5450315ff3e3ed21b0a81d8bfc08c6a07e35d3f2dca1874e0d2f,true
SOURCE_009,source_boundary,ordered committed regular non-symlink source data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_minimal_schema_extension_integration_gate_v1/covapie_covalent_residue_locator_schema_integrated_field_matrix.csv,53dccd0ff7b20465c9df13f2c9eefc254f39bcb40e30732d1cfdfa4036e888fb,53dccd0ff7b20465c9df13f2c9eefc254f39bcb40e30732d1cfdfa4036e888fb,true
SOURCE_010,source_boundary,ordered committed regular non-symlink source data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_minimal_schema_extension_integration_gate_v1/covapie_covalent_residue_locator_schema_integration_issue_inventory.csv,80954e517a2425c3a5659114d08999b59aed2410be9f1af0f43eef79c22dbedd,80954e517a2425c3a5659114d08999b59aed2410be9f1af0f43eef79c22dbedd,true
SOURCE_011,source_boundary,ordered committed regular non-symlink source data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_minimal_schema_extension_integration_gate_v1/covapie_covalent_residue_locator_schema_extension_integration_manifest.json,676fe3c86e1304ba4971862d1e270fed40d9665e16c356d719627538aa28ee44,676fe3c86e1304ba4971862d1e270fed40d9665e16c356d719627538aa28ee44,true
SOURCE_012,source_boundary,ordered committed regular non-symlink source src/covalent_ext/covapie_bulk_download_admission_covalent_residue_locator_parser_provider_provenance_export_design_gate.py,b1a874e402180a361b6940541c95710797ed10cabfdb19f7426c0b04d0532537,b1a874e402180a361b6940541c95710797ed10cabfdb19f7426c0b04d0532537,true
