source_order,source_relative_path,source_kind,expected_sha256,observed_sha256,base_blob_sha256,base_tree_mode,git_tracked,filesystem_regular,non_symlink,parent_chain_non_symlink,pinned_fd_no_follow_read,raw_checkpoint_excluded,audit_result
1,src/covalent_ext/covapie_bulk_download_admission_admit_013_download_outcome_and_integrity_contract_design_gate.py,python_source,bcec99607dc5a27a6b62fe788c93f4a24f12d9af387a6e14c7d1695d2c4482b8,bcec99607dc5a27a6b62fe788c93f4a24f12d9af387a6e14c7d1695d2c4482b8,bcec99607dc5a27a6b62fe788c93f4a24f12d9af387a6e14c7d1695d2c4482b8,100644,true,true,true,true,true,true,passed
2,data/derived/covalent_small/covapie_bulk_download_admission_admit_013_download_outcome_and_integrity_contract_v1/covapie_admit_013_download_outcome_policy_contract.csv,committed_csv,2b64ce56c122ede2ea125944c164243e5bb7dc3da89c50607f29dd647208b43a,2b64ce56c122ede2ea125944c164243e5bb7dc3da89c50607f29dd647208b43a,2b64ce56c122ede2ea125944c164243e5bb7dc3da89c50607f29dd647208b43a,100644,true,true,true,true,true,true,passed
3,data/derived/covalent_small/covapie_bulk_download_admission_admit_013_download_outcome_and_integrity_contract_v1/covapie_admit_013_integrity_authority_contract.csv,committed_csv,d95035d109a2c62646f11c822b50b18ab2e25ded1bfebd13e82a37b9723fa0e1,d95035d109a2c62646f11c822b50b18ab2e25ded1bfebd13e82a37b9723fa0e1,d95035d109a2c62646f11c822b50b18ab2e25ded1bfebd13e82a37b9723fa0e1,100644,true,true,true,true,true,true,passed
4,data/derived/covalent_small/covapie_bulk_download_admission_admit_013_download_outcome_and_integrity_contract_v1/covapie_admit_013_failure_taxonomy_and_precedence.csv,committed_csv,42bead68915f7260aa2c48dabfe2968623de85a039a20a3b78682af246469031,42bead68915f7260aa2c48dabfe2968623de85a039a20a3b78682af246469031,42bead68915f7260aa2c48dabfe2968623de85a039a20a3b78682af246469031,100644,true,true,true,true,true,true,passed
5,data/derived/covalent_small/covapie_bulk_download_admission_admit_013_download_outcome_and_integrity_contract_v1/covapie_admit_013_download_outcome_and_integrity_truth_matrix.csv,committed_csv,7e856eb5ebd995793dcd82fb75266c7ee6f6a8b06b7785f3a70713a96b8efdbb,7e856eb5ebd995793dcd82fb75266c7ee6f6a8b06b7785f3a70713a96b8efdbb,7e856eb5ebd995793dcd82fb75266c7ee6f6a8b06b7785f3a70713a96b8efdbb,100644,true,true,true,true,true,true,passed
6,data/derived/covalent_small/covapie_bulk_download_admission_admit_013_download_outcome_and_integrity_contract_v1/covapie_admit_013_issue_readiness_inventory.csv,committed_csv,240012c88668a3228139052d3920d02b839329fdda41280d31b5382b9de3620c,240012c88668a3228139052d3920d02b839329fdda41280d31b5382b9de3620c,240012c88668a3228139052d3920d02b839329fdda41280d31b5382b9de3620c,100644,true,true,true,true,true,true,passed
7,data/derived/covalent_small/covapie_bulk_download_admission_admit_013_download_outcome_and_integrity_contract_v1/covapie_admit_013_download_outcome_and_integrity_contract_manifest.json,committed_manifest,1bbfe88f459946b78bb14e5b0b672582d508a838bef220ecf292fa84d15f934d,1bbfe88f459946b78bb14e5b0b672582d508a838bef220ecf292fa84d15f934d,1bbfe88f459946b78bb14e5b0b672582d508a838bef220ecf292fa84d15f934d,100644,true,true,true,true,true,true,passed
8,data/derived/covalent_small/covapie_bulk_download_admission_admit_013_rule_logic_interface_preconditions_audit_v1/covapie_admit_013_formal_evaluator_precondition_matrix.csv,committed_csv,4b411c86cce23351d4aec3d58a894d161ab163e0305fdd91853bc54f16aa1fdf,4b411c86cce23351d4aec3d58a894d161ab163e0305fdd91853bc54f16aa1fdf,4b411c86cce23351d4aec3d58a894d161ab163e0305fdd91853bc54f16aa1fdf,100644,true,true,true,true,true,true,passed
9,data/derived/covalent_small/covapie_bulk_download_admission_admit_013_rule_logic_interface_preconditions_audit_v1/covapie_admit_013_issue_readiness_inventory.csv,committed_csv,204923bbf26c286c14ce4feaeb7934b279cafa54287ba96b4e2455fd84cf1198,204923bbf26c286c14ce4feaeb7934b279cafa54287ba96b4e2455fd84cf1198,204923bbf26c286c14ce4feaeb7934b279cafa54287ba96b4e2455fd84cf1198,100644,true,true,true,true,true,true,passed
10,data/derived/covalent_small/covapie_bulk_download_admission_admit_013_rule_logic_interface_preconditions_audit_v1/covapie_admit_013_formal_evaluator_preconditions_manifest.json,committed_manifest,63f0f96a960135117b0c4c8d3f80d1991cb8138e7df69d3917e921a6a4c74ce0,63f0f96a960135117b0c4c8d3f80d1991cb8138e7df69d3917e921a6a4c74ce0,63f0f96a960135117b0c4c8d3f80d1991cb8138e7df69d3917e921a6a4c74ce0,100644,true,true,true,true,true,true,passed
