route_order,case_id,contract_kind,source_envelope,source_key,formal_parameter,presence,missing_representation,consumed_semantics,validated_semantics,canonical_semantics,adapter_responsibility,evaluator_responsibility,route_passed
1,ROUTE_DOWNLOAD_RESULT_STATUS,route,download_result_context,download_result_status,download_result_status,required,future private missing singleton,case-dependent Exact4 prefix,case-dependent Exact4 validated names,raw value pair after all Exact4 structural success,future extraction and scalar pass-through only,presence/type/value validation,true
2,ROUTE_OBSERVED_HTTP_STATUS,route,download_result_context,observed_http_status,observed_http_status,required,future private missing singleton,case-dependent Exact4 prefix,case-dependent Exact4 validated names,raw value pair after all Exact4 structural success,future extraction and scalar pass-through only,presence/type/value validation,true
3,ROUTE_OBSERVED_CONTENT_LENGTH_BYTES,route,download_result_context,observed_content_length_bytes,observed_content_length_bytes,required,future private missing singleton,case-dependent Exact4 prefix,case-dependent Exact4 validated names,raw value pair after all Exact4 structural success,future extraction and scalar pass-through only,presence/type/value validation,true
4,ROUTE_OBSERVED_SHA256,route,download_result_context,observed_sha256,observed_sha256,required,future private missing singleton,case-dependent Exact4 prefix,case-dependent Exact4 validated names,raw value pair after all Exact4 structural success,future extraction and scalar pass-through only,presence/type/value validation,true
5,ROUTE_EXPECTED_CONTENT_LENGTH_BYTES,route,evaluation_context,expected_content_length_bytes,expected_content_length_bytes,optional,future private missing singleton is legal absence,Exact3 checked prefix,present-valid authority names only,present-valid raw pair only,future optional lookup and scalar pass-through only,optional type/value validation,true
6,ROUTE_EXPECTED_SHA256,route,evaluation_context,expected_sha256,expected_sha256,optional,future private missing singleton is legal absence,Exact3 checked prefix,present-valid authority names only,present-valid raw pair only,future optional lookup and scalar pass-through only,optional type/value validation,true
7,ROUTE_EXPLICIT_INTEGRITY_VERDICT,route,evaluation_context,explicit_integrity_verdict,explicit_integrity_verdict,optional,future private missing singleton is legal absence,Exact3 checked prefix,present-valid authority names only,present-valid raw pair only,future optional lookup and scalar pass-through only,optional type/value validation,true
8,FORBIDDEN_CANDIDATE_RECORD,forbidden_route,candidate_record,*,,forbidden,not_applicable,none,none,none,must not source any formal parameter,does not access envelope or I/O,true
9,FORBIDDEN_BATCH_CONTEXT,forbidden_route,batch_context,*,,forbidden,not_applicable,none,none,none,must not source any formal parameter,does not access envelope or I/O,true
10,FORBIDDEN_STAGE_AUTHORIZATION_CONTEXT,forbidden_route,stage_authorization_context,*,,forbidden,not_applicable,none,none,none,must not source any formal parameter,does not access envelope or I/O,true
11,FORBIDDEN_FALLBACK_ENVELOPE,forbidden_route,fallback_envelope,*,,forbidden,not_applicable,none,none,none,must not source any formal parameter,does not access envelope or I/O,true
12,FORBIDDEN_FILESYSTEM,forbidden_route,filesystem,*,,forbidden,not_applicable,none,none,none,must not source any formal parameter,does not access envelope or I/O,true
13,FORBIDDEN_NETWORK,forbidden_route,network,*,,forbidden,not_applicable,none,none,none,must not source any formal parameter,does not access envelope or I/O,true
14,FORBIDDEN_RAW,forbidden_route,raw,*,,forbidden,not_applicable,none,none,none,must not source any formal parameter,does not access envelope or I/O,true
15,FORBIDDEN_PROVIDER_OR_DOWNLOAD_EXECUTION_INSIDE_EVALUATOR,forbidden_route,provider_or_download_execution_inside_evaluator,*,,forbidden,not_applicable,none,none,none,must not source any formal parameter,does not access envelope or I/O,true
16,MISSING_DOWNLOAD_RESULT_STATUS,consumption_case,standalone_evaluator,download_result_status,download_result_status,required,private singleton,download_result_status,,empty,route scalar by identity,blocked at first missing during Exact4 presence,true
17,INVALID_DOWNLOAD_RESULT_STATUS,consumption_case,standalone_evaluator,download_result_status,download_result_status,required,present invalid,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256,,empty,route scalar by identity,invalid at first Exact4 type/value failure,true
18,MISSING_OBSERVED_HTTP_STATUS,consumption_case,standalone_evaluator,observed_http_status,observed_http_status,required,private singleton,download_result_status|observed_http_status,download_result_status,empty,route scalar by identity,blocked at first missing during Exact4 presence,true
19,INVALID_OBSERVED_HTTP_STATUS,consumption_case,standalone_evaluator,observed_http_status,observed_http_status,required,present invalid,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256,download_result_status,empty,route scalar by identity,invalid at first Exact4 type/value failure,true
20,MISSING_OBSERVED_CONTENT_LENGTH_BYTES,consumption_case,standalone_evaluator,observed_content_length_bytes,observed_content_length_bytes,required,private singleton,download_result_status|observed_http_status|observed_content_length_bytes,download_result_status|observed_http_status,empty,route scalar by identity,blocked at first missing during Exact4 presence,true
