loader_shape_dry_run_sample_id,review_row_id,shape_item,expected_rank,observed_rank,expected_first_dimension_source,expected_first_dimension_value,observed_shape,observed_dtype_family,shape_observation_status,tensor_persisted,shape_observation_passed,shape_contract_consistency_validated,shape_qa_passed,blocking_reasons
LSDR_DESIGN_000001,HR_0002,pocket_atom_coordinates,2,2,pocket_atom_count,per_sample_variable,"[224, 3]",floating,observed_in_transient_shape_smoke,False,True,True,True,
LSDR_DESIGN_000001,HR_0002,pocket_atom_features,2,2,pocket_atom_count,per_sample_variable,"[224, 1]",integer,observed_in_transient_shape_smoke,False,True,True,True,
LSDR_DESIGN_000001,HR_0002,pocket_residue_features,2,2,pocket_atom_count,per_sample_variable,"[224, 1]",integer,observed_in_transient_shape_smoke,False,True,True,True,
LSDR_DESIGN_000001,HR_0002,ligand_atom_coordinates,2,2,ligand_atom_count,per_sample_variable,"[33, 3]",floating,observed_in_transient_shape_smoke,False,True,True,True,
LSDR_DESIGN_000001,HR_0002,ligand_atom_features,2,2,ligand_atom_count,per_sample_variable,"[33, 1]",integer,observed_in_transient_shape_smoke,False,True,True,True,
LSDR_DESIGN_000001,HR_0002,ligand_bond_index,2,2,ligand_bond_count,per_sample_variable,"[2, 35]",integer,observed_in_transient_shape_smoke,False,True,True,True,
LSDR_DESIGN_000001,HR_0002,ligand_bond_features,2,2,ligand_bond_count,per_sample_variable,"[35, 1]",integer,observed_in_transient_shape_smoke,False,True,True,True,
LSDR_DESIGN_000001,HR_0002,ligand_group_labels,1,1,ligand_atom_count,per_sample_variable,[33],integer,observed_in_transient_shape_smoke,False,True,True,True,
LSDR_DESIGN_000001,HR_0002,covalent_endpoint_atom_mask,1,1,ligand_atom_count,per_sample_variable,[33],boolean,observed_in_transient_shape_smoke,False,True,True,True,
LSDR_DESIGN_000001,HR_0002,reactive_residue_atom_coordinates,1,1,single_reactive_atom,1,[3],floating,observed_in_transient_shape_smoke,False,True,True,True,
LSDR_DESIGN_000001,HR_0002,canonical_mask_task_id_or_name,1,1,mask_task_count,5,[1],integer,observed_in_transient_shape_smoke,False,True,True,True,
LSDR_DESIGN_000001,HR_0002,auxiliary_warhead_type_label,0,0,sample,1,[],integer,observed_in_transient_shape_smoke,False,True,True,True,
LSDR_DESIGN_000001,HR_0002,auxiliary_ligand_residue_atom_pair_label,0,0,sample,1,[],integer,observed_in_transient_shape_smoke,False,True,True,True,
LSDR_DESIGN_000001,HR_0002,auxiliary_pre_post_geometry_label,0,0,sample,1,[],floating,observed_in_transient_shape_smoke,False,True,True,True,
LSDR_DESIGN_000002,HR_0003,pocket_atom_coordinates,2,2,pocket_atom_count,per_sample_variable,"[254, 3]",floating,observed_in_transient_shape_smoke,False,True,True,True,
LSDR_DESIGN_000002,HR_0003,pocket_atom_features,2,2,pocket_atom_count,per_sample_variable,"[254, 1]",integer,observed_in_transient_shape_smoke,False,True,True,True,
LSDR_DESIGN_000002,HR_0003,pocket_residue_features,2,2,pocket_atom_count,per_sample_variable,"[254, 1]",integer,observed_in_transient_shape_smoke,False,True,True,True,
