occurrence_order,source_relative_path,source_sha256,source_kind,symbol_or_row_id,matched_term,field_role,rule_scope,semantic_statement,authoritative_for_admit009_formal_semantics,occurrence_passed
1,src/covalent_ext/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_008.py,b5022ee4b6a4e965cf783abf15e70a5909860f4f500c89f983fb41b6b8fd87e2,production_source,line_1056,ADMIT_009,ADMIT_009 high-level identity or dependency,ADMIT_009,the named interface element is evidence; its occurrence does not freeze duplicate-key semantics,false,true
2,src/covalent_ext/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_008.py,b5022ee4b6a4e965cf783abf15e70a5909860f4f500c89f983fb41b6b8fd87e2,production_source,line_1058,ADMIT_009,ADMIT_009 high-level identity or dependency,ADMIT_009,the named interface element is evidence; its occurrence does not freeze duplicate-key semantics,false,true
3,src/covalent_ext/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_008.py,b5022ee4b6a4e965cf783abf15e70a5909860f4f500c89f983fb41b6b8fd87e2,production_source,line_1727,ADMIT_009,ADMIT_009 high-level identity or dependency,ADMIT_009,the named interface element is evidence; its occurrence does not freeze duplicate-key semantics,false,true
4,src/covalent_ext/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_008.py,b5022ee4b6a4e965cf783abf15e70a5909860f4f500c89f983fb41b6b8fd87e2,production_source,line_1728,ADMIT_009,ADMIT_009 high-level identity or dependency,ADMIT_009,the named interface element is evidence; its occurrence does not freeze duplicate-key semantics,false,true
5,src/covalent_ext/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_008.py,b5022ee4b6a4e965cf783abf15e70a5909860f4f500c89f983fb41b6b8fd87e2,production_source,line_1867,ADMIT_009,ADMIT_009 high-level identity or dependency,ADMIT_009,the named interface element is evidence; its occurrence does not freeze duplicate-key semantics,false,true
6,src/covalent_ext/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_008.py,b5022ee4b6a4e965cf783abf15e70a5909860f4f500c89f983fb41b6b8fd87e2,production_source,line_1872,ADMIT_009,ADMIT_009 high-level identity or dependency,ADMIT_009,the named interface element is evidence; its occurrence does not freeze duplicate-key semantics,false,true
7,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_008_v1/covapie_admit_001_to_008_runtime_contract.csv,27d0c9d941698d99d045b367889ccd388f708353bcd342eb7f57729bb99940f9,committed_contract_csv,line_71,ADMIT_009,ADMIT_009 high-level identity or dependency,ADMIT_009,the named interface element is evidence; its occurrence does not freeze duplicate-key semantics,false,true
8,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_008_v1/covapie_admit_001_to_008_runtime_contract.csv,27d0c9d941698d99d045b367889ccd388f708353bcd342eb7f57729bb99940f9,committed_contract_csv,line_73,ADMIT_009,ADMIT_009 high-level identity or dependency,ADMIT_009,the named interface element is evidence; its occurrence does not freeze duplicate-key semantics,false,true
9,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_008_v1/covapie_admit_001_to_008_runtime_contract.csv,27d0c9d941698d99d045b367889ccd388f708353bcd342eb7f57729bb99940f9,committed_contract_csv,line_78,ADMIT_009,ADMIT_009 high-level identity or dependency,ADMIT_009,the named interface element is evidence; its occurrence does not freeze duplicate-key semantics,false,true
10,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_008_v1/covapie_admit_001_to_008_runtime_manifest.json,6047e110c29d8ca7300236f8af8dbce31a92f2a62576cbc2a8fa2d5d1baf32cf,committed_manifest,line_174,ADMIT_009,ADMIT_009 high-level identity or dependency,ADMIT_009,the named interface element is evidence; its occurrence does not freeze duplicate-key semantics,false,true
11,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_008_v1/covapie_admit_001_to_008_runtime_manifest.json,6047e110c29d8ca7300236f8af8dbce31a92f2a62576cbc2a8fa2d5d1baf32cf,committed_manifest,line_191,ADMIT_009,ADMIT_009 high-level identity or dependency,ADMIT_009,the named interface element is evidence; its occurrence does not freeze duplicate-key semantics,false,true
12,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_008_v1/covapie_admit_001_to_008_runtime_issue_inventory.csv,1c11f931b103fe8d523115b00f85d095956042ea1168741b8ec42bbf24a38128,committed_contract_csv,line_2,covalent_bond_atom_pair,distinct identity or grouping evidence,"candidate, ligand, protein, leakage, split, or materialization",the observed identifier is not thereby a duplicate key or exact-duplicate equivalence,false,true
13,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_008_v1/covapie_admit_001_to_008_runtime_issue_inventory.csv,1c11f931b103fe8d523115b00f85d095956042ea1168741b8ec42bbf24a38128,committed_contract_csv,line_6,ADMIT_009,ADMIT_009 high-level identity or dependency,ADMIT_009,the named interface element is evidence; its occurrence does not freeze duplicate-key semantics,true,true
14,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_008_v1/covapie_admit_001_to_008_runtime_issue_inventory.csv,1c11f931b103fe8d523115b00f85d095956042ea1168741b8ec42bbf24a38128,committed_contract_csv,line_6,duplicate_identity_key,ADMIT_009 high-level identity or dependency,ADMIT_009,the named interface element is evidence; its occurrence does not freeze duplicate-key semantics,true,true
15,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_008_v1/covapie_admit_001_to_008_runtime_issue_inventory.csv,1c11f931b103fe8d523115b00f85d095956042ea1168741b8ec42bbf24a38128,committed_contract_csv,line_6,DUPLICATE_IDENTITY_KEY_SEMANTICS_UNRESOLVED,open semantics blocker,ADMIT_009,duplicate identity key semantics remain unresolved,false,true
16,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_008_v1/covapie_admit_001_to_008_runtime_issue_inventory.csv,1c11f931b103fe8d523115b00f85d095956042ea1168741b8ec42bbf24a38128,committed_contract_csv,line_7,leakage_group_id,distinct identity or grouping evidence,"candidate, ligand, protein, leakage, split, or materialization",the observed identifier is not thereby a duplicate key or exact-duplicate equivalence,false,true
17,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_008_v1/covapie_admit_001_to_008_runtime_issue_inventory.csv,1c11f931b103fe8d523115b00f85d095956042ea1168741b8ec42bbf24a38128,committed_contract_csv,line_11,ADMIT_009,ADMIT_009 high-level identity or dependency,ADMIT_009,the named interface element is evidence; its occurrence does not freeze duplicate-key semantics,true,true
18,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_008_v1/covapie_admit_001_to_008_runtime_issue_inventory.csv,1c11f931b103fe8d523115b00f85d095956042ea1168741b8ec42bbf24a38128,committed_contract_csv,line_12,ADMIT_009,ADMIT_009 high-level identity or dependency,ADMIT_009,the named interface element is evidence; its occurrence does not freeze duplicate-key semantics,true,true
19,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_rule_registry.csv,9b16919a08d166a8daf223c7b6a04078ae10aa00206daefc18f2c5a5060783fc,committed_contract_csv,line_10,ADMIT_009,ADMIT_009 high-level identity or dependency,ADMIT_009,the named interface element is evidence; its occurrence does not freeze duplicate-key semantics,true,true
