vocabulary_order,source_relative_path,source_sha256,source_kind,symbol_or_row_id,observed_term,observed_role,semantic_category,explicitly_declared_duplicate_key,explicitly_declared_duplicate_key_component,exact_duplicate_equivalence_declared,safe_to_use_in_duplicate_key_contract_now,promotion_blocker,inventory_passed
1,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_schema_contract.csv,44ca53db60e210ffe1200d32f449c1fd94107f2775ed19b9c14f3a1e982e9710,committed_contract_csv,admission_field_name,duplicate_identity_key,pre-download deduplication-key candidate field,admission_candidate_field,true,false,false,false,DUPLICATE_IDENTITY_KEY_SEMANTICS_UNRESOLVED,true
2,data/derived/covalent_small/covapie_bulk_download_admission_candidate_record_id_semantics_design_gate_v1/covapie_candidate_record_id_semantics_contract.csv,92f624705a611c0dac011229d13d6a3ba87fc1ab7a3e0bc9c090952a0838b318,committed_contract_csv,separate_from_duplicate_identity_key,candidate_record_id,opaque candidate-record identity explicitly separate from duplicate key,record_identifier,false,false,false,false,DUPLICATE_IDENTITY_KEY_SEMANTICS_UNRESOLVED,true
3,data/derived/covalent_small/covapie_independent_group_expansion_batch_independence_evidence_materialization_smoke_v0/covapie_ligand_graph_scaffold_evidence.csv,982a9f89a89d3a4ad6a3e468cfd16d2fdfd5435cbf6d593e086fbd7fadd3ec73,committed_contract_csv,column,sample_index_row_id,sample-index row identity,sample_identifier,false,false,false,false,DUPLICATE_IDENTITY_KEY_SEMANTICS_UNRESOLVED,true
4,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,committed_contract_csv,column,assignment_id,leakage assignment row identity,assignment_identifier,false,false,false,false,DUPLICATE_IDENTITY_KEY_SEMANTICS_UNRESOLVED,true
5,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_schema_contract.csv,44ca53db60e210ffe1200d32f449c1fd94107f2775ed19b9c14f3a1e982e9710,committed_contract_csv,admission_field_name,pdb_id,structure identifier,record_identifier,false,false,false,false,DUPLICATE_IDENTITY_KEY_SEMANTICS_UNRESOLVED,true
6,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_schema_contract.csv,44ca53db60e210ffe1200d32f449c1fd94107f2775ed19b9c14f3a1e982e9710,committed_contract_csv,admission_field_name,ligand_comp_id,ligand component identity,ligand_identity,false,false,false,false,DUPLICATE_IDENTITY_KEY_SEMANTICS_UNRESOLVED,true
7,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_schema_contract.csv,44ca53db60e210ffe1200d32f449c1fd94107f2775ed19b9c14f3a1e982e9710,committed_contract_csv,admission_field_name,covalent_residue_name,covalent residue locator component,residue_identity,false,false,false,false,DUPLICATE_IDENTITY_KEY_SEMANTICS_UNRESOLVED,true
8,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_schema_contract.csv,44ca53db60e210ffe1200d32f449c1fd94107f2775ed19b9c14f3a1e982e9710,committed_contract_csv,admission_field_name,covalent_residue_chain_id,covalent residue locator component,residue_identity,false,false,false,false,DUPLICATE_IDENTITY_KEY_SEMANTICS_UNRESOLVED,true
9,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_schema_contract.csv,44ca53db60e210ffe1200d32f449c1fd94107f2775ed19b9c14f3a1e982e9710,committed_contract_csv,admission_field_name,covalent_residue_index,covalent residue locator component,residue_identity,false,false,false,false,DUPLICATE_IDENTITY_KEY_SEMANTICS_UNRESOLVED,true
10,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_schema_contract.csv,44ca53db60e210ffe1200d32f449c1fd94107f2775ed19b9c14f3a1e982e9710,committed_contract_csv,admission_field_name,covalent_residue_atom_name,covalent residue locator component,residue_identity,false,false,false,false,DUPLICATE_IDENTITY_KEY_SEMANTICS_UNRESOLVED,true
