sdf_atom_index,pdb_atom_name,element,x,y,z,neighbors,suggested_role,final_role,notes
0,C21,C,-2.6100,-7.0640,-0.3710,1:single,unassigned,,
1,C20,C,-1.9850,-6.5260,-1.6670,0:single;2:single;10:single,unassigned,,
2,C19,C,-2.5410,-5.1470,-2.0200,1:single;3:single,unassigned,,
3,N6,N,-2.1280,-4.1450,-1.0110,2:single;4:single;8:single,unassigned,,
4,C23,C,-2.9190,-3.1270,-0.6910,3:single;5:single;6:single,unassigned,,
5,O2,O,-2.5630,-2.3050,0.1540,4:single,unassigned,,
6,C24,C,-4.2770,-2.9590,-1.3690,4:single;7:single,unassigned,,
7,C25,C,-5.3640,-2.1680,-0.6430,6:single,warhead_candidate / ligand_reactive_atom_candidate,,PDB LINK identifies this atom as covalent partner candidate; confirm manually.
8,C18,C,-0.8220,-4.2890,-0.3370,3:single;9:single,unassigned,,
9,C17,C,0.1210,-5.1600,-1.1490,8:single;10:single,unassigned,,
10,N2,N,-0.5160,-6.4570,-1.5220,1:single;9:single;11:single,unassigned,,
11,C7,C,0.2320,-7.6550,-1.5860,10:single;12:single;28:single,unassigned,,
12,N3,N,-0.4850,-8.7940,-1.5410,11:single;13:single,unassigned,,
13,C8,C,0.0880,-10.0030,-1.5640,12:single;14:single;15:single,unassigned,,
14,O1,O,-0.6060,-11.0170,-1.5250,13:single,unassigned,,
15,N4,N,1.4680,-10.1120,-1.6350,13:single;16:single;26:single,unassigned,,
16,C9,C,2.0470,-11.3780,-1.6480,15:single;17:single;22:single,unassigned,,
17,C13,C,2.3470,-11.9760,-2.8600,16:single;18:single;19:single,unassigned,,
18,C22,C,2.0370,-11.2480,-4.1650,17:single,unassigned,,
19,C12,C,2.9240,-13.2400,-2.8570,17:single;20:single,unassigned,,
20,C11,C,3.1780,-13.8590,-1.6380,19:single;21:single,unassigned,,
21,N5,N,2.8820,-13.2670,-0.4920,20:single;22:single,unassigned,,
22,C10,C,2.3200,-12.0470,-0.4540,16:single;21:single;23:single,unassigned,,
23,C14,C,2.0060,-11.4200,0.9130,22:single;24:single;25:single,unassigned,,
24,C16,C,0.9860,-12.2700,1.6830,23:single,unassigned,,
25,C15,C,3.3030,-11.2870,1.7110,23:single,unassigned,,
26,C2,C,2.2580,-8.9660,-1.6800,15:single;27:single;28:single,unassigned,,
27,N1,N,3.5950,-9.0860,-1.7440,26:single;32:single,unassigned,,
28,C1,C,1.6420,-7.7170,-1.6560,11:single;26:single;29:single,unassigned,,
29,C5,C,2.4670,-6.5910,-1.7080,28:single;30:single,unassigned,,
30,C4,C,3.8540,-6.7420,-1.7820,29:single;31:single;32:single,unassigned,,
31,F1,F,4.6580,-5.6630,-1.8360,30:single,unassigned,,
32,C3,C,4.4080,-8.0240,-1.7950,27:single;30:single;33:single,unassigned,,
33,C6,C,5.7890,-8.2170,-1.8650,32:single;34:single;39:single,unassigned,,
34,C30,C,6.6350,-7.6600,-0.8950,33:single;35:single;36:single,unassigned,,
35,F2,F,6.1440,-6.9310,0.1290,34:single,unassigned,,
36,C29,C,8.0110,-7.8500,-0.9680,34:single;37:single,unassigned,,
37,C28,C,8.5500,-8.6020,-2.0050,36:single;38:single,unassigned,,
38,C27,C,7.7190,-9.1620,-2.9660,37:single;39:single,unassigned,,
39,C26,C,6.3430,-8.9750,-2.9010,33:single;38:single;40:single,unassigned,,
40,O3,O,5.5560,-9.5360,-3.8560,39:single,unassigned,,
