sdf_atom_index,pdb_atom_name,element,x,y,z
0,C2,C,-20.2740,6.0060,-0.6340
1,C3,C,-19.2610,5.6970,-1.6680
2,C9,C,-20.9290,5.8110,1.7150
3,C10,C,-20.4990,5.3360,2.9590
4,C11,C,-21.2900,5.5280,4.0940
5,C12,C,-22.5430,6.1580,3.9710
6,C13,C,-22.9580,6.6460,2.7440
7,C14,C,-22.1520,6.4780,1.6170
8,C15,C,-23.4430,6.4730,5.1310
9,O17,O,-24.6260,6.6610,4.8640
10,C19,C,-24.7410,6.0370,7.8910
11,C20,C,-22.7170,7.2400,8.7230
12,C21,C,-24.3440,8.4460,7.2960
13,C22,C,-23.0600,8.1520,-3.9530
14,C24,C,-24.5200,9.1560,-2.3130
15,N26,N,-24.1660,10.5800,-2.2850
16,C27,C,-17.9800,5.0020,-1.2840
17,C30,C,-24.6300,11.4440,-1.3700
18,C32,C,-24.2510,12.9030,-1.5070
19,C33,C,-24.0850,13.7570,-0.2530
20,N1,N,-21.3680,6.6870,-1.0310
21,C4,C,-19.4470,6.0590,-2.9780
22,C5,C,-20.6110,6.7780,-3.3150
23,C6,C,-21.5470,7.0510,-2.3180
24,N7,N,-22.7030,7.7630,-2.5910
25,N8,N,-20.0890,5.6520,0.6650
26,N16,N,-22.9080,6.7040,6.3520
27,C18,C,-23.6830,7.0820,7.5440
28,C23,C,-24.4610,8.7400,-3.7590
29,C25,C,-23.5930,8.2030,-1.5400
30,N28,N,-16.9330,5.0740,-2.1900
31,O29,O,-17.8810,4.4570,-0.2100
32,O31,O,-25.3840,11.1820,-0.4350
