boundary_item,current_step_status,execution_boundary_passed,blocking_reasons
complex_card_metadata_probe_design_gate,executed_design_gate_only,True,
step13aq_manifest_read,executed_manifest_read_only,True,
step13aq_mapping_probe_read,executed_mapping_probe_read_only,True,
metadata_csv_card_urls_read,executed_url_column_read_only,True,
allowed_url_contract_write,executed_contract_only,True,
target_field_contract_write,executed_contract_only,True,
parse_strategy_contract_write,executed_contract_only,True,
event_key_resolution_contract_write,executed_contract_only,True,
external_network_access,not_executed_or_not_allowed,True,
complex_card_fetch,not_executed_or_not_allowed,True,
metadata_download,not_executed_or_not_allowed,True,
raw_structure_download,not_executed_or_not_allowed,True,
raw_data_read,not_executed_or_not_allowed,True,
sdf_read,not_executed_or_not_allowed,True,
pdb_read,not_executed_or_not_allowed,True,
mmcif_read,not_executed_or_not_allowed,True,
gzip_open,not_executed_or_not_allowed,True,
rdkit_use,not_executed_or_not_allowed,True,
biopdb_use,not_executed_or_not_allowed,True,
gemmi_use,not_executed_or_not_allowed,True,
candidate_metadata_materialization,not_executed_or_not_allowed,True,
allowlist_materialization,not_executed_or_not_allowed,True,
torch_import,not_executed_or_not_allowed,True,
model_forward,not_executed_or_not_allowed,True,
training_claim,not_executed_or_not_allowed,True,
