stage,previous_stage,section,status,evidence,blocking_reasons,recommended_next_step
covapie_covpdb_complex_card_metadata_probe_design_gate_v0,covapie_external_metadata_index_schema_probe_design_gate_v0,step13aq_precondition,passed,"{""passed"": true}",,covapie_covpdb_complex_card_metadata_acquisition_smoke
covapie_covpdb_complex_card_metadata_probe_design_gate_v0,covapie_external_metadata_index_schema_probe_design_gate_v0,target_field_contract,passed,"{""rows"": 18}",,covapie_covpdb_complex_card_metadata_acquisition_smoke
covapie_covpdb_complex_card_metadata_probe_design_gate_v0,covapie_external_metadata_index_schema_probe_design_gate_v0,allowed_url_contract,passed,"{""complex_card_url_count"": 25, ""rows"": 10}",,covapie_covpdb_complex_card_metadata_acquisition_smoke
covapie_covpdb_complex_card_metadata_probe_design_gate_v0,covapie_external_metadata_index_schema_probe_design_gate_v0,forbidden_artifact_contract,passed,"{""rows"": 16}",,covapie_covpdb_complex_card_metadata_acquisition_smoke
covapie_covpdb_complex_card_metadata_probe_design_gate_v0,covapie_external_metadata_index_schema_probe_design_gate_v0,parse_strategy_contract,passed,"{""rows"": 8}",,covapie_covpdb_complex_card_metadata_acquisition_smoke
covapie_covpdb_complex_card_metadata_probe_design_gate_v0,covapie_external_metadata_index_schema_probe_design_gate_v0,event_key_resolution_contract,passed,"{""rows"": 7}",,covapie_covpdb_complex_card_metadata_acquisition_smoke
covapie_covpdb_complex_card_metadata_probe_design_gate_v0,covapie_external_metadata_index_schema_probe_design_gate_v0,failure_taxonomy,passed,"{""rows"": 16}",,covapie_covpdb_complex_card_metadata_acquisition_smoke
covapie_covpdb_complex_card_metadata_probe_design_gate_v0,covapie_external_metadata_index_schema_probe_design_gate_v0,readiness_boundary,passed,"{""ready_for_acquisition_smoke"": true}",,covapie_covpdb_complex_card_metadata_acquisition_smoke
covapie_covpdb_complex_card_metadata_probe_design_gate_v0,covapie_external_metadata_index_schema_probe_design_gate_v0,execution_boundary,passed,"{""network_access_used"": false}",,covapie_covpdb_complex_card_metadata_acquisition_smoke
covapie_covpdb_complex_card_metadata_probe_design_gate_v0,covapie_external_metadata_index_schema_probe_design_gate_v0,git_safety,passed,"{""rows"": 10}",,covapie_covpdb_complex_card_metadata_acquisition_smoke
covapie_covpdb_complex_card_metadata_probe_design_gate_v0,covapie_external_metadata_index_schema_probe_design_gate_v0,mask_scope,passed,"{""mask_count"": 5}",,covapie_covpdb_complex_card_metadata_acquisition_smoke
covapie_covpdb_complex_card_metadata_probe_design_gate_v0,covapie_external_metadata_index_schema_probe_design_gate_v0,feature_semantics,passed,"{""rows"": 12}",,covapie_covpdb_complex_card_metadata_acquisition_smoke
covapie_covpdb_complex_card_metadata_probe_design_gate_v0,covapie_external_metadata_index_schema_probe_design_gate_v0,leakage_split,passed,"{""rows"": 12}",,covapie_covpdb_complex_card_metadata_acquisition_smoke
