failure_reason,failure_class,blocks_candidate_metadata,recommended_handling,failure_taxonomy_passed,blocking_reasons
complex_card_url_missing,access_or_boundary,True,block_current_card_and_record_reason,True,
complex_card_url_not_allowed,access_or_boundary,True,block_current_card_and_record_reason,True,
complex_card_fetch_deferred_current_step,access_or_boundary,True,block_current_card_and_record_reason,True,
complex_card_html_parse_failed,access_or_boundary,True,block_current_card_and_record_reason,True,
no_chain_id_found,event_key_resolution,True,block_current_card_and_record_reason,True,
no_residue_name_found,event_key_resolution,True,block_current_card_and_record_reason,True,
no_residue_index_found,event_key_resolution,True,block_current_card_and_record_reason,True,
no_residue_atom_name_found,event_key_resolution,True,block_current_card_and_record_reason,True,
no_covalent_bond_atom_pair_found,event_key_resolution,True,block_current_card_and_record_reason,True,
multiple_candidate_residues,event_key_resolution,True,block_current_card_and_record_reason,True,
multiple_candidate_ligands,event_key_resolution,True,block_current_card_and_record_reason,True,
ambiguous_ligand_atom,event_key_resolution,True,block_current_card_and_record_reason,True,
ambiguous_protein_atom,event_key_resolution,True,block_current_card_and_record_reason,True,
raw_download_required_for_resolution,access_or_boundary,True,block_current_card_and_record_reason,True,
forbidden_download_link_detected,access_or_boundary,False,block_current_card_and_record_reason,True,
training_attempted_too_early,access_or_boundary,True,block_current_card_and_record_reason,True,
