forbidden_artifact_or_action,contract_policy,forbidden_artifact_contract_passed,blocking_reasons
.zip,not_allowed_in_complex_card_metadata_probe,True,
.pdb,not_allowed_in_complex_card_metadata_probe,True,
.ent,not_allowed_in_complex_card_metadata_probe,True,
.cif,not_allowed_in_complex_card_metadata_probe,True,
.mmcif,not_allowed_in_complex_card_metadata_probe,True,
.sdf,not_allowed_in_complex_card_metadata_probe,True,
.mol2,not_allowed_in_complex_card_metadata_probe,True,
.gz,not_allowed_in_complex_card_metadata_probe,True,
raw_complex_download,not_allowed_in_complex_card_metadata_probe,True,
ligand_sdf_download,not_allowed_in_complex_card_metadata_probe,True,
all_complexes_archive,not_allowed_in_complex_card_metadata_probe,True,
all_ligands_archive,not_allowed_in_complex_card_metadata_probe,True,
pdb_mmcif_raw_download,not_allowed_in_complex_card_metadata_probe,True,
screenshot_browser_selenium_playwright,not_allowed_in_complex_card_metadata_probe,True,
rdkit_biopdb_gemmi,not_allowed_in_complex_card_metadata_probe,True,
torch_model_training,not_allowed_in_complex_card_metadata_probe,True,
